"","Team.y","game_week","Player","Team.x","Position","Rk","Status","Opponent.x","FPts","FP/G","% Owned","+/-","GP","Min.x","G","GOF","A2","KP","ABS","AFKG","AHW","AOG","APL","APKG","AR","ASOP","AT","S","SOT","SA","SOP","SB","TkW","TLM","DIS","PLC","FC","FS","ErS","ErG","YC","SYC","RC","HB","Pen","DP","6S","Off","PA","AP","PC%","SFTP","C","ACNC","CF","CK","CIB","CF_1","CC","FKS","Int.x","IntB","CLRA","CLR","CoA","CoS","CoSF","BC","BS","DW","DL","AER","AERL","BCC","BCM","BCS","BR","FKG","FKM","PL","LB","LBA","SubOn","SubOff","PKG","PKA","PKM","PKD","OG","GAD","CS","MCS","Date","X1","#","Nation","Pos","Min.y","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Press","Tkl","Int.y","Blocks","xG","npxG","xA","SCA","GCA","Cmp","Att","Cmp%","PrgDist","Carries","PrgDist.1","Succ","Att.1","Opponent.y","xG_against","GAD_against","xCS","xPts","CLRpts","xGpts","xApts","KPpts","SOTpts","DISpts","YCpts","RCpts","OGpts","xGADpts","xCSpts","defPts","offPts"
"1","Arsenal",1,"Sokratis","ARS","D",59,"FA","ARS 1<br/>@NEW 0 F",11.25,11.25,"26%","7%",1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,73,67,91.8,1,0,0,0,0,0,0,1,0,0,0,5,5,0,0,0,0,0,4,3,4,2,0,0,0,7,0,0,6,7,5,0,0,0,0,0,0,0,0,1,90,"08/11/19",214,5,"gr GRE","CB",90,0,0,0,0,0,0,0,0,77,4,1,0,0,0,0,0,0,0,62,65,95.4,479,62,100,1,1,"Newcastle Utd",0.5,0.25,0.8,9.55,1.25,0,0,0,0,0,0,0,0,-0.5,4.8,5.55,0
"2","Arsenal",1,"Calum Chambers","ARS","D",108,"FA","ARS 1<br/>@NEW 0 F",6.75,6.75,"11%","-1.70%",1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,61,53,86.9,3,0,0,0,0,0,0,1,0,0,0,3,3,0,0,0,0,1,0,3,0,3,0,0,0,8,0,0,10,10,3,0,0,0,0,0,0,0,0,1,90,"08/11/19",215,21,"eng ENG","CB",90,0,0,0,0,0,0,0,0,66,6,1,0,1,0,0,0,0,0,51,56,91.1,249,50,97,0,0,"Newcastle Utd",0.5,0.25,0.8,5.05,0.75,0,0,0,0,0,0,0,0,-0.5,4.8,5.05,0
"4","Arsenal",10,"David Luiz","ARS","D",96,"FA","CRY 2<br/>@ARS 2 F",14.75,14.75,"84%","23.30%",1,90,1,2,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,1,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,53,46,86.8,5,0,0,0,0,0,1,0,0,1,0,3,3,0,0,0,0,2,3,6,2,3,0,0,1,6,0,0,8,8,5,0,0,0,0,0,0,0,2,0,0,"10/27/19",2743,23,"br BRA","CB",90,1,0,0,0,2,2,0,0,57,5,1,1,2,0.9,0.9,0,0,0,37,43,86,210,33,262,0,0,"Crystal Palace",1.7,1.45,0,14.85,0.75,9,0,0,4,0,0,0,0,-2.9,0,-0.15,13
"6","Arsenal",10,"Sokratis","ARS","D",221,"FA","CRY 2<br/>@ARS 2 F",15.25,15.25,"26%","7%",1,90,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,6,2,1,0,0,0,0,0,0,0,0,0,0,56,52,92.9,2,0,0,0,0,0,0,3,0,2,0,7,7,0,0,1,0,1,6,5,3,1,0,0,0,4,0,0,6,5,2,0,0,0,0,0,0,0,2,0,0,"10/27/19",2744,5,"gr GRE","CB",90,1,0,0,0,1,1,0,0,61,7,2,2,3,0.1,0.1,0,0,0,41,45,91.1,319,38,176,0,0,"Crystal Palace",1.7,1.45,0,7.35,1.75,1,0,0,2,-0.5,0,0,0,-2.9,0,1.85,2.5
"9","Arsenal",11,"David Luiz","ARS","D",96,"FA","WOL 1<br/>@ARS 1 F",-1.25,-1.25,"84%","23.30%",1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,0,0,0,0,0,0,0,0,0,0,42,34,81,3,1,0,1,0,0,0,1,0,0,0,3,3,0,0,1,0,3,1,4,0,2,0,0,0,3,0,0,9,10,3,0,0,0,0,0,0,0,1,0,0,"11/02/19",2936,23,"br BRA","CB",90,0,0,0,0,0,0,0,0,48,6,1,0,3,0,0,0,1,1,35,40,87.5,308,25,64,0,0,"Wolves",1.5,1.25,0,-1.75,0.75,0,0,0,0,0,0,0,0,-2.5,0,-1.75,0
"10","Arsenal",11,"Sokratis","ARS","D",221,"FA","WOL 1<br/>@ARS 1 F",1.25,1.25,"26%","7%",1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6,1,2,0,0,0,0,0,0,0,0,0,0,49,43,87.8,1,0,0,0,0,0,0,0,0,0,0,5,5,0,0,2,0,6,4,4,1,2,0,0,0,3,0,0,6,5,1,0,0,0,0,0,0,0,1,0,0,"11/02/19",2937,5,"gr GRE","CB",90,0,0,0,0,1,0,0,0,66,11,1,0,8,0,0,0,0,0,45,50,90,289,39,71,0,0,"Wolves",1.5,1.25,0,0.75,1.25,0,0,0,0,0,0,0,0,-2.5,0,-0.25,0
"11","Arsenal",12,"David Luiz","ARS","D",96,"FA","ARS 0<br/>@LEI 2 F",-0.5,-0.5,"84%","23.30%",1,90,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,9,1,0,0,0,0,0,0,0,0,0,0,0,44,37,84.1,3,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,2,5,0,2,0,0,0,8,0,0,9,7,4,0,0,0,0,0,0,0,2,0,0,"11/09/19",3226,23,"br BRA","CB",90,0,0,0,0,1,0,0,0,48,10,2,1,1,0,0,0,1,0,36,43,83.7,232,32,194,0,0,"Leicester City",1.7,1.45,0,0.6,0.5,0,0,2,0,-1,0,0,0,-2.9,0,-0.4,1
"13","Arsenal",12,"Calum Chambers","ARS","D",277,"FA","ARS 0<br/>@LEI 2 F",0.5,0.5,"11%","-1.70%",1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,50,40,80,5,1,0,1,0,0,0,1,0,0,0,6,6,0,0,0,0,1,4,3,2,2,0,0,0,7,0,0,13,10,4,0,0,0,0,0,0,0,2,0,0,"11/09/19",3227,21,"eng ENG","CB",90,0,0,0,0,0,0,0,0,59,8,1,0,2,0,0,0,0,0,40,49,81.6,316,47,144,0,0,"Leicester City",1.7,1.45,0,1.6,1.5,0,0,0,0,0,0,0,0,-2.9,0,-0.4,0
"16","Arsenal",13,"David Luiz","ARS","D",96,"FA","SOU 2<br/>@ARS 2 F",4.25,4.25,"84%","23.30%",1,90,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,57,50,87.7,3,0,0,0,0,0,0,1,0,1,0,5,5,1,1,2,0,1,8,2,3,0,0,0,0,7,0,0,7,6,3,0,0,0,0,0,0,0,2,0,0,"11/23/19",3375,23,"br BRA","CB",90,0,0,0,0,1,0,0,0,71,8,3,1,1,0.1,0.1,0,1,1,50,57,87.7,276,42,140,1,1,"Southampton",2.6,2.35,0,4.55,1.25,1,0,0,0,0,0,0,0,-4.7,0,-0.45,2
"18","Arsenal",13,"Sokratis","ARS","D",221,"FA","SOU 2<br/>@ARS 2 F",-0.5,-0.5,"26%","7%",1,90,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,9,1,0,0,0,1,0,0,0,0,0,0,0,52,45,86.5,8,0,0,0,0,0,1,0,0,0,0,2,2,2,2,2,0,1,6,4,2,1,0,0,0,4,0,0,9,9,4,0,0,0,0,0,0,0,2,0,0,"11/23/19",3374,5,"gr GRE","CB",90,0,0,0,0,2,0,1,0,55,13,2,0,1,0.2,0.2,0,0,0,42,46,91.3,281,38,151,0,0,"Southampton",2.6,2.35,0,0.8,0.5,2,0,0,0,0,0,0,0,-4.7,0,-2.2,4
