Player,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist,Succ,Att,Match Report
Wilfried Zaha,8/10/19,Sat,Matchweek 1,Home,D 0–0,Crystal Palace,Everton,N,FW,26,0,0,0,0,1,0,0,0,16,5,1,0,1,0.1,0.1,0,0,0,4,7,57.1,29,12,87,1,2,Match Report
Wilfried Zaha,8/18/19,Sun,Matchweek 2,Away,L 0–1,Crystal Palace,Sheffield Utd,Y,FWCM,90,0,0,0,0,1,0,0,0,38,10,0,0,0,0,0,0,2,0,18,25,72,75,38,119,4,6,Match Report
Wilfried Zaha,8/24/19,Sat,Matchweek 3,Away,W 2–1,Crystal Palace,Manchester Utd,Y,CMLW,90,0,0,0,0,2,1,1,0,33,29,1,2,0,0.3,0.3,0,0,0,16,21,76.2,62,30,194,6,8,Match Report
Wilfried Zaha,8/31/19,Sat,Matchweek 4,Home,W 1–0,Crystal Palace,Aston Villa,Y,RW,90,0,0,0,0,2,0,0,0,55,20,0,1,0,0.1,0.1,0,5,0,31,39,79.5,159,45,313,3,5,Match Report
Wilfried Zaha,9/14/19,Sat,Matchweek 5,Away,L 0–4,Crystal Palace,Tottenham,Y,CM,90,0,0,0,0,2,2,0,0,42,18,1,0,1,0.1,0.1,0,1,0,19,24,79.2,83,40,315,3,5,Match Report
Wilfried Zaha,9/22/19,Sun,Matchweek 6,Home,D 1–1,Crystal Palace,Wolves,Y,CM,90,0,0,0,0,2,1,0,0,76,28,5,1,2,0,0,0,1,0,29,46,63,84,73,390,12,17,Match Report
Wilfried Zaha,9/28/19,Sat,Matchweek 7,Home,W 2–0,Crystal Palace,Norwich City,Y,CM,90,0,1,0,0,4,0,0,0,74,29,1,0,2,0.3,0.3,0.3,6,1,39,47,83,174,68,202,7,10,Match Report
Wilfried Zaha,10/5/19,Sat,Matchweek 8,Away,W 2–1,Crystal Palace,West Ham,Y,CM,90,0,0,0,0,0,0,0,0,52,22,2,0,1,0,0,0.6,2,0,25,28,89.3,113,53,312,6,9,Match Report
Wilfried Zaha,10/19/19,Sat,Matchweek 9,Home,L 0–2,Crystal Palace,Manchester City,Y,CM,90,0,0,0,0,1,1,0,0,42,32,2,2,1,0.1,0.1,0,5,0,20,24,83.3,50,31,119,4,6,Match Report
Wilfried Zaha,10/27/19,Sun,Matchweek 10,Away,D 2–2,Crystal Palace,Arsenal,Y,CM,90,0,0,0,0,3,0,0,0,44,32,0,0,0,0.2,0.2,0,2,2,20,23,87,135,41,291,3,8,Match Report
Wilfried Zaha,11/3/19,Sun,Matchweek 11,Home,L 0–2,Crystal Palace,Leicester City,Y,CM,90,0,0,0,0,2,0,0,0,39,24,2,1,2,0.1,0.1,0.1,7,0,16,24,66.7,84,39,167,7,7,Match Report
Wilfried Zaha,11/9/19,Sat,Matchweek 12,Away,L 0–2,Crystal Palace,Chelsea,Y,CM,90,0,0,0,0,0,0,1,0,34,30,2,3,1,0,0,0.1,2,0,17,20,85,69,31,114,4,8,Match Report
Wilfried Zaha,11/23/19,Sat,Matchweek 13,Home,L 1–2,Crystal Palace,Liverpool,Y,CM,90,1,0,0,0,5,1,0,0,44,10,0,2,1,0.6,0.6,0,1,0,24,29,82.8,115,37,211,2,5,Match Report
Wilfried Zaha,11/30/19,Sat,Matchweek 14,Away,W 2–0,Crystal Palace,Burnley,Y,CM,90,1,0,0,0,1,1,0,0,65,14,2,0,2,0.1,0.1,0.1,3,0,38,48,79.2,152,55,392,5,8,Match Report
Wilfried Zaha,12/3/19,Tue,Matchweek 15,Home,W 1–0,Crystal Palace,Bournemouth,Y,CM,90,0,0,0,0,1,0,0,0,51,35,1,0,0,0,0,0,1,0,25,31,80.6,96,50,278,4,12,Match Report
Wilfried Zaha,12/7/19,Sat,Matchweek 16,Away,D 0–0,Crystal Palace,Watford,Y,CM,90,0,0,0,0,0,0,1,0,50,18,1,0,0,0,0,0.1,1,0,26,34,76.5,70,48,186,5,6,Match Report
Wilfried Zaha,12/16/19,Mon,Matchweek 17,Home,D 1–1,Crystal Palace,Brighton,Y,LW,90,1,0,0,0,1,1,0,0,43,27,1,0,0,0.1,0.1,0,1,0,23,31,74.2,86,43,260,5,7,Match Report
