"","X","Team.y","game_week","Player","Team.x","Position","Rk","Status","Opponent.x","FPts","FP.G","X..Owned","X...","GP","Min.x","G","GOF","A2","KP","ABS","AFKG","AHW","AOG","APL","APKG","AR","ASOP","AT","S","SOT","SA","SOP","SB","TkW","TLM","DIS","PLC","FC","FS","ErS","ErG","YC","SYC","RC","HB","Pen","DP","X6S","Off","PA","AP","PC.","SFTP","C","ACNC","CF","CK","CIB","CF_1","CC","FKS","Int.x","IntB","CLRA","CLR","CoA","CoS","CoSF","BC","BS","DW","DL","AER","AERL","BCC","BCM","BCS","BR","FKG","FKM","PL","LB","LBA","SubOn","SubOff","PKG","PKA","PKM","PKD","OG","GAD","CS","MCS","Date","X1","X.","Nation","Pos","Min.y","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Press","Tkl","Int.y","Blocks","xG","npxG","xA","SCA","GCA","Cmp","Att","Cmp.","PrgDist","Carries","PrgDist.1","Succ","Att.1","Opponent.y","xG_against","GAD_against","xCS","xPts","CLRpts","xGpts","xApts","KPpts","SOTpts","DISpts","YCpts","RCpts","OGpts","xGADpts","xCSpts","AER_prop","defPts","offPts"
"3",3,"Arsenal",10,"Calum Chambers","ARS","D",277,"FA","CRY 2<br/>@ARS 2 F",-0.25,-0.25,"11%","-1.70%",1,90,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,17,3,0,0,0,1,0,0,0,1,0,0,0,56,47,83.9,10,7,1,6,0,0,3,1,0,0,0,3,3,2,0,0,0,0,7,6,4,1,0,0,0,7,0,0,17,4,1,0,0,0,0,0,0,0,2,0,0,"10/27/19",2745,21,"eng ENG","RB",90,0,0,0,0,1,0,1,0,76,25,4,0,0,0.1,0.1,0,3,0,50,63,79.4,325,46,163,1,2,"Crystal Palace",1.7,1.45,0,1.85,0.75,1,0,0,0,0,0,0,0,-2.9,0,0.8,-1.15,2
"5",5,"Arsenal",10,"Kieran Tierney","ARS","D",268,"FA","CRY 2<br/>@ARS 2 F",1.5,1.5,"16%","-4.20%",1,75,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,33,24,72.7,7,4,1,3,0,0,0,0,0,0,0,2,2,2,2,2,0,1,3,3,0,2,0,0,0,5,0,0,14,6,2,0,1,0,0,0,0,0,2,0,0,"10/27/19",2741,3,"sco SCO","LB",74,0,0,0,0,1,0,0,0,50,20,1,0,3,0,0,0.1,3,0,33,41,80.5,184,29,93,2,2,"Crystal Palace",1.7,1.45,0,3.4,0.5,0,0.8,2,0,0,0,0,0,-2.9,0,0,-2.4,5.8
"7",7,"Arsenal",11,"Calum Chambers","ARS","D",277,"FA","WOL 1<br/>@ARS 1 F",4,4,"11%","-1.70%",1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,22,2,2,0,0,0,0,0,0,0,0,0,0,62,52,83.9,13,4,2,2,0,0,0,2,0,1,1,4,4,3,2,4,0,1,7,11,2,4,0,0,0,6,0,0,22,2,0,0,0,0,0,0,0,0,1,0,0,"11/02/19",2938,21,"eng ENG","RB",90,0,0,0,0,1,0,0,0,95,17,1,1,4,0.1,0.1,0,0,0,60,76,78.9,329,61,143,2,4,"Wolves",1.5,1.25,0,4.5,1,1,0,0,0,-2,0,0,0,-2.5,0,0.333333333333333,-0.5,3
"8",8,"Arsenal",11,"Kieran Tierney","ARS","D",268,"FA","WOL 1<br/>@ARS 1 F",3.75,3.75,"16%","-4.20%",1,87,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,39,32,82.1,10,4,0,4,0,0,0,6,0,1,0,3,3,1,1,1,3,0,5,2,2,1,0,0,0,8,0,0,13,3,1,0,1,0,0,0,0,0,1,0,0,"11/02/19",2934,3,"sco SCO","LB",86,0,0,0,0,0,0,0,0,62,16,3,1,4,0,0,0,0,0,38,49,77.6,182,30,63,1,1,"Wolves",1.5,1.25,0,3.25,0.75,0,0,0,0,0,0,0,0,-2.5,0,0.666666666666667,0.25,1
"20",20,"Arsenal",14,"Sead Kolasinac","ARS","D",332,"FA","ARS 2<br/>@NOR 2 F",2,2,"5%","-17.30%",1,90,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,45,41,91.1,13,3,0,3,0,0,2,1,0,1,0,0,0,2,2,2,0,0,4,4,0,2,0,0,0,3,0,0,9,1,1,0,0,0,0,0,0,0,2,0,0,"12/01/19",3797,31,"ba BIH","LB",90,0,0,0,0,0,0,0,0,61,10,1,1,0,0,0,0,2,0,52,57,91.2,253,41,156,1,1,"Norwich City",1.4,1.15,0.0800000000000001,4.18,0,0,0,2,0,0,0,0,0,-2.3,0.48,0,0.18,4
"22",22,"Arsenal",14,"Calum Chambers","ARS","D",277,"FA","ARS 2<br/>@NOR 2 F",5,5,"11%","-1.70%",1,90,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0.5,0,1,1,0,1,29,3,0,0,0,1,0,0,0,0,0,0,0,58,41,70.7,12,4,0,4,0,0,3,0,0,1,0,2,2,3,3,3,1,0,10,6,5,2,0,0,0,3,0,0,29,5,1,0,0,0,0,0,0,0,2,0,0,"12/01/19",3800,21,"eng ENG","RB",90,0,0,0,0,2,1,1,0,94,16,3,1,1,0.1,0.1,0,2,1,56,79,70.9,369,51,65,5,7,"Norwich City",1.4,1.15,0.0800000000000001,8.18,0.5,1,0,0,2,-0.5,0,0,0,-2.3,0.48,0.714285714285714,0.68,5.5
"23",23,"Arsenal",15,"Sead Kolasinac","ARS","D",332,"FA","BHA 2<br/>@ARS 1 F",2.5,2.5,"5%","-17.30%",1,72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,8,0,2,0,0,0,0,0,0,0,0,0,0,31,28,90.3,11,1,1,0,0,0,0,1,0,0,0,2,2,1,1,3,0,0,6,5,1,1,0,0,0,3,0,0,8,1,1,0,1,0,0,0,0,0,1,0,0,"12/05/19",4112,31,"ba BIH","LB",71,0,0,0,0,0,0,0,0,49,21,3,0,0,0,0,0,0,0,35,40,87.5,213,35,239,2,3,"Brighton",2.2,1.95,0,0.6,0.5,0,0,0,0,-1,0,0,0,-3.9,0,0.5,-1.4,1
"26",26,"Arsenal",15,"Hector Bellerin","ARS","D",79,"FA","BHA 2<br/>@ARS 1 F",-1.25,-1.25,"89%","40.90%",1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,2,0,0,0,1,0,0,0,0,0,0,0,49,43,87.8,9,4,0,4,0,0,1,0,0,3,0,1,1,3,2,2,0,0,3,11,1,5,0,0,0,7,0,0,15,2,1,0,0,0,0,0,0,0,2,0,0,"12/05/19",4116,2,"es ESP","RB",90,0,0,0,0,0,0,1,0,73,17,1,3,2,0,0,0,0,0,50,61,82,411,44,155,0,3,"Brighton",2.2,1.95,0,-1.15,0.25,0,0,0,0,-0.5,0,0,0,-3.9,0,0.166666666666667,-0.65,1.5
"29",29,"Arsenal",16,"Sead Kolasinac","ARS","D",332,"FA","ARS 3<br/>@WHU 1 F",12.25,12.25,"5%","-17.30%",1,61,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,31,26,83.9,4,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,4,3,2,0,1,0,0,6,0,0,7,3,2,1,0,0,0,0,0,0,1,0,0,"12/09/19",4402,31,"ba BIH","LB",62,0,1,0,0,0,0,0,0,46,10,1,1,2,0,0,0.3,2,1,36,40,90,188,26,47,0,0,"West Ham",0.6,0.35,0.72,12.27,0.25,0,2.4,2,0,-1,0,0,0,-0.7,4.32,1,4.87,5.4
"41",41,"Arsenal",21,"Sead Kolasinac","ARS","D",332,"FA","MUN 0<br/>@ARS 2 F",6.25,6.25,"5%","-17.30%",1,69,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,1,0,0,0,0,0,0,0,38,30,78.9,8,3,0,3,0,0,0,0,0,1,0,1,1,1,1,1,0,0,2,5,1,0,0,0,0,2,0,0,14,1,1,0,1,0,0,0,0,0,0,1,69,"01/01/20",5701,31,"ba BIH","LB",68,0,0,0,0,0,0,1,0,54,11,0,1,1,0,0,0,0,0,39,51,76.5,192,28,185,0,0,"Manchester Utd",0.9,0.65,0.48,1.83,0.25,0,0,0,0,0,0,0,0,-1.3,2.88,1,2.83,1
