WAR_Rank,Player,Pos,games_started,games_not_started,pWAS,ww_pWAS,pWAR,WAR,,,,,
1,Kevin De Bruyne,M,31,7,0.128903167,-0.027370167,0.156273333,4.844473333,,,,,
2,Mohamed Salah,F,33,5,0.062950333,-0.047160167,0.1101105,3.6336465,,,,,
3,Sadio Mane,F,31,7,0.061539833,-0.047160167,0.1087,3.3697,,,,,
4,Cesar Azpilicueta,D,36,2,0.053729333,-0.0280835,0.081812833,2.945262,,,,,
5,Willian,F,29,9,0.052313333,-0.047160167,0.0994735,2.8847315,,,,,
6,Lucas Digne,D,35,3,0.052632,-0.0280835,0.0807155,2.8250425,,,,,
7,Adama Traore,F,27,11,0.055302333,-0.047160167,0.1024625,2.7664875,,,,,
8,Gabriel Jesus,F,20,18,0.089191333,-0.047160167,0.1363515,2.72703,,,,,
9,Trent Alexander-Arnold,D,35,3,0.048982167,-0.0280835,0.077065667,2.697298333,,,,,
10,Raul Jimenez,F,37,1,0.025049667,-0.047160167,0.072209833,2.671763833,,,,,
11,Raheem Sterling,F,29,9,0.040497,-0.047160167,0.087657167,2.542057833,,,,,
12,Matt Doherty,D,32,6,0.0510775,-0.0280835,0.079161,2.533152,,,,,
13,Marcus Rashford,F,31,7,0.033605833,-0.047160167,0.080766,2.503746,,,,,
14,Riyad Mahrez,F,19,19,0.080545,-0.047160167,0.127705167,2.426398167,,,,,
15,Jamie Vardy,F,34,4,0.020108833,-0.047160167,0.067269,2.287146,,,,,
16,Jack Grealish,M,34,4,0.037973167,-0.027370167,0.065343333,2.221673333,,,,,
17,Michail Antonio,M,19,19,0.085147667,-0.027370167,0.112517833,2.137838833,,,,,
18,Roberto Firmino,F,34,4,0.015144833,-0.047160167,0.062305,2.11837,,,,,
19,James Maddison,M,29,9,0.0443325,-0.027370167,0.071702667,2.079377333,,,,,
20,Harry Maguire,D,38,0,0.025062333,-0.0280835,0.053145833,2.019541667,,,,,
21,Emiliano Buendia,M,28,10,0.0412905,-0.027370167,0.068660667,1.922498667,,,,,
22,Troy Deeney,F,26,12,0.026386,-0.047160167,0.073546167,1.912200333,,,,,
23,Danny Ings,F,32,6,0.011357167,-0.047160167,0.058517333,1.872554667,,,,,
24,Son Heung-Min,F,28,10,0.017721,-0.047160167,0.064881167,1.816672667,,,,,
25,James Ward-Prowse,M,38,0,0.020054167,-0.027370167,0.047424333,1.802124667,,,,,
26,James Tarkowski,D,38,0,0.018846833,-0.0280835,0.046930333,1.783352667,,,,,
27,Andrew Robertson,D,34,4,0.023327667,-0.0280835,0.051411167,1.747979667,,,,,
28,Ricardo Pereira,D,28,10,0.033605,-0.0280835,0.0616885,1.727278,,,,,
29,Sebastien Haller,F,24,14,0.0233995,-0.047160167,0.070559667,1.693432,,,,,
30,David Silva,M,20,18,0.051085667,-0.027370167,0.078455833,1.569116667,,,,,
31,Reece James,D,16,22,0.067630167,-0.0280835,0.095713667,1.531418667,,,,,
32,Pierre-Emerick Aubameyang,F,33,5,-0.002634667,-0.047160167,0.0445255,1.4693415,,,,,
33,Virgil van Dijk,D,38,0,0.010077167,-0.0280835,0.038160667,1.450105333,,,,,
34,Allan Saint-Maximin,M,23,15,0.035588,-0.027370167,0.062958167,1.448037833,,,,,
35,Bernardo Silva,M,22,16,0.038099667,-0.027370167,0.065469833,1.440336333,,,,,
36,Harry Kane,F,29,9,0.000438667,-0.047160167,0.047598833,1.380366167,,,,,
37,Marcos Alonso,D,15,23,0.062563833,-0.0280835,0.090647333,1.35971,,,,,
38,Sergio Aguero,F,17,21,0.031415,-0.047160167,0.078575167,1.335777833,,,,,
39,Bruno Fernandes,M,14,24,0.065605667,-0.027370167,0.092975833,1.301661667,,,,,
40,Anthony Martial,F,31,7,-0.005256167,-0.047160167,0.041904,1.299024,,,,,
