"","Player","Team.x","Position","n","min_total","mean_minutes","mean_xFpts","sd_xFpts","median_xFpts","mean_fpts","sd_fpts","median_ftps","total_xFpts","total_fpts","mean_xCS","xCS","CS"
"1","Aaron Connolly","BHA","F",11,864,78.5454545454545,4.82727272727273,5.30680523650358,3.4,6.54545454545455,9.03452972061785,2.5,53.1,72,0.450909090909091,4.96,5
"2","Aaron Cresswell","WHU","D",30,2679,89.3,5.08533333333333,5.0449542790952,4.82,4.7,7.41544287979135,4,152.56,141,0.165333333333333,4.96,5
"3","Aaron Mooy","BHA","M",22,1861,84.5909090909091,9.27363636363636,6.18902680668397,8.55,8.97727272727273,7.44260142808387,7,204.02,197.5,0.323636363636364,7.12,6
"4","Aaron Wan-Bissaka","MUN","D",34,3027,89.0294117647059,9.53176470588235,5.98021914597351,9.81,8.63235294117647,6.68592916813772,8.625,324.08,293.5,0.490588235294118,16.68,12
"5","Abdoulaye Doucoure","WAT","M",36,3122,86.7222222222222,7.27444444444444,5.48457079682602,6.86,7.11111111111111,6.83281066526079,5.25,261.88,256,0.291111111111111,10.48,10
"6","Adam Masina","WAT","D",19,1675,88.1578947368421,8.17631578947368,5.96138892329102,6.22,7.72368421052632,6.67702046868072,5.5,155.35,146.75,0.315789473684211,6,6
"7","Adam Smith","BOU","D",24,2060,85.8333333333333,4.76208333333333,5.5331781724797,3.555,3.61458333333333,6.70454873439548,3.375,114.29,86.75,0.243333333333333,5.84,4
"8","Adam Webster","BHA","D",29,2610,90,7.13620689655172,6.19940804420246,6.6,7.04310344827586,7.95132203897488,6.25,206.95,204.25,0.23448275862069,6.8,5
"9","Adama Traore","WOL","F",26,2268,87.2307692307692,14.4115384615385,6.01187670685798,13.65,15.3461538461538,8.28102557751059,12.5,374.7,399,0.441538461538462,11.48,7
"10","Adrian Mariappa","WAT","D",15,1330,88.6666666666667,2.30866666666667,7.59471796397871,0.25,1.81666666666667,8.3492229464498,0.75,34.63,27.25,0.138666666666667,2.08,3
"11","Ahmed El Mohamady","AVL","D",10,873,87.3,9.485,9.03144168385584,7.3,8.375,7.31650531333095,7,94.85,83.75,0.12,1.2,2
"12","Ainsley Maitland-Niles","ARS","M",14,1260,90,7.10714285714286,4.18089874138495,7.04,7.10714285714286,4.74008508292906,6.5,99.5,99.5,0.342857142857143,4.8,3
"13","Alex Iwobi","EVE","M",17,1352,79.5294117647059,8.78235294117647,4.28633807785236,7.06,7.58823529411765,4.21023787227948,6,149.3,129,0.282352941176471,4.8,4
"14","Alex Oxlade-Chamberlain","LIV","M",17,1204,70.8235294117647,6.72588235294118,3.63740817551373,6.7,7.29411764705882,5.22631210657134,6,114.34,124,0.402352941176471,6.84,9
"15","Alexander Tettey","NOR","M",26,2235,85.9615384615385,4.01,2.32363336178494,3.9,3.94230769230769,3.21971092825714,3.5,104.26,102.5,0.236923076923077,6.16,5
"16","Alexandre Lacazette","ARS","F",19,1566,82.4210526315789,8.65263157894737,5.10744211051684,9.9,9.1578947368421,7.73888563536075,7.5,164.4,174,0.218947368421053,4.16,6
"17","Allan Saint-Maximin","NEW","M",21,1756,83.6190476190476,12.7809523809524,5.36255713700274,13.2,13.4047619047619,5.6449513895583,12.5,268.4,281.5,0.228571428571429,4.8,8
"18","Andre Gomes","EVE","M",15,1336,89.0666666666667,4.224,4.5049826383049,3.88,4.1,5.31910303931566,4,63.36,61.5,0.357333333333333,5.36,5
"19","Andreas Christensen","CHE","D",18,1620,90,8.28944444444445,4.96662327260948,8.175,4.84722222222222,4.02669300244602,4.375,149.21,87.25,0.408888888888889,7.36,3
"20","Andreas Pereira","MUN","M",17,1338,78.7058823529412,8.28941176470588,3.42685801899538,8.04,7.64705882352941,4.87584834247575,6,140.92,130,0.465882352941176,7.92,6
"21","Andrew Robertson","LIV","D",34,3037,89.3235294117647,10.9747058823529,7.75291938573996,10.12,11.3382352941176,7.24252026726518,11.125,373.14,385.5,0.454117647058824,15.44,13
"22","Andriy Yarmolenko","WHU","F",8,612,76.5,10.0375,4.55190305570884,10.5,11.125,6.69621428228561,12.75,80.3,89,0.16,1.28,3
"23","Andros Townsend","CRY","M",13,1094,84.1538461538462,6.82461538461538,3.79718451703499,7.3,6.61538461538461,4.2532039205455,6.5,88.72,86,0.209230769230769,2.72,3
"24","Angelo Ogbonna","WHU","D",31,2787,89.9032258064516,4.66774193548387,4.6111601647,3.65,5.12903225806452,5.36068674384089,5.25,144.7,159,0.167741935483871,5.2,7
"25","Anthony Martial","MUN","F",31,2632,84.9032258064516,9.89032258064516,7.02359617473887,9.5,12.5322580645161,8.78534336634125,13,306.6,388.5,0.458064516129032,14.2,14
"26","Antonio Rudiger","CHE","D",18,1620,90,7.78333333333333,4.51940001223484,7.225,5.47222222222222,7.9464609625962,4.25,140.1,98.5,0.577777777777778,10.4,5
"27","Anwar El Ghazi","AVL","M",20,1632,81.6,9.528,4.47897732688354,9.5,9,5.81965815599435,7.5,190.56,180,0.188,3.76,4
"28","Arnaut Danjuma Groeneveld","BOU","F",5,367,73.4,6.12,3.82713992427766,5,6,5.7987067523716,3.5,30.6,30,0.336,1.68,2
"29","Arthur Masuaku","WHU","D",9,766,85.1111111111111,4.67333333333333,5.41372330286652,3.65,6.83333333333333,7.99022840724844,5.25,42.06,61.5,0.0622222222222222,0.56,2
"30","Ashley Barnes","BUR","F",16,1269,79.3125,6.7375,6.21577294737616,5.8,7,8.5107774811314,3.75,107.8,112,0.4825,7.72,8
"31","Ashley Westwood","BUR","M",35,3150,90,6.73714285714286,4.64359430476295,6.1,7.34285714285714,5.07266525340567,6.5,235.8,257,0.337142857142857,11.8,15
"32","Aymeric Laporte","MCI","D",11,910,82.7272727272727,7.44181818181818,4.95461768087472,7.7,8.95454545454546,5.7072521648099,9.25,81.86,98.5,0.56,6.16,7
"33","Ayoze Perez","LEI","M",24,1788,74.5,9.35,6.78286331740576,6.98,10.6458333333333,10.982673277433,5.5,224.4,255.5,0.433333333333333,10.4,10
"34","Ben Chilwell","LEI","D",26,2330,89.6153846153846,9.75423076923077,7.88307360010138,8.85,10.5096153846154,10.3374273320858,10.25,253.61,273.25,0.367692307692308,9.56,9
"35","Ben Davies","TOT","D",16,1415,88.4375,6.55125,3.3769609118259,6.135,6.03125,5.35558509097434,4.125,104.82,96.5,0.295,4.72,4
"36","Ben Godfrey","NOR","M",29,2596,89.5172413793103,2.93448275862069,2.59936748653384,2.5,2.68965517241379,2.36195210239119,2.5,85.1,78,0.193103448275862,5.6,3
"37","Ben Mee","BUR","D",32,2880,90,8.5909375,6.35101026221864,8.28,8.3203125,8.99758802245214,7.375,274.91,266.25,0.33625,10.76,13
"38","Ben Osborn","SHU","M",5,420,84,8.832,5.2183637282198,11.52,6.8,4.32434966208793,8.5,44.16,34,0.512,2.56,2
"39","Benjamin Mendy","MCI","D",15,1289,85.9333333333333,9.59733333333333,5.83699098933036,9.98,9.86666666666667,5.26347477116274,10.25,143.96,148,0.517333333333333,7.76,8
"40","Bernard","EVE","M",11,848,77.0909090909091,9.37454545454545,6.43256770448063,9.38,11.2727272727273,8.19866951512145,12,103.12,124,0.392727272727273,4.32,9
"41","Bernardo","BHA","D",8,631,78.875,7.19,7.93256038651546,4.25,7,7.70783460420073,6.125,57.52,56,0.14,1.12,1
"42","Bernardo Silva","MCI","M",19,1596,84,13.2115789473684,6.48186981181433,13.8,13.4473684210526,9.36585811581694,11.5,251.02,255.5,0.564210526315789,10.72,8
"43","Billy Sharp","SHU","F",7,487,69.5714285714286,7.05714285714286,6.42621120693916,6.5,7.35714285714286,7.59777536363049,5,49.4,51.5,0.331428571428571,2.32,3
"44","Bjorn Engels","AVL","D",16,1402,87.625,4.031875,4.20644302429816,3.265,4.609375,5.66713386554438,4.375,64.51,73.75,0.11,1.76,3
"45","Brandon Williams","MUN","D",11,929,84.4545454545455,6.59545454545455,6.47021539616165,7.76,8.38636363636364,8.52229695883366,9.75,72.55,92.25,0.4,4.4,5
"46","Bruno Fernandes","MUN","M",14,1192,85.1428571428571,13.9542857142857,7.96423323296166,12.44,17.9285714285714,10.5353929919346,16.25,195.36,251,0.482857142857143,6.76,9
"47","Bukayo Saka","ARS","M",16,1337,83.5625,6.81375,4.71182183449247,4.94,7.84375,5.09155755475015,7,109.02,125.5,0.345,5.52,7
"48","Caglar Soyuncu","LEI","D",34,3037,89.3235294117647,7.98,5.46105051499002,8.11,7.61764705882353,6.36551888376247,7.375,271.32,259,0.38,12.92,12
"49","Callum Hudson-Odoi","CHE","F",7,596,85.1428571428571,12.1857142857143,6.25711024127181,15.2,12.1428571428571,7.34117546056877,15.5,85.3,85,0.605714285714286,4.24,2
"50","Callum Wilson","BOU","F",32,2815,87.96875,6.665625,5.23749566941079,6.7,6.65625,6.88082597723793,3.75,213.3,213,0.2,6.4,4
"51","Calum Chambers","ARS","D",11,990,90,7.94818181818182,6.39342602707159,6.32,5.79545454545455,6.45059898557702,5,87.43,63.75,0.370909090909091,4.08,3
"52","Cedric Soares","ARS","D",17,1474,86.7058823529412,8.42705882352941,5.93640649373201,9.19,6.91176470588235,5.39454381214728,6,143.26,117.5,0.374117647058823,6.36,4
"53","Cenk Tosun","CRY","F",5,383,76.6,7.74,5.17136345657506,8.3,6.9,8.04207684618843,5.5,38.7,34.5,0.224,1.12,2
"54","Cesar Azpilicueta","CHE","D",36,3230,89.7222222222222,13.1966666666667,7.6115149608997,11.845,10.4444444444444,8.44945287981736,9.125,475.08,376,0.457777777777778,16.48,8
