"","Player","Team.x","Position","n","min_total","mean_minutes","mean_xFpts","sd_xFpts","median_xFpts","mean_fpts","sd_fpts","median_ftps","total_xFpts","total_fpts","mean_xCS","xCS","CS"
"1","Aaron Connolly","BHA","F",14,1013,72.3571428571429,4.95714285714286,5.41091692581045,3.6,5.85714285714286,8.51340249125002,2.75,69.4,82,0.354285714285714,4.96,5
"2","Aaron Cresswell","WHU","D",31,2730,88.0645161290323,5.35193548387097,4.96620809025346,4.7,5.07258064516129,7.21173625314641,5,165.91,157.25,0.16,4.96,5
"3","Aaron Mooy","BHA","M",25,1999,79.96,9.5096,7.90964415550198,9.1,9.22,8.94320039657691,7,237.74,230.5,0.3136,7.84,6
"4","Aaron Wan-Bissaka","MUN","D",34,3027,89.0294117647059,11.12,6.72188736122301,11.415,10.2205882352941,7.26364043512387,10.125,378.08,347.5,0.490588235294118,16.68,12
"5","Abdoulaye Doucoure","WAT","M",36,3122,86.7222222222222,8.27444444444444,5.98201611711276,8.36,8.11111111111111,7.1993165460451,6.25,297.88,292,0.291111111111111,10.48,10
"6","Adam Masina","WAT","D",20,1720,86,8.578,6.05735707523026,7.305,7.7,7.25911405352645,6,171.56,154,0.328,6.56,6
"7","Adam Smith","BOU","D",24,2060,85.8333333333333,5.80375,5.85024548908921,4.555,4.65625,6.86231537329848,4.375,139.29,111.75,0.243333333333333,5.84,4
"8","Adam Webster","BHA","D",31,2670,86.1290322580645,7.42322580645161,6.1111817662908,6.8,7.08064516129032,7.86378489680547,6.25,230.12,219.5,0.268387096774194,8.32,5
"9","Adama Traore","WOL","F",27,2324,86.0740740740741,19.7518518518519,8.05143897174098,20.2,20.6296296296296,9.87770663256853,17,533.3,557,0.425185185185185,11.48,7
"10","Adrian Mariappa","WAT","D",15,1317,87.8,2.45466666666667,7.49025926183625,0.25,1.66666666666667,8.44713955529721,0.75,36.82,25,0.181333333333333,2.72,3
"11","Ahmed El Mohamady","AVL","D",11,898,81.6363636363636,9.81727272727273,8.69624642119701,6.65,8.47727272727273,7.07765369442316,5.25,107.99,93.25,0.167272727272727,1.84,2
"12","Ainsley Maitland-Niles","ARS","M",15,1301,86.7333333333333,7.74266666666667,5.5395712400699,7.6,7.66666666666667,6.26688196185388,7,116.14,115,0.336,5.04,3
"13","Alex Iwobi","EVE","M",19,1386,72.9473684210526,9.28421052631579,5.91303862079339,9,8.10526315789474,5.67298409463764,7,176.4,154,0.315789473684211,6,4
"14","Alex Oxlade-Chamberlain","LIV","M",17,1204,70.8235294117647,7.90235294117647,4.27760962660772,7.7,8.47058823529412,5.72131592226412,7.5,134.34,144,0.402352941176471,6.84,9
"15","Alexander Tettey","NOR","M",28,2303,82.25,4.13928571428571,2.86383054610872,4.19,4.05357142857143,3.70769791238766,3.75,115.9,113.5,0.242857142857143,6.8,5
"16","Alexandre Lacazette","ARS","F",21,1681,80.0476190476191,9.56190476190476,5.58018603547195,10.6,10.6904761904762,8.33588056307819,9.5,200.8,224.5,0.198095238095238,4.16,6
"17","Allan Saint-Maximin","NEW","M",23,1818,79.0434782608696,16.5408695652174,8.34473264076506,17.5,17.0652173913043,7.9705485550729,17.5,380.44,392.5,0.253913043478261,5.84,8
"18","Andre Gomes","EVE","M",17,1423,83.7058823529412,5.43647058823529,4.75582398378093,4.98,5.29411764705882,5.43730983440287,5,92.42,90,0.348235294117647,5.92,5
"19","Andre Gray","WAT","F",7,506,72.2857142857143,6.41428571428571,7.88763347936261,4.4,4.14285714285714,6.81734482597077,2,44.9,29,0.308571428571429,2.16,0
"20","Andreas Christensen","CHE","D",21,1752,83.4285714285714,8.01904761904762,5.15935936407022,8.05,4.45238095238095,4.12509018660429,3.75,168.4,93.5,0.4,8.4,3
"21","Andreas Pereira","MUN","M",18,1383,76.8333333333333,9.24222222222222,3.67643618284555,8.25,8.5,4.94677553920674,6.25,166.36,153,0.475555555555556,8.56,6
"22","Andrew Robertson","LIV","D",34,3037,89.3235294117647,11.6217647058824,7.93937959204593,11.62,11.9852941176471,7.30476732473042,11.625,395.14,407.5,0.454117647058824,15.44,13
"23","Andriy Yarmolenko","WHU","F",10,698,69.8,9.13,6.74521229383397,10.75,10,7.86694914747063,13.25,91.3,100,0.128,1.28,3
"24","Andros Townsend","CRY","M",14,1139,81.3571428571429,8.33428571428571,4.5847602307674,9.1,8.07142857142857,5.13606083288748,8.25,116.68,113,0.262857142857143,3.68,3
"25","Angelo Ogbonna","WHU","D",31,2787,89.9032258064516,4.79677419354839,4.71397170624855,4.35,5.25806451612903,5.36675098444415,5.5,148.7,163,0.167741935483871,5.2,7
"26","Anthony Martial","MUN","F",31,2632,84.9032258064516,11.5677419354839,7.91603381737657,11.5,14.2096774193548,9.4919037373511,14.5,358.6,440.5,0.458064516129032,14.2,14
"27","Antonio Rudiger","CHE","D",19,1665,87.6315789473684,7.4421052631579,5.02043554877614,6.69,5.39473684210526,7.78010094794624,3.5,141.4,102.5,0.547368421052632,10.4,5
"28","Anwar El Ghazi","AVL","M",24,1794,74.75,9.63166666666667,4.64525533221257,8.61,9.41666666666667,5.54363455306814,7.75,231.16,226,0.156666666666667,3.76,4
"29","Arnaut Danjuma Groeneveld","BOU","F",6,412,68.6666666666667,7.76666666666667,4.19841239835568,6.7,7.66666666666667,6.1454590281497,5.5,46.6,46,0.293333333333333,1.76,2
"30","Arthur Masuaku","WHU","D",10,811,81.1,6.151,6.2023480320852,6.1,8.225,8.29361367425429,6.875,61.51,82.25,0.056,0.56,2
"31","Ashley Barnes","BUR","F",17,1314,77.2941176470588,6.78235294117647,6.72441775305841,4,7.02941176470588,9.11638392578729,2.5,115.3,119.5,0.477647058823529,8.12,8
"32","Ashley Westwood","BUR","M",35,3150,90,6.96571428571429,4.5926989922717,6.38,7.57142857142857,5.06014248977306,7,243.8,265,0.337142857142857,11.8,15
"33","Aymeric Laporte","MCI","D",13,1005,77.3076923076923,7.16384615384615,4.94824470302608,7.7,8.09615384615385,6.25461368173066,8.5,93.13,105.25,0.56,7.28,7
"34","Ayoze Perez","LEI","M",26,1892,72.7692307692308,10.5707692307692,7.04058004603423,8.57,11.4423076923077,11.2927648723215,7.5,274.84,297.5,0.470769230769231,12.24,10
"35","Ben Chilwell","LEI","D",27,2375,87.962962962963,10.1381481481481,8.03808436661996,8.71,10.7314814814815,10.5066201488189,9.75,273.73,289.75,0.380740740740741,10.28,9
"36","Ben Davies","TOT","D",16,1415,88.4375,6.92625,3.53641037399979,6.135,6.40625,5.53539745637113,4.5,110.82,102.5,0.295,4.72,4
"37","Ben Godfrey","NOR","M",30,2646,88.2,3.21066666666667,2.65790549290139,3.06,2.95,2.42952386423689,2.5,96.32,88.5,0.210666666666667,6.32,3
"38","Ben Mee","BUR","D",32,2880,90,8.7784375,6.43673685579941,8.985,8.5078125,9.01912939592752,7.5,280.91,272.25,0.33625,10.76,13
"39","Ben Osborn","SHU","M",6,465,77.5,8.02666666666667,5.83887203718892,8.29,6.33333333333333,4.80277697448743,6.25,48.16,38,0.426666666666667,2.56,2
"40","Benjamin Mendy","MCI","D",17,1393,81.9411764705882,9.74941176470588,6.42928599319963,9.97,9.91176470588235,6.35778384668561,10.25,165.74,168.5,0.508235294117647,8.64,8
"41","Bernard","EVE","M",15,1023,68.2,8.73466666666667,7.63619002482508,5.5,10.0333333333333,9.4688713059965,6.5,131.02,150.5,0.381333333333333,5.72,9
"42","Bernardo","BHA","D",7,563,80.4285714285714,8.53142857142857,9.58567060525141,3.7,7.07142857142857,8.60803196356254,5.25,59.72,49.5,0.16,1.12,0
"43","Bernardo Silva","MCI","M",22,1755,79.7727272727273,13.6409090909091,7.52659912392671,15.49,13.7045454545455,9.97694853973409,12.5,300.1,301.5,0.490909090909091,10.8,8
"44","Billy Sharp","SHU","F",8,546,68.25,7.2375,6.82849858000592,5.5,7.5,8.01338166533242,4.75,57.9,60,0.29,2.32,3
"45","Bjorn Engels","AVL","D",15,1335,89,4.554,3.88389495223545,4.68,5.01666666666667,5.64379136329303,4.5,68.31,75.25,0.117333333333333,1.76,3
"46","Brandon Williams","MUN","D",11,929,84.4545454545455,8.05,6.95276635591906,7.79,9.84090909090909,8.92837662125143,9.75,88.55,108.25,0.4,4.4,5
"47","Bruno Fernandes","MUN","M",14,1192,85.1428571428571,14.8828571428571,8.65871853067223,12.44,18.8571428571429,10.981502929627,17.75,208.36,264,0.482857142857143,6.76,9
"48","Bukayo Saka","ARS","M",17,1355,79.7058823529412,7.85058823529412,5.55281513129628,6.34,8.55882352941176,5.89990029826028,6.5,133.46,145.5,0.338823529411765,5.76,7
"49","Caglar Soyuncu","LEI","D",34,3037,89.3235294117647,8.48,5.44042500567963,8.325,8.11764705882353,6.23201512174981,7.5,288.32,276,0.38,12.92,12
"50","Callum Hudson-Odoi","CHE","F",7,596,85.1428571428571,14.0428571428571,6.56426110156534,17.2,14,7.64307965853207,17.5,98.3,98,0.605714285714286,4.24,2
"51","Callum Wilson","BOU","F",32,2815,87.96875,7.353125,5.40238802484306,6.8,7.34375,6.92056018150312,4.5,235.3,235,0.2,6.4,4
"52","Calum Chambers","ARS","D",13,1058,81.3846153846154,7.46769230769231,6.78784103360088,6.5,6.61538461538461,6.39141300937518,6,97.08,86,0.313846153846154,4.08,3
"53","Cedric Soares","ARS","D",19,1540,81.0526315789474,7.78421052631579,6.4592915984043,5.62,6.44736842105263,5.52744349396241,5.25,147.9,122.5,0.368421052631579,7,4
"54","Cesar Azpilicueta","CHE","D",36,3230,89.7222222222222,13.53,7.66828459118652,12.345,10.7777777777778,8.51066091477914,9.25,487.08,388,0.457777777777778,16.48,8
"55","Charlie Taylor","BUR","D",22,1866,84.8181818181818,7.27772727272727,7.26189528705648,6.925,8.92045454545454,8.35855220846559,10.75,160.11,196.25,0.289090909090909,6.36,10
"56","Che Adams","SOU","F",12,881,73.4166666666667,7.6,2.48193472919817,7.35,8.25,6.64523068892954,6.5,91.2,99,0.303333333333333,3.64,4
"57","Cheikhou Kouyate","CRY","M",29,2371,81.7586206896552,6.11310344827586,3.7557395157738,5.8,6.22413793103448,4.5130489513674,5,177.28,180.5,0.326896551724138,9.48,10
"58","Chris Basham","SHU","D",36,3075,85.4166666666667,8.95527777777778,4.73730995765747,9.665,8.96527777777778,5.4261775475723,9.875,322.39,322.75,0.328888888888889,11.84,12
"59","Chris Mepham","BOU","D",10,900,90,8.484,7.55344983728921,7.65,6.3,6.60471212258507,5.5,84.84,63,0.284,2.84,1
"60","Chris Wood","BUR","F",29,2359,81.3448275862069,8.97241379310345,7.04216365654173,8.4,9.5,8.19625349953083,11,260.2,275.5,0.362758620689655,10.52,11
"61","Christian Atsu","NEW","M",6,494,82.3333333333333,7.78,7.64306744703983,3.6,8.08333333333333,8.69722177862946,3.25,46.68,48.5,0.213333333333333,1.28,1
"62","Christian Benteke","CRY","F",13,1123,86.3846153846154,14.1153846153846,4.43299111846733,14.8,11.8076923076923,5.01887463123981,11.5,183.5,153.5,0.323076923076923,4.2,5
"63","Christian Fuchs","LEI","D",8,719,89.875,7.45,4.70788093064628,6.835,7.0625,5.94731331899419,5.625,59.6,56.5,0.35,2.8,2
"64","Christian Kabasele","WAT","D",26,2251,86.5769230769231,6.15269230769231,6.48750340743945,6.115,5.47115384615385,7.60240979001952,6.5,159.97,142.25,0.304615384615385,7.92,7
"65","Christian Pulisic","CHE","M",19,1569,82.5789473684211,14.2810526315789,8.5463246777241,13.8,15.2894736842105,10.9586543545801,14,271.34,290.5,0.444210526315789,8.44,6
"66","Christoph Zimmermann","NOR","D",16,1386,86.625,4.3475,4.50543893533138,4.305,3.6875,4.86441157798145,3.625,69.56,59,0.21,3.36,3
"67","Ciaran Clark","NEW","D",14,1188,84.8571428571429,4.84285714285714,3.67090940015902,3.475,7.42857142857143,6.86996568924682,6.375,67.8,104,0.114285714285714,1.6,4
"68","Conor Coady","WOL","D",38,3420,90,4.68184210526316,3.78286453398791,4.92,2.96710526315789,5.10040110128856,2,177.91,112.75,0.483157894736842,18.36,13
"69","Conor Hourihane","AVL","M",16,1204,75.25,7.37625,5.25994787680132,8.26,8.28125,7.71787697491998,7.5,118.02,132.5,0.22,3.52,6
"70","Craig Cathcart","WAT","D",28,2445,87.3214285714286,4.42607142857143,4.99779013334206,4.17,4.0625,5.25446238924593,3.5,123.93,113.75,0.317142857142857,8.88,9
"71","Craig Dawson","WAT","D",26,2295,88.2692307692308,6.44653846153846,7.51057384881219,4.875,4.875,7.61125810888055,3.75,167.61,126.75,0.236923076923077,6.16,4
"72","Dale Stephens","BHA","M",28,2476,88.4285714285714,5.41285714285714,2.87003014197987,5.86,5.125,2.8402692882242,5.5,151.56,143.5,0.277142857142857,7.76,6
"73","Dan Burn","BHA","D",33,2869,86.9393939393939,9.54424242424242,5.89496078777407,9.8,8.42424242424242,6.67828946582835,10,314.96,278,0.32,10.56,9
"74","Dan Gosling","BOU","M",14,1098,78.4285714285714,4.81571428571429,4.65452090286045,3.9,5.17857142857143,5.60084864056381,2.5,67.42,72.5,0.208571428571429,2.92,2
"75","Dani Ceballos","ARS","M",17,1364,80.2352941176471,8.76,5.2717169878513,9.16,8.97058823529412,6.93827830822265,9,148.92,152.5,0.254117647058824,4.32,7
"76","Daniel Drinkwater","AVL","M",5,322,64.4,1.608,1.49429582077981,2,1.3,1.71755640373177,2,8.04,6.5,0.128,0.64,0
"77","Daniel James","MUN","M",26,2189,84.1923076923077,7.78230769230769,6.05171929797958,6.56,7.75,6.79153885360306,6.25,202.34,201.5,0.486153846153846,12.64,7
"78","Danny Ings","SOU","F",32,2680,83.75,12.234375,7.02013736539623,11.65,13.96875,8.96672837449287,14,391.5,447,0.33125,10.6,6
"79","Danny Rose","NEW","D",19,1643,86.4736842105263,5.25052631578947,5.93168841775933,7,4.36842105263158,5.197066761547,5.5,99.76,83,0.345263157894737,6.56,5
"80","Danny Rose","TOT/NEW","D",1,74,74,6.87,NA,6.87,-0.75,NA,-0.75,6.87,-0.75,0.72,0.72,0
"81","Danny Welbeck","WAT","F",8,616,77,8.6,7.20138875495553,7.6,7.8125,8.85170483982767,4,68.8,62.5,0.23,1.84,1
"82","Daryl Janmaat","WAT","D",7,596,85.1428571428571,6.37714285714286,5.2257111614456,7.47,9,8.67227382716513,13.25,44.64,63,0.32,2.24,4
"83","David Brooks","BOU","M",8,490,61.25,5.6525,4.56270518129635,5.29,5.125,4.1122638881417,4.5,45.22,41,0.24,1.92,1
"84","David Luiz","ARS","D",32,2786,87.0625,3.820625,5.55748198812979,3.19,4.203125,6.32469478416969,2.75,122.26,134.5,0.2425,7.76,8
"85","David McGoldrick","SHU","F",22,1690,76.8181818181818,11.0045454545455,7.58861787232176,10.25,9,7.70126767548849,7.5,242.1,198,0.389090909090909,8.56,8
"86","David Silva","MCI","M",20,1593,79.65,14.295,7.52865927813949,13.76,16.1,10.8877043155643,15.25,285.9,322,0.52,10.4,9
"87","Davinson Sanchez","TOT","D",27,2385,88.3333333333333,4.77814814814815,4.65634970686187,4.25,3.9537037037037,5.05690552089847,3,129.01,106.75,0.287407407407407,7.76,4
"88","Davy Propper","BHA","M",32,2763,86.34375,7.749375,4.07805451521093,5.95,7.484375,4.16104122941641,6,247.98,239.5,0.3025,9.68,6
"89","DeAndre Yedlin","NEW","D",10,829,82.9,2.631,4.00940408428873,2.87,3.275,5.81120804040682,3.375,26.31,32.75,0.136,1.36,1
"90","Declan Rice","WHU","M",38,3420,90,8.55105263157895,4.84338433690667,8.33,9.1578947368421,5.46624193148136,8.5,324.94,348,0.153684210526316,5.84,7
"91","Dejan Lovren","LIV","D",9,760,84.4444444444444,9.50111111111111,4.1466415460118,9.22,6.69444444444444,3.67588802573987,7,85.51,60.25,0.373333333333333,3.36,0
"92","Dele Alli","TOT","M",21,1779,84.7142857142857,11.2304761904762,7.82187092465126,11.7,12.5238095238095,10.209647631623,10,235.84,263,0.297142857142857,6.24,4
"93","Dennis Praet","LEI","M",12,839,69.9166666666667,5.47166666666667,3.45992599325302,5.69,6.66666666666667,4.42787314701546,5.75,65.66,80,0.296666666666667,3.56,2
"94","Diego Rico","BOU","D",27,2334,86.4444444444444,9.52925925925926,5.7622884916471,9.78,9.58333333333333,7.76456447835045,10,257.29,258.75,0.268148148148148,7.24,6
"95","Diogo Jota","WOL","F",27,2123,78.6296296296296,11.8222222222222,7.00605964825249,10.2,11.0555555555556,9.10445086982327,8.5,319.2,298.5,0.496296296296296,13.4,11
"96","Divock Origi","LIV","F",7,437,62.4285714285714,6.32857142857143,7.32045405825674,2.5,11,10.9582541188518,8.5,44.3,77,0.594285714285714,4.16,2
"97","Djibril Sidibe","EVE","D",18,1540,85.5555555555556,10.8322222222222,6.3284340183163,9.415,10.9722222222222,8.4847999425655,11.875,194.98,197.5,0.315555555555556,5.68,5
"98","Dominic Calvert-Lewin","EVE","F",30,2530,84.3333333333333,10.1833333333333,7.6249175612653,7.2,9.63333333333333,9.19138777309511,6,305.5,289,0.290666666666667,8.72,8
"99","Dominic Solanke","BOU","F",17,1386,81.5294117647059,7.17647058823529,5.20594965061187,5.8,7.70588235294118,7.51469149302179,5.5,122,131,0.225882352941176,3.84,1
"100","Douglas Luiz","AVL","M",26,2273,87.4230769230769,6.60076923076923,5.39168390993161,4.61,6.55769230769231,5.60236900440684,4,171.62,170.5,0.196923076923077,5.12,7
"101","Dwight Gayle","NEW","F",10,690,69,8.2,6.01959762405724,6.45,8.05,6.04818613764123,9.25,82,80.5,0.4,4,4
"102","Dwight McNeil","BUR","M",38,3344,88,11.5531578947368,7.09666122687211,10.82,11.6842105263158,8.02144174935308,11,439.02,444,0.329473684210526,12.52,16
"103","Eddie Nketiah","ARS","F",6,486,81,8.4,3.91356614866799,8.55,6.25,5.03736041990247,5.75,50.4,37.5,0.36,2.16,3
"104","Emerson","CHE","D",13,1008,77.5384615384615,12.5615384615385,9.03302353049986,10.46,7.57692307692308,7.39818714800613,7.5,163.3,98.5,0.476923076923077,6.2,1
"105","Emil Krafth","NEW","D",11,930,84.5454545454545,2.49363636363636,3.24865902405061,2.97,2.56818181818182,5.62926605905569,2,27.43,28.25,0.189090909090909,2.08,3
"106","Emiliano Buendia","NOR","M",28,2339,83.5357142857143,15.1942857142857,9.47294448673047,13.81,14.8035714285714,9.28792454362342,14.75,425.44,414.5,0.208571428571429,5.84,3
"107","Enda Stevens","SHU","D",36,3166,87.9444444444444,9.21361111111111,6.08445098017551,9.94,11.3958333333333,5.49069830323456,11,331.69,410.25,0.328888888888889,11.84,12
"108","Eric Dier","TOT","D",15,1275,85,7.35066666666667,5.72998936257635,6.86,8,5.19872924033227,8,110.26,120,0.304,4.56,3
"109","Eric Garcia","MCI","D",7,567,81,8.60142857142857,6.32275896681037,6.97,8.67857142857143,4.84491633423264,6.75,60.21,60.75,0.537142857142857,3.76,4
"110","Erik Lamela","TOT","M",12,944,78.6666666666667,9.32333333333333,3.86044588412303,9.02,9.95833333333333,5.71862321849862,9.5,111.88,119.5,0.206666666666667,2.48,5
"111","Erik Pieters","BUR","D",21,1784,84.9523809523809,8.25761904761905,6.07777089463062,8.9,7.65476190476191,9.41822574535545,6.5,173.41,160.75,0.331428571428571,6.96,6
"112","Etienne Capoue","WAT","M",30,2632,87.7333333333333,7.19266666666667,4.04631627561401,6.19,7.26666666666667,5.11376326325766,5.75,215.78,218,0.282666666666667,8.48,8
