"","Team","Pos","n","num_diff_players","min_total","sd_emp_pts","sd_xpts","mean_emp_pts","mean_xPts","med_emp_pts","med_xPts","total_emp_fpts","total_xPts","mean_minutes"
"1","ARS","AM",14,2,1111,5.32049737408941,4.5521942541452,6.5,6.86428571428571,5.5,6.85,91,96.1,79.3571428571429
"2","ARS","CB",54,4,4824,7.03590298523296,5.60807794391425,5.69444444444444,5.68703703703704,4.375,4.85,307.5,307.1,89.3333333333333
"3","ARS","CM",15,5,1249,4.92612085384298,4.85987458196001,6.63333333333333,6.31333333333333,4.5,4.8,99.5,94.7,83.2666666666667
"4","ARS","DM",34,4,2965,3.22247704239612,3.31063753008616,4.95588235294118,5.22941176470588,5,5.3,168.5,177.8,87.2058823529412
"5","ARS","FW",25,2,2127,7.69648188027058,4.23490653182964,10.56,9.312,10.5,9.9,264,232.8,85.08
"6","ARS","LB",19,2,1624,4.21107909383129,5.11100692749144,5.44736842105263,5.63157894736842,5.25,4.18,103.5,107,85.4736842105263
"7","ARS","LW",14,3,1242,5.9601469485535,3.41196987992838,12.3214285714286,10.8,10.75,10.6,172.5,151.2,88.7142857142857
"8","ARS","RB",36,5,3223,5.85690814473584,5.78102240092529,5.76388888888889,6.215,5.125,5.04,207.5,223.74,89.5277777777778
"9","ARS","RW",14,2,1145,10.5542163857145,7.60391744034353,12.3928571428571,10.3571428571429,10.5,6.95,173.5,145,81.7857142857143
"10","AVL","CB",61,4,5452,6.18130830847092,4.57155559969393,4.55327868852459,4.4283606557377,4,3.85,277.75,270.13,89.3770491803279
"11","AVL","CM",47,8,4050,7.16048118140856,5.83102943358367,9.16489361702128,8.84148936170213,7.5,9.1,430.75,415.55,86.1702127659574
"12","AVL","DM",21,3,1824,3.79771234398013,3.08649901838251,5.38095238095238,5.23809523809524,5,5,113,110,86.8571428571429
"13","AVL","FW",22,2,1880,8.11163986495341,5.66295778803718,7.18181818181818,7.23636363636364,4.5,6.35,158,159.2,85.4545454545455
"14","AVL","LB",20,2,1736,8.90837866989924,5.88963532067363,6.45,5.384,3.5,4.9,129,107.68,86.8
"15","AVL","LW",16,3,1415,6.28887907341205,5.08802515717051,12.875,12.65,13.25,11.35,206,202.4,88.4375
"16","AVL","RB",21,2,1864,6.73910054758617,6.78666479558399,8.15476190476191,7.44904761904762,7.75,5.65,171.25,156.43,88.7619047619048
"17","AVL","RW",14,2,1090,6.16942567722581,4.78659414578712,10.3214285714286,9.89285714285714,9,8.5,144.5,138.5,77.8571428571429
"18","AVL","WB",12,4,1080,8.02868319140062,6.13105674563381,7.22916666666667,6.2525,7.5,6.565,86.75,75.03,90
"19","BHA","CB",61,4,5490,7.39158203449556,6.03716098279982,7.15983606557377,8.53196721311475,6.25,8.55,436.75,520.45,90
"20","BHA","CM",24,6,2108,5.47706019738665,5.11527798272779,9.04166666666667,8.67916666666667,8.75,8.95,217,208.3,87.8333333333333
"21","BHA","DM",30,5,2677,3.99295356358167,3.89868972979325,6.23333333333333,6.44333333333333,6,6.25,187,193.3,89.2333333333333
"22","BHA","FW",34,5,2819,7.49735544581734,6.29267179821666,6.82352941176471,6.75294117647059,3,4.1,232,229.6,82.9117647058823
"23","BHA","LB",16,2,1388,5.38816217894995,5.42055455342594,9.21875,10.39625,10,11.105,147.5,166.34,86.75
"24","BHA","LW",11,3,894,4.40609082562268,3.48980332866012,8.18181818181818,8.04545454545454,7.5,7.8,90,88.5,81.2727272727273
"25","BHA","RB",12,2,972,8.47397419375134,8.16651825777335,7.6875,9.0725,5.375,7.675,92.25,108.87,81
"26","BHA","RW",10,3,845,5.44671154612273,5.50309004105875,9.5,11.42,7.75,9.7,95,114.2,84.5
"27","BHA","WB",12,5,1013,5.92071990913472,5.74229655251013,8.79166666666667,7.55333333333333,6.75,6.49,105.5,90.64,84.4166666666667
"28","BOU","CB",56,4,5029,5.29594153604878,4.45975404073993,5.97321428571429,6.93107142857143,4.375,6.79,334.5,388.14,89.8035714285714
"29","BOU","CM",60,7,5060,6.0153053376437,5.10333224472011,7.45,7.18,6,6,447,430.8,84.3333333333333
