"","Team.x","Pos","n","num_diff_players","min_total","sd_emp_pts","sd_xpts","mean_emp_pts","mean_xPts","med_emp_pts","med_xPts","total_emp_fpts","total_xPts","mean_minutes","Team_Pos"
"1","ARS","AM",16,3,1245,5.16226290819572,4.47749464916859,5.96875,6.34375,5,6.1,95.5,101.5,77.8125,"ARS_AM"
"2","ARS","CB",69,6,6258,6.54147898851657,5.52987728196776,5.78623188405797,5.67115942028985,5.25,5.05,399.25,391.31,90.695652173913,"ARS_CB"
"3","ARS","CM",25,8,2279,5.36951270290579,4.54602932971914,6.79,6.6692,4.5,4.8,169.75,166.73,91.16,"ARS_CM"
"4","ARS","DM",41,4,3645,3.17507441817914,3.29469085118438,4.98780487804878,5.14146341463415,5,5.1,204.5,210.8,88.9024390243902,"ARS_DM"
"5","ARS","FW",34,3,2881,7.29056969084805,4.05850266111375,9.38235294117647,8.83529411764706,9,8.85,319,300.4,84.7352941176471,"ARS_FW"
"6","ARS","LB",23,3,1946,4.28055166183569,4.76271470732808,5.1195652173913,5.55173913043478,4,4.18,117.75,127.69,84.6086956521739,"ARS_LB"
"7","ARS","LW",20,4,1864,8.32161895938904,4.80576408295836,11.775,10.98,9,10.35,235.5,219.6,93.2,"ARS_LW"
"8","ARS","RB",38,5,3493,6.07366833246616,5.60783683125956,5.66447368421053,6.30342105263158,5.125,5.59,215.25,239.53,91.9210526315789,"ARS_RB"
"9","ARS","RW",19,3,1513,9.82522710777203,7.29740400849219,11.4210526315789,9.21052631578947,11,6,217,175,79.6315789473684,"ARS_RW"
"10","ARS","WB",10,4,842,3.91835070179051,4.24080980212244,6.525,4.207,6.875,4,65.25,42.07,84.2,"ARS_WB"
"11","AVL","CB",75,4,6892,7.36074473562717,5.88150534447748,5.01333333333333,5.27386666666667,3.75,4.68,376,395.54,91.8933333333333,"AVL_CB"
"12","AVL","CM",62,8,5461,6.76051803085226,5.71739468028889,9.03629032258065,8.91693548387097,7.5,8.95,560.25,552.85,88.0806451612903,"AVL_CM"
"13","AVL","DM",26,3,2364,3.673606486191,3.20965131104012,5.15384615384615,5.18846153846154,5,5.25,134,134.9,90.9230769230769,"AVL_DM"
"14","AVL","FW",30,3,2557,7.3995378855399,5.07378205757954,6.78333333333333,7.05333333333333,4.5,5.85,203.5,211.6,85.2333333333333,"AVL_FW"
"15","AVL","LB",26,2,2355,8.71358356025456,6.51500993564388,6.80769230769231,6.80769230769231,5.375,6.01,177,177,90.5769230769231,"AVL_LB"
"16","AVL","LW",19,3,1665,6.26719855898772,4.99544236724281,12,12.3,12.5,11.4,228,233.7,87.6315789473684,"AVL_LW"
"17","AVL","RB",28,3,2527,6.66599078915192,7.13507487826992,8.29464285714286,8.3575,8.75,6.95,232.25,234.01,90.25,"AVL_RB"
"18","AVL","RW",17,2,1312,7.52312611024089,5.02580107749881,10.7352941176471,9.76470588235294,8,9.1,182.5,166,77.1764705882353,"AVL_RW"
"19","AVL","WB",12,4,1080,8.02868319140062,6.13105674563381,7.22916666666667,6.2525,7.5,6.565,86.75,75.03,90,"AVL_WB"
"20","BHA","AM",11,3,874,8.53175885095852,7.00376522113122,9.90909090909091,8.24545454545455,7.5,7,109,90.7,79.4545454545455,"BHA_AM"
"21","BHA","CB",76,4,6807,7.37306025635622,5.98781479632493,6.57894736842105,7.84421052631579,6.25,7.76,500,596.16,89.5657894736842,"BHA_CB"
"22","BHA","CM",28,7,2407,5.66021458078482,5.22318295789456,8.08928571428571,7.86428571428571,7.75,6.85,226.5,220.2,85.9642857142857,"BHA_CM"
"23","BHA","DM",37,5,3306,3.76725260530698,3.70654198053299,5.90540540540541,6.16486486486486,6,6.1,218.5,228.1,89.3513513513514,"BHA_DM"
"24","BHA","FW",43,5,3588,7.26204273419753,6.14368829526079,6.91860465116279,6.85581395348837,4,5.8,297.5,294.8,83.4418604651163,"BHA_FW"
"25","BHA","LB",20,2,1748,6.25703551380785,5.32017300371648,7.9375,9.6175,9.625,10.285,158.75,192.35,87.4,"BHA_LB"
"26","BHA","LW",11,3,894,4.40609082562268,3.48980332866012,8.18181818181818,8.04545454545454,7.5,7.8,90,88.5,81.2727272727273,"BHA_LW"
"27","BHA","RB",13,2,1062,8.71131558553409,7.92058167703383,6.80769230769231,8.72153846153846,4.5,6.4,88.5,113.38,81.6923076923077,"BHA_RB"
"28","BHA","RW",11,3,916,5.22189446639645,5.34623061775133,9.27272727272727,11.0727272727273,7.5,9.2,102,121.8,83.2727272727273,"BHA_RW"
"29","BHA","WB",13,5,1089,5.79227768405752,5.56266849355871,8.46153846153846,7.31846153846154,5.5,5.6,110,95.14,83.7692307692308,"BHA_WB"
"30","BOU","CB",69,5,6189,5.68052190126565,4.67105547492072,5.25724637681159,6.74101449275362,4,6.68,362.75,465.13,89.695652173913,"BOU_CB"
"31","BOU","CM",76,10,6199,5.69503862254513,4.74840601140244,7.15131578947368,6.92236842105263,5.75,5.95,543.5,526.1,81.5657894736842,"BOU_CM"
"32","BOU","DM",28,4,2405,4.9297646358705,4.42123303924387,5.80357142857143,6.07142857142857,4,5,162.5,170,85.8928571428571,"BOU_DM"
"33","BOU","FW",48,3,4127,7.37012250059379,5.53626182865848,6.72916666666667,7.15416666666667,3.75,5.45,323,343.4,85.9791666666667,"BOU_FW"
"34","BOU","LB",26,3,2289,8.32737030243318,6.45426081092054,6.79807692307692,7.57115384615385,7.75,8.025,176.75,196.85,88.0384615384615,"BOU_LB"
"35","BOU","RB",27,3,2332,6.73975692156797,4.6954056771417,5.14814814814815,6.05037037037037,3.75,6.37,139,163.36,86.3703703703704,"BOU_RB"
"36","BUR","CB",68,2,6120,9.52576677544796,6.67535210489451,9.58823529411765,9.62764705882353,8.25,9.17,652,654.68,90,"BUR_CB"
"37","BUR","CM",88,7,7746,5.98344805828079,5.18559354815902,6.67897727272727,6.63738636363636,5.5,6.1,587.75,584.09,88.0227272727273,"BUR_CM"
"38","BUR","DM",37,3,3309,4.80654271309981,4.30104394060081,6.87837837837838,6.81351351351351,5.5,5.8,254.5,252.1,89.4324324324324,"BUR_DM"
"39","BUR","FW",63,4,5232,7.80829085280426,6.39737409327441,8.63492063492063,8.15396825396825,7,8.1,544,513.7,83.0476190476191,"BUR_FW"
"40","BUR","LB",31,2,2790,9.4656921541422,6.74076500875278,8.13709677419355,7.64935483870968,9.5,8.19,252.25,237.13,90,"BUR_LB"
"41","BUR","RB",35,2,3150,7.15186406916865,5.42442574120512,7.07142857142857,7.02228571428571,7.5,7.19,247.5,245.78,90,"BUR_RB"
"42","CHE","AM",15,3,1295,7.35494650526012,5.34624924151325,10.1666666666667,9.56666666666667,7.5,8.9,152.5,143.5,86.3333333333333,"CHE_AM"
"43","CHE","CB",72,5,6454,6.00806281256953,4.9151878714271,5.87847222222222,8.51013888888889,5.125,8.23,423.25,612.73,89.6388888888889,"CHE_CB"
"44","CHE","CM",35,5,2808,8.28869839048348,7.08441537294861,8.65714285714286,8.64,6,7,303,302.4,80.2285714285714,"CHE_CM"
"45","CHE","DM",39,3,3399,6.19498730800062,5.68997034114686,8.2051282051282,7.82820512820513,6.5,7,320,305.3,87.1538461538462,"CHE_DM"
"46","CHE","FW",34,2,2690,8.14333766379581,6.10911186440681,11.6617647058824,10.5764705882353,11.5,9.9,396.5,359.6,79.1176470588235,"CHE_FW"
"47","CHE","LB",26,3,2288,8.38810971646083,7.12916251419801,11.4038461538462,13.9130769230769,9.75,13.64,296.5,361.74,88,"CHE_LB"
"48","CHE","LW",20,5,1662,9.33386589959267,7.79919698970417,14.1,13.17,14.5,14.55,282,263.4,83.1,"CHE_LW"
"49","CHE","RB",26,2,2317,7.8340786606683,6.80859543857276,11.6826923076923,13.7696153846154,12.25,12.725,303.75,358.01,89.1153846153846,"CHE_RB"
