"","Player","Team.x","Position","n","min_total","mean_minutes","mean_xFpts","sd_xFpts","median_xFpts","mean_fpts","sd_fpts","median_ftps","total_xFpts","total_fpts","mean_xCS","xCS","CS"
"1","Aaron Connolly","BHA","F",11,864,78.5454545454545,5.19090909090909,5.67934055070737,3.4,6.90909090909091,9.31347996674224,3,57.1,76,0.450909090909091,4.96,5
"2","Aaron Cresswell","WHU","D",30,2679,89.3,5.452,5.01922057419414,5.025,5.06666666666667,7.33494626985155,4.25,163.56,152,0.165333333333333,4.96,5
"3","Aaron Mooy","BHA","M",22,1861,84.5909090909091,10.91,7.00181677104151,10.88,10.6136363636364,8.32370656072707,8.25,240.02,233.5,0.323636363636364,7.12,6
"4","Aaron Wan-Bissaka","MUN","D",34,3027,89.0294117647059,11.12,6.72188736122301,11.415,10.2205882352941,7.26364043512387,10.125,378.08,347.5,0.490588235294118,16.68,12
"5","Abdoulaye Doucoure","WAT","M",36,3122,86.7222222222222,8.27444444444444,5.98201611711276,8.36,8.11111111111111,7.1993165460451,6.25,297.88,292,0.291111111111111,10.48,10
"6","Adam Masina","WAT","D",19,1675,88.1578947368421,8.65,6.21454387349189,7.4,8.19736842105263,7.09928544299844,6.25,164.35,155.75,0.315789473684211,6,6
"7","Adam Smith","BOU","D",24,2060,85.8333333333333,5.80375,5.85024548908921,4.555,4.65625,6.86231537329848,4.375,139.29,111.75,0.243333333333333,5.84,4
"8","Adam Webster","BHA","D",29,2610,90,7.58448275862069,6.27217642005827,6.8,7.49137931034483,7.96826371306731,6.5,219.95,217.25,0.23448275862069,6.8,5
"9","Adama Traore","WOL","F",26,2268,87.2307692307692,20.0269230769231,8.08047313923177,20.25,20.9615384615385,9.91859171145085,18,520.7,545,0.441538461538462,11.48,7
"10","Adrian Mariappa","WAT","D",15,1330,88.6666666666667,2.37533333333333,7.54194164718369,0.25,1.88333333333333,8.31836751383576,0.75,35.63,28.25,0.138666666666667,2.08,3
