,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Date,Team,Opponent
0,Alexis SÃ¡nchez,7.0,cl CHI,FW,29-234,90,0,0,0,1,3,2,2,2,0,0,0,0,9,0,3,0.0,08/10/2018,Manchester Utd,Leicester City
1,Marcus Rashford,10.0,eng ENG,FW,20-283,66,0,0,0,0,1,1,1,0,2,0,0,0,5,0,1,0.0,08/10/2018,Manchester Utd,Leicester City
2,Romelu Lukaku,9.0,be BEL,FW,25-089,24,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0.0,08/10/2018,Manchester Utd,Leicester City
3,Juan Mata,8.0,es ESP,FW,30-104,90,0,0,0,0,0,0,2,3,0,0,0,0,8,0,1,0.0,08/10/2018,Manchester Utd,Leicester City
4,Paul Pogba,6.0,fr FRA,CM,25-148,83,0,0,0,1,1,0,1,0,0,0,0,0,14,1,1,50.0,08/10/2018,Manchester Utd,Leicester City
5,Marouane Fellaini,27.0,be BEL,CM,30-261,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,08/10/2018,Manchester Utd,Leicester City
6,Andreas Pereira,15.0,br BRA,CM,22-221,90,1,0,0,4,1,0,0,3,1,0,0,0,16,0,0,,08/10/2018,Manchester Utd,Leicester City
7,Fred,17.0,br BRA,CM,25-158,75,1,0,0,3,1,0,2,3,1,0,0,0,8,0,0,,08/10/2018,Manchester Utd,Leicester City
8,Scott McTominay,39.0,sco SCO,CM,21-245,15,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,08/10/2018,Manchester Utd,Leicester City
9,Luke Shaw,23.0,eng ENG,LB,23-029,90,0,0,0,0,1,0,0,0,2,0,0,0,16,1,3,25.0,08/10/2018,Manchester Utd,Leicester City
10,Victor LindelÃ¶f,2.0,se SWE,CB,24-024,90,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,,08/10/2018,Manchester Utd,Leicester City
11,Eric Bailly,3.0,ci CIV,CB,24-120,90,0,0,0,0,1,0,0,0,2,0,0,0,6,0,0,,08/10/2018,Manchester Utd,Leicester City
12,Matteo Darmian,36.0,it ITA,RB,28-251,90,0,0,0,1,0,0,0,2,3,0,0,0,5,0,1,0.0,08/10/2018,Manchester Utd,Leicester City
13,David de Gea,1.0,es ESP,GK,27-276,90,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,08/10/2018,Manchester Utd,Leicester City
14,Kelechi Iheanacho,8.0,ng NGA,"FW,AM",21-311,90,0,0,0,1,0,1,0,0,1,0,0,0,5,0,0,,08/10/2018,Leicester City,Manchester Utd
15,Demarai Gray,7.0,eng ENG,AM,22-043,90,0,0,0,0,3,0,4,2,1,0,0,0,6,0,0,,08/10/2018,Leicester City,Manchester Utd
16,James Maddison,10.0,eng ENG,AM,21-260,62,0,0,0,0,4,1,2,2,1,0,0,0,6,0,0,,08/10/2018,Leicester City,Manchester Utd
17,Jamie Vardy,9.0,eng ENG,FW,31-211,28,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,100.0,08/10/2018,Leicester City,Manchester Utd
18,Ricardo Pereira,14.0,pt POR,"AM,RB",24-308,90,0,0,0,2,0,0,3,2,3,0,0,0,10,4,0,100.0,08/10/2018,Leicester City,Manchester Utd
