,Date,Team,home,Opponent,sca_1_player,sca_1_pos,sca_1_event,sca_2_player,sca_2_pos,sca_2_event,shot_player,shot_pos,shot_outcome,shot_distance,shot_body_part,shot_notes,minute
0,August-9-2019,Norwich City,0,Liverpool,Teemu Pukki,FW,Pass (Live),,nan,,Marco Stiepermann,AM,Off Target,16.0,Left Foot,,5
1,August-9-2019,Norwich City,0,Liverpool,Teemu Pukki,FW,Pass (Live),Jamal Lewis,LB,Pass (Live),Marco Stiepermann,AM,Off Target,17.0,Left Foot,,10
2,August-9-2019,Norwich City,0,Liverpool,Jamal Lewis,LB,Pass (Live),Tom Trybull,CM,Pass (Live),Teemu Pukki,FW,Blocked,14.0,Left Foot,,15
3,August-9-2019,Norwich City,0,Liverpool,Todd Cantwell,LW,Pass (Live),Emi BuendÃ­a,RW,Pass (Live),Teemu Pukki,FW,Wayward,10.0,Left Foot,,15
4,August-9-2019,Liverpool,1,Norwich City,Divock Origi,LW,Pass (Live),,nan,,Andrew Robertson,LB,Off Target,20.0,Left Foot,,16
5,August-9-2019,Liverpool,1,Norwich City,Roberto Firmino,FW,Pass (Live),,nan,,Mohamed Salah,RW,Goal,9.0,Left Foot,,19
6,August-9-2019,Norwich City,0,Liverpool,Todd Cantwell,LW,Pass (Live),,nan,,Emi BuendÃ­a,RW,Saved,22.0,Left Foot,,25
7,August-9-2019,Norwich City,0,Liverpool,Emi BuendÃ­a,RW,Pass (Live),Max Aarons,RB,Pass (Live),Marco Stiepermann,AM,Saved,22.0,Left Foot,Half volley,26
8,August-9-2019,Liverpool,1,Norwich City,Mohamed Salah,RW,Pass (Dead),Georginio Wijnaldum,"CM,FW",Pass (Live),Virgil van Dijk,CB,Goal,8.0,Head,,28
9,August-9-2019,Liverpool,1,Norwich City,Trent Alexander-Arnold,RB,Pass (Live),,nan,,Roberto Firmino,FW,Saved,13.0,Left Foot,Volley,31
10,August-9-2019,Norwich City,0,Liverpool,Emi BuendÃ­a,RW,Pass (Dead),,nan,,Tom Trybull,CM,Off Target,11.0,Head,,35
