,Player,#,Nation,Pos,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Past,Press,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Date,Team,Opponent
0,Josip Drmic,20.0,ch SUI,FW,44,0,0,0,0,0,0,0,,0,2,0,0.0,1,1,0,0,0,0,0,0,,0,0,07/18/20,Norwich City,Burnley
1,Onel Hernandez,11.0,cu CUB,"LW,CM",85,1,0,1,0,0,1,2,50.0,1,6,2,33.3,5,1,0,1,1,0,0,1,,1,0,07/18/20,Norwich City,Burnley
2,Adam Idah,35.0,ie IRL,CM,5,0,0,0,0,0,0,0,,0,1,0,0.0,0,0,1,0,0,0,0,0,,0,0,07/18/20,Norwich City,Burnley
3,Emiliano Buendia,17.0,ar ARG,"FW,RW",34,0,0,0,0,0,0,0,,0,3,0,0.0,1,2,0,0,0,0,0,0,,0,0,07/18/20,Norwich City,Burnley
4,Todd Cantwell,14.0,eng ENG,"AM,CM",75,0,0,0,0,0,0,1,0.0,1,6,1,16.7,3,2,1,1,0,0,1,0,,0,0,07/18/20,Norwich City,Burnley
5,Lukas Rupp,7.0,de GER,CM,15,1,1,1,0,0,0,0,,0,3,0,0.0,1,2,0,1,0,0,1,0,,0,0,07/18/20,Norwich City,Burnley
6,Kenny McLean,23.0,sco SCO,DM,90,0,0,0,0,0,0,0,,0,9,0,0.0,2,4,3,0,0,0,0,1,,2,0,07/18/20,Norwich City,Burnley
7,Alexander Tettey,27.0,no NOR,DM,89,1,1,1,0,0,0,0,,0,5,1,20.0,4,1,0,1,0,0,1,1,,4,0,07/18/20,Norwich City,Burnley
8,Mario Vrancic,8.0,ba BIH,DM,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0,07/18/20,Norwich City,Burnley
9,Jamal Lewis,12.0,nir NIR,LB,90,1,1,1,0,0,0,0,,0,9,6,66.7,4,5,0,1,0,0,1,3,,2,0,07/18/20,Norwich City,Burnley
10,Timm Klose,15.0,ch SUI,CB,45,0,0,0,0,0,0,1,0.0,1,4,2,50.0,4,0,0,0,0,0,0,2,,3,0,07/18/20,Norwich City,Burnley
11,Christoph Zimmermann,6.0,de GER,CB,45,1,1,1,0,0,0,0,,0,1,0,0.0,1,0,0,5,5,0,0,0,,4,0,07/18/20,Norwich City,Burnley
12,Ben Godfrey,4.0,eng ENG,CB,90,0,0,0,0,0,0,0,,0,5,1,20.0,3,2,0,3,2,0,1,1,,13,0,07/18/20,Norwich City,Burnley
13,Max Aarons,2.0,eng ENG,RB,90,0,0,0,0,0,0,0,,0,3,0,0.0,3,0,0,7,1,0,6,1,,3,0,07/18/20,Norwich City,Burnley
14,Tim Krul,1.0,nl NED,GK,90,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,1,,0,0,07/18/20,Norwich City,Burnley
15,Jay Rodriguez,19.0,eng ENG,FW,90,1,1,0,0,1,1,1,100.0,0,23,8,34.8,0,8,15,1,0,0,1,0,,0,0,07/18/20,Burnley,Norwich City
16,Chris Wood,9.0,nz NZL,FW,78,0,0,0,0,0,0,0,,0,4,1,25.0,0,2,2,0,0,0,0,0,,1,0,07/18/20,Burnley,Norwich City
17,Matej Vydra,27.0,cz CZE,FW,12,0,0,0,0,0,0,0,,0,4,2,50.0,0,1,3,0,0,0,0,0,,0,0,07/18/20,Burnley,Norwich City
18,Dwight McNeil,11.0,eng ENG,CM,90,2,0,0,2,0,1,5,20.0,4,15,3,20.0,3,5,7,2,0,0,2,1,,0,0,07/18/20,Burnley,Norwich City
19,Johann Gudmundsson,7.0,is ISL,CM,59,1,0,0,0,1,0,1,0.0,1,17,4,23.5,3,6,8,1,0,0,1,1,,1,0,07/18/20,Burnley,Norwich City
20,Robbie Brady,12.0,ie IRL,CM,31,1,0,1,0,0,1,2,50.0,1,4,1,25.0,1,2,1,1,0,0,1,1,,0,0,07/18/20,Burnley,Norwich City
21,Josh Brownhill,8.0,eng ENG,DM,90,0,0,0,0,0,0,1,0.0,1,16,5,31.3,3,8,5,0,0,0,0,0,,0,0,07/18/20,Burnley,Norwich City
22,Ashley Westwood,18.0,eng ENG,DM,90,0,0,0,0,0,0,0,,0,10,3,30.0,1,4,5,1,0,0,1,1,,0,0,07/18/20,Burnley,Norwich City
23,Erik Pieters,23.0,nl NED,LB,90,2,0,0,2,0,1,2,50.0,1,14,2,14.3,1,9,4,0,0,0,0,1,,0,0,07/18/20,Burnley,Norwich City
24,James Tarkowski,5.0,eng ENG,CB,90,2,1,2,0,0,2,2,100.0,0,8,4,50.0,3,3,2,2,2,0,0,1,,6,0,07/18/20,Burnley,Norwich City
25,Kevin Long,28.0,ie IRL,CB,90,1,1,0,1,0,0,0,,0,6,3,50.0,4,2,0,1,0,0,1,0,,1,0,07/18/20,Burnley,Norwich City
26,Phil Bardsley,26.0,sco SCO,RB,90,2,2,0,1,1,1,3,33.3,2,13,7,53.8,2,8,3,1,0,0,1,2,,5,0,07/18/20,Burnley,Norwich City
27,Nick Pope,1.0,eng ENG,GK,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0,07/18/20,Burnley,Norwich City
28,Joshua King,7.0,no NOR,FW,68,0,0,0,0,0,0,1,0.0,1,10,3,30.0,1,1,8,1,0,0,1,0,,0,0,07/19/20,Bournemouth,Southampton
29,Lewis Cook,16.0,eng ENG,"CM,FW",22,1,0,0,1,0,0,0,,0,7,2,28.6,0,7,0,0,0,0,0,0,,0,0,07/19/20,Bournemouth,Southampton
