,Player,#,Nation,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xA,KP,1/3,PPA,CrsPA,Prog,Date,Team,Opponent
0,Josip Drmic,20.0,ch SUI,FW,44,3,5,60.0,51,5,0,0,,2,3,66.7,1,2,50.0,0,0.0,0,0,0,0,0,07/18/20,Norwich City,Burnley
1,Onel Hernandez,11.0,cu CUB,"LW,CM",85,20,21,95.2,280,44,1,1,100.0,17,17,100.0,2,3,66.7,0,0.0,0,1,0,0,0,07/18/20,Norwich City,Burnley
2,Adam Idah,35.0,ie IRL,CM,5,1,1,100.0,3,0,1,1,100.0,0,0,,0,0,,0,0.0,0,0,0,0,0,07/18/20,Norwich City,Burnley
3,Emiliano Buendia,17.0,ar ARG,"FW,RW",34,8,13,61.5,208,48,0,0,,5,6,83.3,3,7,42.9,0,0.0,2,0,0,0,2,07/18/20,Norwich City,Burnley
4,Todd Cantwell,14.0,eng ENG,"AM,CM",75,19,21,90.5,299,16,0,1,0.0,15,16,93.8,4,4,100.0,0,0.0,0,4,0,0,0,07/18/20,Norwich City,Burnley
5,Lukas Rupp,7.0,de GER,CM,15,6,6,100.0,74,15,0,0,,6,6,100.0,0,0,,0,0.0,0,0,0,0,0,07/18/20,Norwich City,Burnley
6,Kenny McLean,23.0,sco SCO,DM,90,35,44,79.5,678,201,0,2,0.0,28,31,90.3,7,11,63.6,0,0.0,1,7,0,0,6,07/18/20,Norwich City,Burnley
7,Alexander Tettey,27.0,no NOR,DM,89,34,40,85.0,585,72,0,3,0.0,28,29,96.6,6,8,75.0,0,0.0,0,2,0,0,0,07/18/20,Norwich City,Burnley
8,Mario Vrancic,8.0,ba BIH,DM,1,3,3,100.0,37,0,0,0,,3,3,100.0,0,0,,0,0.0,0,0,0,0,0,07/18/20,Norwich City,Burnley
9,Jamal Lewis,12.0,nir NIR,LB,90,45,54,83.3,760,246,0,2,0.0,37,41,90.2,8,11,72.7,0,0.0,0,0,0,0,2,07/18/20,Norwich City,Burnley
10,Timm Klose,15.0,ch SUI,CB,45,16,22,72.7,323,80,0,1,0.0,13,13,100.0,3,8,37.5,0,0.0,0,1,0,0,0,07/18/20,Norwich City,Burnley
11,Christoph Zimmermann,6.0,de GER,CB,45,6,8,75.0,133,62,0,0,,5,5,100.0,1,3,33.3,0,0.1,1,1,0,0,0,07/18/20,Norwich City,Burnley
12,Ben Godfrey,4.0,eng ENG,CB,90,26,32,81.3,497,95,0,1,0.0,22,23,95.7,4,8,50.0,0,0.0,0,0,0,0,0,07/18/20,Norwich City,Burnley
13,Max Aarons,2.0,eng ENG,RB,90,24,33,72.7,435,132,0,2,0.0,18,22,81.8,6,9,66.7,0,0.0,0,2,0,0,2,07/18/20,Norwich City,Burnley
14,Tim Krul,1.0,nl NED,GK,90,37,65,56.9,1358,957,0,0,,15,15,100.0,22,50,44.0,0,0.0,0,1,0,0,0,07/18/20,Norwich City,Burnley
15,Jay Rodriguez,19.0,eng ENG,FW,90,16,22,72.7,193,38,0,2,0.0,16,18,88.9,0,2,0.0,0,0.0,0,1,1,0,1,07/18/20,Burnley,Norwich City
16,Chris Wood,9.0,nz NZL,FW,78,8,12,66.7,93,17,1,2,50.0,7,10,70.0,0,0,,0,0.0,1,0,0,0,1,07/18/20,Burnley,Norwich City
17,Matej Vydra,27.0,cz CZE,FW,12,7,7,100.0,65,8,2,2,100.0,5,5,100.0,0,0,,0,0.0,0,0,0,0,0,07/18/20,Burnley,Norwich City
18,Dwight McNeil,11.0,eng ENG,CM,90,45,61,73.8,918,266,1,7,14.3,34,36,94.4,10,18,55.6,0,0.3,3,5,5,2,9,07/18/20,Burnley,Norwich City
