,Player,#,Nation,Pos,Min,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out.1,Int,Blocks,Date,Team,Opponent
0,Josip Drmic,20.0,ch SUI,FW,44,5,5,0,0,0,3,0,0,0,0,0,0,2,1,2,0,3,0,0,1,3,0,0,0,0,07/18/20,Norwich City,Burnley
1,Onel Hernandez,11.0,cu CUB,"LW,CM",85,21,21,0,0,0,5,0,0,0,0,0,0,18,1,2,2,18,0,0,1,20,0,0,0,0,07/18/20,Norwich City,Burnley
2,Adam Idah,35.0,ie IRL,CM,5,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,07/18/20,Norwich City,Burnley
3,Emiliano Buendia,17.0,ar ARG,"FW,RW",34,13,7,6,1,0,2,4,6,5,0,1,4,5,2,6,0,13,0,0,0,8,0,1,0,0,07/18/20,Norwich City,Burnley
4,Todd Cantwell,14.0,eng ENG,"AM,CM",75,21,20,1,0,0,4,0,0,0,0,0,0,17,3,1,2,18,1,0,0,19,0,0,0,1,07/18/20,Norwich City,Burnley
5,Lukas Rupp,7.0,de GER,CM,15,6,5,1,0,0,1,0,0,0,0,0,0,5,0,1,0,6,0,0,0,6,0,0,0,0,07/18/20,Norwich City,Burnley
6,Kenny McLean,23.0,sco SCO,DM,90,44,39,5,3,0,11,4,1,1,0,1,0,28,7,9,30,8,1,1,0,35,0,1,2,1,07/18/20,Norwich City,Burnley
7,Alexander Tettey,27.0,no NOR,DM,89,40,39,1,1,0,10,0,0,0,0,0,0,31,4,5,3,32,5,0,0,34,0,0,0,0,07/18/20,Norwich City,Burnley
8,Mario Vrancic,8.0,ba BIH,DM,1,3,3,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,1,0,0,3,0,0,0,0,07/18/20,Norwich City,Burnley
9,Jamal Lewis,12.0,nir NIR,LB,90,54,44,10,1,0,10,0,1,0,0,0,0,34,8,12,39,4,2,9,0,45,0,0,0,3,07/18/20,Norwich City,Burnley
10,Timm Klose,15.0,ch SUI,CB,45,22,21,1,1,0,1,1,0,0,0,0,0,13,1,8,9,11,1,0,0,16,0,1,0,1,07/18/20,Norwich City,Burnley
11,Christoph Zimmermann,6.0,de GER,CB,45,8,8,0,0,0,0,0,0,0,0,0,0,5,0,3,1,7,0,0,0,6,0,0,0,0,07/18/20,Norwich City,Burnley
