,Player,#,Nation,Pos,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Date,Team,Opponent
0,Josip Drmic,20.0,ch SUI,FW,44,11,1,1,10,0,0,11,0,1,0.0,0,0,5,31,8,9,6,66.7,3,1,07/18/20,Norwich City,Burnley
1,Onel Hernandez,11.0,cu CUB,"LW,CM",85,32,1,9,10,15,2,32,0,1,0.0,0,0,24,228,182,32,23,71.9,3,1,07/18/20,Norwich City,Burnley
2,Adam Idah,35.0,ie IRL,CM,5,1,0,0,1,0,0,1,0,0,,0,0,0,0,0,3,1,33.3,0,0,07/18/20,Norwich City,Burnley
3,Emiliano Buendia,17.0,ar ARG,"FW,RW",34,13,0,1,6,7,0,7,0,0,,0,0,4,34,8,11,6,54.5,0,0,07/18/20,Norwich City,Burnley
4,Todd Cantwell,14.0,eng ENG,"AM,CM",75,29,0,4,22,9,1,28,3,4,75.0,3,0,24,201,91,26,24,92.3,1,1,07/18/20,Norwich City,Burnley
5,Lukas Rupp,7.0,de GER,CM,15,8,2,7,2,0,0,7,0,0,,0,0,5,31,0,4,4,100.0,0,0,07/18/20,Norwich City,Burnley
6,Kenny McLean,23.0,sco SCO,DM,90,52,2,14,31,11,0,48,2,4,50.0,2,0,36,240,121,42,38,90.5,3,0,07/18/20,Norwich City,Burnley
7,Alexander Tettey,27.0,no NOR,DM,89,47,3,21,23,3,1,46,1,1,100.0,1,0,30,145,47,31,31,100.0,0,1,07/18/20,Norwich City,Burnley
8,Mario Vrancic,8.0,ba BIH,DM,1,3,0,0,3,0,0,3,0,0,,0,0,2,26,0,3,3,100.0,0,0,07/18/20,Norwich City,Burnley
9,Jamal Lewis,12.0,nir NIR,LB,90,66,4,25,26,20,0,56,1,3,33.3,2,0,40,227,100,39,38,97.4,2,1,07/18/20,Norwich City,Burnley
10,Timm Klose,15.0,ch SUI,CB,45,28,7,20,9,1,0,27,0,0,,0,0,17,68,30,17,17,100.0,1,0,07/18/20,Norwich City,Burnley
11,Christoph Zimmermann,6.0,de GER,CB,45,20,12,20,1,0,0,20,0,1,0.0,0,0,6,51,24,5,5,100.0,0,0,07/18/20,Norwich City,Burnley
12,Ben Godfrey,4.0,eng ENG,CB,90,52,14,37,14,3,3,51,0,0,,0,0,26,177,43,28,28,100.0,0,0,07/18/20,Norwich City,Burnley
13,Max Aarons,2.0,eng ENG,RB,90,47,11,29,19,4,0,45,1,2,50.0,2,0,32,258,114,31,30,96.8,2,0,07/18/20,Norwich City,Burnley
14,Tim Krul,1.0,nl NED,GK,90,71,59,71,1,0,0,47,0,0,,0,0,31,175,110,30,29,96.7,0,0,07/18/20,Norwich City,Burnley
15,Jay Rodriguez,19.0,eng ENG,FW,90,38,0,0,11,28,9,38,1,1,100.0,1,0,18,129,52,46,33,71.7,4,2,07/18/20,Burnley,Norwich City
16,Chris Wood,9.0,nz NZL,FW,78,21,1,1,4,16,9,21,0,0,,0,0,9,17,8,26,17,65.4,2,0,07/18/20,Burnley,Norwich City
17,Matej Vydra,27.0,cz CZE,FW,12,9,0,0,3,6,4,9,0,0,,0,0,2,18,3,8,7,87.5,0,0,07/18/20,Burnley,Norwich City
18,Dwight McNeil,11.0,eng ENG,CM,90,70,0,2,31,45,2,65,0,0,,0,0,54,492,297,59,58,98.3,1,1,07/18/20,Burnley,Norwich City
19,Johann Gudmundsson,7.0,is ISL,CM,59,29,0,2,12,18,2,29,1,1,100.0,1,0,21,142,65,22,18,81.8,0,1,07/18/20,Burnley,Norwich City
20,Robbie Brady,12.0,ie IRL,CM,31,34,0,1,16,21,5,33,0,0,,0,0,21,111,64,32,29,90.6,1,0,07/18/20,Burnley,Norwich City
21,Josh Brownhill,8.0,eng ENG,DM,90,50,0,4,24,24,1,47,0,0,,0,0,34,119,40,43,40,93.0,0,0,07/18/20,Burnley,Norwich City
22,Ashley Westwood,18.0,eng ENG,DM,90,96,0,6,63,35,0,91,0,0,,0,0,74,383,247,84,82,97.6,1,0,07/18/20,Burnley,Norwich City
23,Erik Pieters,23.0,nl NED,LB,90,62,1,7,25,37,4,54,0,0,,0,0,34,295,238,43,43,100.0,0,0,07/18/20,Burnley,Norwich City
24,James Tarkowski,5.0,eng ENG,CB,90,54,7,18,31,6,2,54,0,0,,0,0,24,93,48,34,34,100.0,0,0,07/18/20,Burnley,Norwich City
25,Kevin Long,28.0,ie IRL,CB,90,42,0,17,25,1,0,40,1,1,100.0,1,0,21,130,42,19,19,100.0,0,0,07/18/20,Burnley,Norwich City
26,Phil Bardsley,26.0,sco SCO,RB,90,70,1,10,33,31,2,57,0,1,0.0,0,0,31,89,47,40,39,97.5,0,0,07/18/20,Burnley,Norwich City
27,Nick Pope,1.0,eng ENG,GK,90,26,19,26,0,0,0,21,0,0,,0,0,18,109,67,13,13,100.0,0,0,07/18/20,Burnley,Norwich City
28,Joshua King,7.0,no NOR,FW,68,26,0,1,12,15,7,25,1,4,25.0,2,0,14,179,139,40,21,52.5,4,2,07/19/20,Bournemouth,Southampton
29,Lewis Cook,16.0,eng ENG,"CM,FW",22,13,0,0,9,6,0,13,2,2,100.0,2,0,9,28,9,7,6,85.7,1,1,07/19/20,Bournemouth,Southampton
30,Callum Wilson,13.0,eng ENG,"FW,LW",90,32,0,0,11,22,9,32,1,2,50.0,1,0,13,69,34,48,23,47.9,1,4,07/19/20,Bournemouth,Southampton
31,Junior Stanislas,19.0,eng ENG,CM,69,29,1,3,14,16,1,26,0,0,,0,0,14,112,64,25,17,68.0,1,3,07/19/20,Bournemouth,Southampton
32,Dominic Solanke,9.0,eng ENG,"FW,CM",21,8,1,1,1,6,3,8,0,0,,0,0,5,28,22,11,3,27.3,1,2,07/19/20,Bournemouth,Southampton
33,Philip Billing,29.0,dk DEN,CM,86,44,3,8,19,20,2,39,0,0,,0,0,15,100,58,18,15,83.3,1,1,07/19/20,Bournemouth,Southampton
34,Dan Gosling,4.0,eng ENG,CM,4,4,0,1,2,1,0,4,0,0,,0,0,1,2,2,2,1,50.0,0,0,07/19/20,Bournemouth,Southampton
35,Jefferson Lerma,8.0,co COL,CM,81,42,4,9,20,13,2,42,0,0,,0,0,10,44,19,15,13,86.7,2,0,07/19/20,Bournemouth,Southampton
36,Sam Surridge,44.0,eng ENG,"RW,CM",9,8,0,1,1,6,1,8,0,0,,0,0,3,13,2,9,6,66.7,2,0,07/19/20,Bournemouth,Southampton
