,Player,#,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,Date,Team,Opponent
0,Roberto Firmino,9,br BRA,FW,85,0,1,0,0,4,1,0,0,39,25,2,0,1,0.8,0.8,0.5,4,1,21,29,72.4,79,33,130,3,3,8/9/19,Liverpool,Norwich City
1,James Milner,7,eng ENG,"CM,FW",5,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,3,4,75,24,3,8,0,0,8/9/19,Liverpool,Norwich City
2,Divock Origi,27,be BEL,LW,73,1,0,0,0,1,1,0,0,36,12,4,1,0,0.3,0.3,0,4,1,14,22,63.6,37,25,138,0,1,8/9/19,Liverpool,Norwich City
3,Sadio Mane,10,sn SEN,LW,17,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,9,11,81.8,16,14,106,1,1,8/9/19,Liverpool,Norwich City
4,Mohamed Salah,11,eg EGY,RW,90,1,1,0,0,2,1,0,0,47,22,0,0,0,0.4,0.4,0.2,4,1,23,37,62.2,164,35,206,2,2,8/9/19,Liverpool,Norwich City
5,Georginio Wijnaldum,5,nl NED,"CM,FW",90,0,0,0,0,0,0,0,0,47,10,0,1,0,0,0,0,1,1,37,40,92.5,183,41,79,1,1,8/9/19,Liverpool,Norwich City
6,Jordan Henderson,14,eng ENG,CM,90,0,0,0,0,2,1,0,0,66,18,1,2,1,0.2,0.2,0,2,1,46,58,79.3,229,46,139,2,3,8/9/19,Liverpool,Norwich City
7,Fabinho,3,br BRA,DM,90,0,0,0,0,1,1,0,0,57,20,7,2,4,0,0,0,1,0,35,43,81.4,156,32,86,0,0,8/9/19,Liverpool,Norwich City
8,Andrew Robertson,26,sco SCO,LB,90,0,0,0,0,2,0,0,0,92,12,3,1,2,0,0,0,1,1,70,81,86.4,523,67,209,0,0,8/9/19,Liverpool,Norwich City
9,Virgil van Dijk,4,nl NED,CB,90,1,0,0,0,1,1,0,0,69,3,3,5,1,0,0,0,0,0,49,59,83.1,399,43,62,0,1,8/9/19,Liverpool,Norwich City
10,Joseph Gomez,12,eng ENG,CB,90,0,0,0,0,0,0,0,0,58,13,3,0,2,0,0,0,1,0,44,51,86.3,226,39,89,1,1,8/9/19,Liverpool,Norwich City
11,Trent Alexander-Arnold,66,eng ENG,RB,90,0,1,0,0,2,1,0,0,72,19,1,2,4,0.2,0.2,1,3,1,32,54,59.3,206,38,122,0,1,8/9/19,Liverpool,Norwich City
