,Player,#,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,Date,Team,Opponent
0,Josip Drmic,20.0,ch SUI,FW,44,0,0,0,0,0,0,0,1,11,2,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,5,5,8,0,1,07/18/20,Norwich City,Burnley
1,Onel Hernandez,11.0,cu CUB,"LW,CM",85,0,0,0,0,1,1,0,0,32,6,1,1,1,0.1,0.1,0.0,2,0,20,21,95.2,44,24,182,0,1,07/18/20,Norwich City,Burnley
2,Adam Idah,35.0,ie IRL,CM,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0,07/18/20,Norwich City,Burnley
3,Emiliano Buendia,17.0,ar ARG,"FW,RW",34,0,0,0,0,0,0,0,1,13,3,0,0,0,0.0,0.0,0.0,2,0,8,13,61.5,48,4,8,0,0,07/18/20,Norwich City,Burnley
4,Todd Cantwell,14.0,eng ENG,"AM,CM",75,0,0,0,0,1,0,0,0,29,6,0,0,1,0.0,0.0,0.0,0,0,19,21,90.5,16,24,91,3,4,07/18/20,Norwich City,Burnley
5,Lukas Rupp,7.0,de GER,CM,15,0,0,0,0,0,0,0,0,8,3,1,0,1,0.0,0.0,0.0,0,0,6,6,100.0,15,5,0,0,0,07/18/20,Norwich City,Burnley
6,Kenny McLean,23.0,sco SCO,DM,90,0,0,0,0,0,0,0,0,52,9,0,1,0,0.0,0.0,0.0,2,0,35,44,79.5,201,36,121,2,4,07/18/20,Norwich City,Burnley
7,Alexander Tettey,27.0,no NOR,DM,89,0,0,0,0,1,0,0,0,47,5,1,1,1,0.1,0.1,0.0,1,0,34,40,85.0,72,30,47,1,1,07/18/20,Norwich City,Burnley
8,Mario Vrancic,8.0,ba BIH,DM,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,2,0,0,0,07/18/20,Norwich City,Burnley
9,Jamal Lewis,12.0,nir NIR,LB,90,0,0,0,0,0,0,0,0,66,9,1,3,1,0.0,0.0,0.0,0,0,45,54,83.3,246,40,100,1,3,07/18/20,Norwich City,Burnley
10,Timm Klose,15.0,ch SUI,CB,45,0,0,0,0,0,0,0,0,28,4,0,2,0,0.0,0.0,0.0,0,0,16,22,72.7,80,17,30,0,0,07/18/20,Norwich City,Burnley
11,Christoph Zimmermann,6.0,de GER,CB,45,0,0,0,0,0,0,0,0,20,1,1,0,5,0.0,0.0,0.1,1,0,6,8,75.0,62,6,24,0,1,07/18/20,Norwich City,Burnley
12,Ben Godfrey,4.0,eng ENG,CB,90,0,0,0,0,3,1,0,0,52,5,0,1,3,0.1,0.1,0.0,1,0,26,32,81.3,95,26,43,0,0,07/18/20,Norwich City,Burnley
13,Max Aarons,2.0,eng ENG,RB,90,0,0,0,0,0,0,0,0,47,3,0,1,7,0.0,0.0,0.0,0,0,24,33,72.7,132,32,114,1,2,07/18/20,Norwich City,Burnley
14,Tim Krul,1.0,nl NED,GK,90,0,0,0,0,0,0,0,0,71,1,0,1,0,0.0,0.0,0.0,0,0,37,65,56.9,957,31,110,0,0,07/18/20,Norwich City,Burnley
