"","Date","X1","Player","#","Nation","Pos","Min","Tkl","TklW","Def 3rd","Mid 3rd","Att 3rd","Tkl.1","Att","Tkl%","Past","Press","Succ","%","Def 3rd.1","Mid 3rd.1","Att 3rd.1","Blocks","Sh","ShSv","Pass","Int","Clr","Err","Team","Opponent","X32","game_week"
"1","1/1/20",5517,"Christian Pulisic",22,"us USA","LW",65,2,1,1,1,0,1,1,100,0,23,5,21.7,5,8,10,2,0,0,2,1,0,0,"Chelsea","Brighton",NA,21
"2","1/1/20",5528,"Kepa Arrizabalaga",1,"es ESP","GK",90,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,"Chelsea","Brighton",NA,21
"3","1/1/20",5529,"Joelinton",9,"br BRA","FW",90,2,0,1,1,0,1,2,50,1,17,3,17.6,2,11,4,1,0,0,1,0,0,0,"Newcastle Utd","Leicester City",NA,21
"4","1/1/20",5530,"Miguel Almiron",24,"py PAR","LW",90,2,1,1,0,1,0,1,0,1,21,2,9.5,6,7,8,2,0,0,2,3,1,0,"Newcastle Utd","Leicester City",NA,21
"5","1/1/20",5518,"Callum Hudson-Odoi",20,"eng ENG","LW",25,0,0,0,0,0,0,0,NA,0,3,1,33.3,1,1,1,0,0,0,0,0,1,0,"Chelsea","Brighton",NA,21
"6","1/1/20",5519,"Willian",10,"br BRA","RW",90,2,2,0,2,0,0,0,NA,0,24,9,37.5,3,9,12,2,0,0,2,1,0,0,"Chelsea","Brighton",NA,21
"7","1/1/20",5520,"Mason Mount",19,"eng ENG","AM",72,2,2,1,0,1,0,0,NA,0,11,6,54.5,2,2,7,1,0,0,1,1,1,0,"Chelsea","Brighton",NA,21
"8","1/1/20",5521,"Mateo Kovacic",17,"hr CRO","AM",18,2,0,0,2,0,1,2,50,1,9,1,11.1,3,4,2,1,1,0,0,0,0,0,"Chelsea","Brighton",NA,21
"9","1/1/20",5522,"Jorginho",5,"it ITA","DM",90,1,1,0,1,0,0,1,0,1,15,6,40,8,7,0,3,1,0,2,3,3,0,"Chelsea","Brighton",NA,21
"10","1/1/20",5523,"N'Golo Kante",7,"fr FRA","DM",90,3,2,0,2,1,0,0,NA,0,29,10,34.5,8,12,9,2,0,0,2,3,3,0,"Chelsea","Brighton",NA,21
"11","1/1/20",5524,"Cesar Azpilicueta",28,"es ESP","LB",90,3,1,1,1,1,2,5,40,3,17,5,29.4,8,7,2,1,1,0,0,5,6,0,"Chelsea","Brighton",NA,21
"12","1/1/20",5525,"Kurt Zouma",15,"fr FRA","CB",90,2,0,2,0,0,0,1,0,1,6,0,0,3,3,0,2,2,0,0,1,7,0,"Chelsea","Brighton",NA,21
"13","1/1/20",5526,"Antonio Rudiger",2,"de GER","CB",90,5,4,4,1,0,1,2,50,1,16,7,43.8,10,6,0,2,1,0,1,0,5,0,"Chelsea","Brighton",NA,21
"14","1/1/20",5527,"Reece James",24,"eng ENG","RB",90,5,3,3,1,1,2,3,66.7,1,15,3,20,8,7,0,2,1,0,1,4,3,0,"Chelsea","Brighton",NA,21
"15","1/1/20",5514,"Martin Montoya",22,"es ESP","RB",90,3,2,1,2,0,1,4,25,3,22,6,27.3,7,14,1,2,1,0,1,1,4,1,"Brighton","Chelsea",NA,21
"16","1/1/20",5515,"Mathew Ryan",1,"au AUS","GK",90,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,"Brighton","Chelsea",NA,21
"17","1/1/20",5516,"Tammy Abraham",9,"eng ENG","FW",90,2,1,0,1,1,1,1,100,0,24,7,29.2,1,5,18,0,0,0,0,0,2,0,"Chelsea","Brighton",NA,21
"18","1/1/20",5597,"Ben Foster",26,"eng ENG","GK",90,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,"Watford","Wolves",NA,21
"19","1/1/20",5598,"Raul Jimenez",9,"mx MEX","FW",90,0,0,0,0,0,0,0,NA,0,11,3,27.3,0,2,9,0,0,0,0,0,0,0,"Wolves","Watford",NA,21
"20","1/1/20",5599,"Pedro Neto",7,"pt POR","LW",65,2,1,0,2,0,1,3,33.3,2,22,11,50,4,10,8,0,0,0,0,0,1,0,"Wolves","Watford",NA,21
"21","1/1/20",5600,"Diogo Jota",18,"pt POR","LW",25,1,1,1,0,0,0,1,0,1,3,1,33.3,2,0,1,0,0,0,0,0,0,0,"Wolves","Watford",NA,21
"22","1/1/20",5601,"Adama Traore",37,"es ESP","RW",90,0,0,0,0,0,0,0,NA,0,13,3,23.1,2,7,4,2,0,0,2,0,0,0,"Wolves","Watford",NA,21
"23","1/1/20",5602,"Joao Moutinho",28,"pt POR","DM",90,3,3,3,0,0,2,3,66.7,1,13,4,30.8,6,4,3,0,0,0,0,3,1,0,"Wolves","Watford",NA,21
"24","1/1/20",5603,"Leander Dendoncker",32,"be BEL","DM,CB",90,2,0,0,2,0,2,3,66.7,1,15,2,13.3,3,10,2,1,0,0,1,0,3,1,"Wolves","Watford",NA,21
"25","1/1/20",5604,"Jonny",19,"es ESP","WB",53,3,1,2,1,0,2,3,66.7,1,13,2,15.4,8,5,0,2,0,0,2,1,0,0,"Wolves","Watford",NA,21
"26","1/1/20",5605,"Ruben Vinagre",29,"pt POR","WB",37,2,1,1,0,1,1,1,100,0,5,2,40,3,1,1,0,0,0,0,0,1,0,"Wolves","Watford",NA,21
