,Player,#,Nation,Pos,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Date,Team,Opponent
0,Roberto Firmino,9.0,br BRA,FW,85.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0,5.0,0.0,3.0,0.0,08/09/19,Liverpool,Norwich City
1,James Milner,7.0,eng ENG,"CM,FW",5.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,,08/09/19,Liverpool,Norwich City
2,Divock Origi,27.0,be BEL,LW,73.0,0,0,0,0,2,0,4,1,3,0.0,0.0,0,6.0,1.0,0.0,100.0,08/09/19,Liverpool,Norwich City
3,Sadio Mane,10.0,sn SEN,LW,17.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,08/09/19,Liverpool,Norwich City
4,Mohamed Salah,11.0,eg EGY,RW,90.0,0,0,0,1,1,0,7,0,0,0.0,0.0,0,7.0,0.0,0.0,,08/09/19,Liverpool,Norwich City
5,Georginio Wijnaldum,5.0,nl NED,"CM,FW",90.0,0,0,0,2,2,0,0,1,0,0.0,0.0,0,12.0,1.0,0.0,100.0,08/09/19,Liverpool,Norwich City
6,Jordan Henderson,14.0,eng ENG,CM,90.0,0,0,0,2,2,0,4,2,0,0.0,0.0,0,12.0,0.0,0.0,,08/09/19,Liverpool,Norwich City
7,Fabinho,3.0,br BRA,DM,90.0,0,0,0,1,1,0,0,2,2,0.0,0.0,0,14.0,1.0,0.0,100.0,08/09/19,Liverpool,Norwich City
8,Andrew Robertson,26.0,sco SCO,LB,90.0,0,0,0,0,0,0,9,1,2,0.0,0.0,0,13.0,0.0,0.0,,08/09/19,Liverpool,Norwich City
9,Virgil van Dijk,4.0,nl NED,CB,90.0,0,0,0,0,0,0,0,5,2,0.0,0.0,0,13.0,7.0,1.0,87.5,08/09/19,Liverpool,Norwich City
10,Joseph Gomez,12.0,eng ENG,CB,90.0,0,0,0,2,0,0,0,0,1,0.0,0.0,0,15.0,3.0,0.0,100.0,08/09/19,Liverpool,Norwich City
11,Trent Alexander-Arnold,66.0,eng ENG,RB,90.0,0,0,0,1,0,0,8,2,1,0.0,0.0,0,7.0,1.0,0.0,100.0,08/09/19,Liverpool,Norwich City
12,Alisson,1.0,br BRA,GK,38.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,,08/09/19,Liverpool,Norwich City
13,AdriÃ¡n,13.0,es ESP,GK,52.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,08/09/19,Liverpool,Norwich City
14,Teemu Pukki,22.0,fi FIN,FW,82.0,0,0,0,0,1,1,0,1,1,0.0,0.0,0,3.0,0.0,3.0,0.0,08/09/19,Norwich City,Liverpool
15,Josip Drmic,20.0,ch SUI,FW,8.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,08/09/19,Norwich City,Liverpool
16,Todd Cantwell,14.0,eng ENG,LW,90.0,0,0,0,0,3,1,0,0,0,0.0,0.0,0,6.0,0.0,1.0,0.0,08/09/19,Norwich City,Liverpool
17,Emiliano Buendia,17.0,ar ARG,RW,90.0,1,0,0,1,1,0,1,1,1,0.0,0.0,0,7.0,0.0,1.0,0.0,08/09/19,Norwich City,Liverpool
18,Marco Stiepermann,18.0,de GER,AM,57.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,3.0,0.0,4.0,0.0,08/09/19,Norwich City,Liverpool
19,Moritz Leitner,10.0,de GER,AM,33.0,1,0,0,2,1,0,0,1,0,0.0,0.0,0,3.0,0.0,0.0,,08/09/19,Norwich City,Liverpool
20,Tom Trybull,19.0,de GER,CM,69.0,0,0,0,3,1,1,0,1,3,0.0,0.0,0,12.0,3.0,0.0,100.0,08/09/19,Norwich City,Liverpool
21,Onel Hernandez,11.0,cu CUB,CM,21.0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,2.0,0.0,0.0,,08/09/19,Norwich City,Liverpool
22,Kenny McLean,23.0,sco SCO,CM,90.0,0,0,0,1,1,0,0,1,1,0.0,0.0,0,7.0,0.0,1.0,0.0,08/09/19,Norwich City,Liverpool
23,Jamal Lewis,12.0,nir NIR,LB,90.0,0,0,0,0,0,0,1,0,1,0.0,0.0,0,8.0,0.0,1.0,0.0,08/09/19,Norwich City,Liverpool
24,Ben Godfrey,4.0,eng ENG,CB,90.0,0,0,0,0,0,0,0,4,1,0.0,0.0,0,11.0,0.0,0.0,,08/09/19,Norwich City,Liverpool
25,Grant Hanley,5.0,sco SCO,CB,90.0,0,0,0,1,0,0,0,0,0,0.0,0.0,1,0.0,0.0,0.0,,08/09/19,Norwich City,Liverpool
26,Max Aarons,2.0,eng ENG,RB,90.0,0,0,0,1,0,0,0,1,2,0.0,0.0,0,9.0,1.0,2.0,33.3,08/09/19,Norwich City,Liverpool
27,Tim Krul,1.0,nl NED,GK,90.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,6.0,0.0,0.0,,08/09/19,Norwich City,Liverpool
