"","Date","X1","Player","#","Nation","Pos","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Press","Tkl","Int","Blocks","xG","npxG","xA","SCA","GCA","Cmp","Att","Cmp%","PrgDist","Carries","PrgDist.1","Succ","Att.1","Team","Opponent","game_week"
"1","01/01/20",5475,"Ashley Barnes",10,"at AUT","FW",45,0,0,0,0,1,0,0,0,14,10,0,0,0,0,0,0,0,0,3,10,30,0,8,12,0,0,"Burnley","Aston Villa",21
"2","01/01/20",5476,"Jay Rodriguez",19,"eng ENG","FW",45,0,0,0,0,5,0,0,0,28,8,0,1,1,0.8,0.8,0,1,0,14,17,82.4,42,19,17,0,0,"Burnley","Aston Villa",21
"3","01/01/20",5477,"Chris Wood",9,"nz NZL","FW",90,1,0,0,0,5,1,0,0,33,9,1,0,2,0.6,0.6,0.1,2,0,17,23,73.9,30,11,9,0,0,"Burnley","Aston Villa",21
"4","01/01/20",5478,"Dwight McNeil",11,"eng ENG","CM",90,0,0,0,0,1,0,0,0,58,15,0,0,2,0,0,0.1,5,0,43,53,81.1,218,46,186,1,2,"Burnley","Aston Villa",21
"5","01/01/20",5479,"Robbie Brady",12,"ie IRL","CM",45,0,0,0,0,0,0,0,0,21,8,0,0,0,0,0,0,0,0,5,14,35.7,8,12,31,0,0,"Burnley","Aston Villa",21
"6","01/01/20",5480,"Johann Gudmundsson",7,"is ISL","CM",45,0,0,0,0,2,0,0,0,34,2,1,0,0,0.2,0.2,0.1,6,1,24,27,88.9,102,28,42,0,1,"Burnley","Aston Villa",21
"7","01/01/20",5481,"Jack Cork",4,"eng ENG","DM",90,0,0,0,0,2,0,0,0,62,16,0,1,1,0.2,0.2,0.2,2,0,48,53,90.6,161,43,69,0,2,"Burnley","Aston Villa",21
"8","01/01/20",5482,"Ashley Westwood",18,"eng ENG","DM",90,0,1,0,0,1,0,0,0,91,16,2,0,1,0.1,0.1,0.4,4,1,67,83,80.7,335,55,92,0,1,"Burnley","Aston Villa",21
"9","01/01/20",5483,"Charlie Taylor",3,"eng ENG","LB",90,0,0,0,0,1,0,0,0,90,4,2,1,2,0,0,0.3,5,0,64,80,80,441,51,319,1,3,"Burnley","Aston Villa",21
"10","01/01/20",5484,"Ben Mee",6,"eng ENG","CB",90,0,0,0,0,0,0,0,0,79,3,2,2,3,0,0,0,0,0,58,69,84.1,528,48,60,0,0,"Burnley","Aston Villa",21
"11","01/01/20",5485,"James Tarkowski",5,"eng ENG","CB",90,0,0,0,0,2,0,1,0,68,11,0,0,1,0.1,0.1,0,2,0,47,58,81,360,34,76,0,0,"Burnley","Aston Villa",21
"12","01/01/20",5486,"Phil Bardsley",26,"sco SCO","RB",90,0,0,0,0,1,0,0,0,63,13,3,0,1,0,0,0.1,4,0,44,55,80,309,41,173,0,0,"Burnley","Aston Villa",21
"13","01/01/20",5487,"Nick Pope",1,"eng ENG","GK",90,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,15,28,53.6,674,14,70,0,0,"Burnley","Aston Villa",21
"14","01/01/20",5488,"Wesley",9,"br BRA","FW",70,1,0,0,0,3,2,0,0,34,8,0,0,1,0.4,0.4,0,2,1,13,19,68.4,47,18,23,0,2,"Aston Villa","Burnley",21
"15","01/01/20",5489,"Jonathan Kodjia",26,"ci CIV","FW",20,0,0,0,0,2,0,0,0,11,6,0,0,0,0.1,0.1,0,1,0,3,7,42.9,0,7,2,1,1,"Aston Villa","Burnley",21
"16","01/01/20",5490,"Jack Grealish",10,"eng ENG","LW,RW",90,1,0,0,0,1,1,0,0,47,10,0,1,2,0.1,0.1,0.3,7,1,29,36,80.6,113,38,278,2,3,"Aston Villa","Burnley",21
"17","01/01/20",5491,"Trezeguet",17,"eg EGY","RW",77,0,0,0,0,0,0,0,0,29,15,1,0,3,0,0,0.1,2,0,16,19,84.2,79,19,109,2,3,"Aston Villa","Burnley",21
"18","01/01/20",5492,"Conor Hourihane",14,"ie IRL","RW,LW",13,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,3,33.3,8,0,0,0,0,"Aston Villa","Burnley",21
"19","01/01/20",5493,"Marvelous Nakamba",11,"zw ZIM","CM",90,0,0,0,0,0,0,0,0,46,18,2,0,3,0,0,0,2,1,29,38,76.3,215,21,13,1,1,"Aston Villa","Burnley",21
"20","01/01/20",5494,"Douglas Luiz",6,"br BRA","CM",90,0,1,0,0,3,3,0,0,45,10,4,0,1,0.4,0.4,0.1,3,1,29,35,82.9,131,22,111,1,1,"Aston Villa","Burnley",21
"21","01/01/20",5495,"Neil Taylor",3,"wal WAL","WB",90,0,0,0,0,0,0,1,0,43,10,0,0,3,0,0,0,0,0,21,33,63.6,109,18,27,0,0,"Aston Villa","Burnley",21
"22","01/01/20",5496,"Frederic Guilbert",24,"fr FRA","WB",90,0,0,0,0,0,0,0,0,50,18,6,0,3,0,0,0,0,0,17,29,58.6,160,13,42,1,1,"Aston Villa","Burnley",21
"23","01/01/20",5497,"Kortney Hause",30,"eng ENG","CB",90,0,0,0,0,1,0,0,0,48,7,1,0,4,0.1,0.1,0,0,0,18,31,58.1,152,17,44,0,0,"Aston Villa","Burnley",21
"24","01/01/20",5498,"Tyrone Mings",40,"eng ENG","CB",90,0,0,0,0,0,0,0,0,40,4,1,1,0,0,0,0,0,0,23,29,79.3,132,17,12,0,0,"Aston Villa","Burnley",21
"25","01/01/20",5499,"Ezri Konsa Ngoyo",15,"eng ENG","CB",90,0,0,0,0,1,0,0,0,44,7,0,0,3,0,0,0,1,0,25,34,73.5,324,20,82,0,0,"Aston Villa","Burnley",21
"26","01/01/20",5500,"Tom Heaton",1,"eng ENG","GK",84,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,15,29,51.7,278,11,28,0,0,"Aston Villa","Burnley",21
"27","01/01/20",5501,"Ãrjan Nyland",25,"no NOR","GK",6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,4,75,146,1,13,0,0,"Aston Villa","Burnley",21
"28","01/01/20",5502,"Neal Maupay",7,"fr FRA","FW",90,0,0,0,0,1,1,1,0,39,36,1,0,3,0.2,0.2,0,5,0,19,25,76,62,27,97,2,3,"Brighton","Chelsea",21
"29","01/01/20",5503,"Leandro Trossard",11,"be BEL","FW",90,0,0,0,0,2,1,0,0,52,26,4,1,0,0.1,0.1,0.2,7,1,24,37,64.9,208,37,59,0,1,"Brighton","Chelsea",21
"30","01/01/20",5504,"Aaron Mooy",18,"au AUS","AM",67,0,0,0,0,0,0,0,0,44,15,1,0,3,0,0,0.1,3,0,19,33,57.6,140,20,14,1,1,"Brighton","Chelsea",21
"31","01/01/20",5505,"Alireza Jahanbakhsh",16,"ir IRN","AM",23,1,0,0,0,2,1,0,0,11,4,0,0,0,0.1,0.1,0,2,0,7,7,100,47,10,8,1,1,"Brighton","Chelsea",21
"32","01/01/20",5506,"Yves Bissouma",8,"ml MLI","CM",45,0,0,0,0,0,0,0,0,29,12,0,0,0,0,0,0,0,0,14,24,58.3,24,18,54,0,1,"Brighton","Chelsea",21
"33","01/01/20",5507,"Aaron Connolly",44,"ie IRL","CM",45,0,0,0,0,2,1,0,0,12,7,0,0,1,0.2,0.2,0,1,0,4,5,80,24,7,16,0,0,"Brighton","Chelsea",21
