,Player,#,Nation,Pos,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Date,Team,Opponent
0,Aboubakar Kamara,47.0,fr FRA,FW,62,0,0,0,2,1,0,0,0,0,0,0,0,4,2,1,66.7,09/12/20,Fulham,Arsenal
1,Aleksandar Mitrovic,9.0,rs SRB,FW,28,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,,09/12/20,Fulham,Arsenal
2,Ivan Cavaleiro,17.0,pt POR,LW,90,0,0,0,1,4,0,2,0,1,0,0,0,5,1,0,100.0,09/12/20,Fulham,Arsenal
3,Neeskens Kebano,7.0,cd COD,RW,62,0,0,0,1,1,1,1,0,1,0,0,0,4,0,0,,09/12/20,Fulham,Arsenal
4,Andre-Frank Zambo Anguissa,29.0,cm CMR,RW,28,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0,09/12/20,Fulham,Arsenal
5,Josh Onomah,25.0,eng ENG,AM,74,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,,09/12/20,Fulham,Arsenal
6,Bobby De Cordova-Reid,14.0,jm JAM,AM,16,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,09/12/20,Fulham,Arsenal
7,Tom Cairney,10.0,sco SCO,DM,90,1,0,0,2,1,0,2,0,1,0,0,0,9,2,0,100.0,09/12/20,Fulham,Arsenal
8,Harrison Reed,21.0,eng ENG,DM,90,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,,09/12/20,Fulham,Arsenal
9,Joe Bryan,23.0,eng ENG,LB,90,0,0,0,0,0,0,2,0,1,0,0,0,5,0,0,,09/12/20,Fulham,Arsenal
10,Tim Ream,13.0,us USA,CB,90,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,,09/12/20,Fulham,Arsenal
