,Player,#,Nation,Pos,Min,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out.1,Int,Blocks,Date,Team,Opponent
0,Aboubakar Kamara,47.0,fr FRA,FW,62,17,13,4,0,0,6,0,0,0,0,0,0,12,4,1,5,10,0,0,0,15,0,0,0,1,09/12/20,Fulham,Arsenal
1,Aleksandar Mitrovic,9.0,rs SRB,FW,28,5,5,0,0,0,2,1,1,0,0,0,0,2,2,1,1,3,0,0,1,3,0,1,1,0,09/12/20,Fulham,Arsenal
2,Ivan Cavaleiro,17.0,pt POR,LW,90,35,34,1,1,0,7,2,2,0,0,0,0,27,2,6,4,29,2,0,0,28,0,0,0,1,09/12/20,Fulham,Arsenal
3,Neeskens Kebano,7.0,cd COD,RW,62,23,22,1,1,0,6,0,1,0,0,0,0,17,4,2,8,15,0,0,0,19,0,0,0,0,09/12/20,Fulham,Arsenal
4,Andre-Frank Zambo Anguissa,29.0,cm CMR,RW,28,17,17,0,0,0,2,0,0,0,0,0,0,17,0,0,1,16,0,0,0,16,0,0,1,0,09/12/20,Fulham,Arsenal
5,Josh Onomah,25.0,eng ENG,AM,74,23,23,0,0,0,7,0,0,0,0,0,0,20,2,1,6,17,0,0,0,18,0,0,1,0,09/12/20,Fulham,Arsenal
6,Bobby De Cordova-Reid,14.0,jm JAM,AM,16,5,5,0,0,0,0,0,0,0,0,0,0,4,0,1,0,5,0,0,0,3,0,1,0,0,09/12/20,Fulham,Arsenal
7,Tom Cairney,10.0,sco SCO,DM,90,80,77,3,2,0,16,0,2,1,0,1,0,68,5,7,70,7,1,0,0,76,0,0,0,0,09/12/20,Fulham,Arsenal
8,Harrison Reed,21.0,eng ENG,DM,90,69,67,2,2,0,3,1,0,0,0,0,0,64,4,1,7,60,1,0,1,66,0,0,1,0,09/12/20,Fulham,Arsenal
9,Joe Bryan,23.0,eng ENG,LB,90,62,49,13,4,0,4,0,2,1,1,0,0,36,12,14,45,5,4,8,0,46,1,1,1,2,09/12/20,Fulham,Arsenal
10,Tim Ream,13.0,us USA,CB,90,64,63,1,1,0,8,2,0,0,0,0,0,56,2,6,50,12,2,0,0,61,0,2,0,0,09/12/20,Fulham,Arsenal
11,Michael Hector,3.0,jm JAM,CB,90,61,61,0,0,0,4,0,0,0,0,0,0,50,7,4,7,54,0,0,0,53,0,2,0,2,09/12/20,Fulham,Arsenal
12,Denis Odoi,4.0,be BEL,RB,90,64,51,13,1,0,6,0,1,0,0,0,0,44,13,7,2,47,2,12,0,51,1,1,0,4,09/12/20,Fulham,Arsenal
13,Marek RodÃ¡k,12.0,sk SVK,GK,90,26,20,6,2,0,7,1,0,0,0,0,0,12,0,14,4,19,0,0,3,19,0,0,0,0,09/12/20,Fulham,Arsenal
14,Alexandre Lacazette,9.0,fr FRA,FW,86,18,17,1,0,0,4,1,0,0,0,0,0,11,6,1,1,16,0,0,1,13,0,2,1,1,09/12/20,Arsenal,Fulham
15,Eddie Nketiah,30.0,eng ENG,FW,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,09/12/20,Arsenal,Fulham
16,Pierre-Emerick Aubameyang,14.0,ga GAB,LW,90,30,30,0,0,0,9,0,3,0,0,0,0,20,6,4,2,25,1,0,1,21,1,0,0,2,09/12/20,Arsenal,Fulham
17,Willian,12.0,br BRA,RW,75,32,29,3,2,0,4,2,1,1,0,1,0,24,2,6,5,26,0,0,1,28,0,0,0,3,09/12/20,Arsenal,Fulham
18,Nicolas Pepe,19.0,ci CIV,RW,15,9,7,2,0,0,1,0,1,2,1,0,0,8,0,1,8,1,0,0,0,8,0,0,0,0,09/12/20,Arsenal,Fulham
19,Granit Xhaka,34.0,ch SUI,CM,78,58,57,1,1,1,12,0,1,0,0,0,0,41,11,6,49,6,2,0,1,53,1,0,0,1,09/12/20,Arsenal,Fulham
20,Dani Ceballos,8.0,es ESP,CM,12,19,18,1,1,0,3,1,0,0,0,0,0,12,4,3,2,16,0,0,1,14,0,0,0,3,09/12/20,Arsenal,Fulham
21,Mohamed Elneny,25.0,eg EGY,CM,90,64,63,1,1,0,9,2,0,0,0,0,0,49,12,3,4,58,1,0,1,60,0,0,0,0,09/12/20,Arsenal,Fulham
22,Ainsley Maitland-Niles,15.0,eng ENG,WB,90,42,38,4,0,0,4,2,2,0,0,0,0,31,5,6,9,29,0,4,0,34,1,3,1,1,09/12/20,Arsenal,Fulham
23,Hector Bellerin,2.0,es ESP,WB,90,69,60,9,1,1,9,2,4,0,0,0,0,47,8,14,6,52,2,8,0,60,0,0,0,3,09/12/20,Arsenal,Fulham
24,Kieran Tierney,3.0,sco SCO,CB,90,89,80,9,0,0,8,2,2,0,0,0,0,67,7,15,72,7,1,9,0,78,0,2,0,0,09/12/20,Arsenal,Fulham
25,Gabriel Magalhaes,6.0,br BRA,CB,90,116,115,1,1,0,13,0,0,0,0,0,0,103,7,6,99,12,3,0,1,109,0,1,0,1,09/12/20,Arsenal,Fulham
26,Rob Holding,16.0,eng ENG,CB,90,91,89,2,2,0,8,6,0,0,0,0,0,71,13,7,4,86,1,0,0,84,0,3,0,1,09/12/20,Arsenal,Fulham
27,Bernd Leno,1.0,de GER,GK,90,32,25,7,3,0,6,0,0,0,0,0,0,30,2,0,6,24,0,0,2,32,0,0,0,0,09/12/20,Arsenal,Fulham
28,Jordan Ayew,9.0,gh GHA,FW,90,8,8,0,0,0,3,0,0,0,0,0,0,6,1,1,3,4,1,0,0,5,0,0,0,1,09/12/20,Crystal Palace,Southampton
29,Wilfried Zaha,11.0,ci CIV,FW,90,10,10,0,0,0,4,0,0,0,0,0,0,7,1,2,0,9,1,0,0,8,0,0,0,1,09/12/20,Crystal Palace,Southampton
30,Jeffrey Schlupp,15.0,gh GHA,LM,80,13,12,1,0,0,7,0,3,0,0,0,0,4,1,8,6,0,1,1,0,1,0,0,0,4,09/12/20,Crystal Palace,Southampton
31,Eberechi Eze,25.0,eng ENG,LM,10,11,8,3,1,0,1,2,1,2,1,0,0,7,0,4,3,8,0,0,0,7,0,1,0,1,09/12/20,Crystal Palace,Southampton
32,Andros Townsend,10.0,eng ENG,RM,90,29,27,2,1,0,8,0,2,1,0,0,0,14,5,10,15,12,1,0,0,15,0,1,1,2,09/12/20,Crystal Palace,Southampton
33,James McCarthy,22.0,ie IRL,DM,73,21,17,4,1,0,3,3,1,3,3,0,0,5,4,12,5,13,2,0,0,14,0,0,0,1,09/12/20,Crystal Palace,Southampton
34,Luka Milivojevic,4.0,rs SRB,DM,17,11,9,2,1,0,3,1,1,1,1,0,0,4,1,6,1,8,1,0,0,8,0,0,0,1,09/12/20,Crystal Palace,Southampton
35,James McArthur,18.0,sco SCO,DM,90,32,30,2,1,0,6,1,0,0,0,0,0,9,0,23,8,15,6,0,0,17,1,4,1,0,09/12/20,Crystal Palace,Southampton
36,Tyrick Mitchell,27.0,eng ENG,LB,90,41,24,17,0,0,6,0,1,0,0,0,0,12,1,28,20,2,1,17,0,25,0,0,0,3,09/12/20,Crystal Palace,Southampton
37,Scott Dann,6.0,eng ENG,CB,90,26,25,1,1,0,11,0,0,0,0,0,0,6,1,19,3,7,7,0,1,17,0,4,0,0,09/12/20,Crystal Palace,Southampton
38,Cheikhou Kouyate,8.0,sn SEN,CB,90,14,13,1,1,0,2,0,0,0,0,0,0,4,2,8,0,7,6,0,0,9,1,0,0,0,09/12/20,Crystal Palace,Southampton
39,Joel Ward,2.0,eng ENG,RB,90,37,22,15,0,0,4,1,0,0,0,0,0,6,5,26,3,14,3,15,0,20,1,1,0,1,09/12/20,Crystal Palace,Southampton
40,Vicente Guaita,31.0,es ESP,GK,90,26,16,10,4,0,2,1,0,0,0,0,0,0,0,26,1,15,0,0,0,7,0,1,0,0,09/12/20,Crystal Palace,Southampton
41,Danny Ings,9.0,eng ENG,FW,90,18,18,0,0,0,4,0,1,0,0,0,0,11,5,2,3,12,2,0,1,11,0,0,0,2,09/12/20,Southampton,Crystal Palace
42,Che Adams,10.0,eng ENG,FW,84,18,18,0,0,0,1,0,1,0,0,0,0,10,6,2,1,12,4,0,0,14,0,0,0,0,09/12/20,Southampton,Crystal Palace
43,Shane Long,7.0,ie IRL,FW,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,09/12/20,Southampton,Crystal Palace
44,Nathan Redmond,11.0,eng ENG,LM,90,43,43,0,0,0,5,1,3,0,0,0,0,29,6,8,3,37,2,0,1,31,0,1,2,1,09/12/20,Southampton,Crystal Palace
45,William Smallbone,20.0,ie IRL,RM,76,22,22,0,0,0,2,1,2,0,0,0,0,12,5,5,6,16,0,0,0,15,0,0,0,1,09/12/20,Southampton,Crystal Palace
