,Player,#,Nation,Pos,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Past,Press,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Date,Team,Opponent
0,Aaron Connolly,7.0,ie IRL,FW,74,0,0,0,0,0,0,0,,0,14,5,35.7,0,7,7,0,0,0,0,0,,0,0,09/26/20,Brighton,Manchester Utd
1,Alireza Jahanbakhsh,16.0,ir IRN,"RW,FW",16,0,0,0,0,0,0,2,0.0,2,7,1,14.3,0,4,3,1,0,0,1,0,,0,0,09/26/20,Brighton,Manchester Utd
2,Neal Maupay,9.0,fr FRA,LW,90,2,2,0,1,1,0,0,,0,20,4,20.0,4,5,11,3,1,0,2,0,,0,0,09/26/20,Brighton,Manchester Utd
3,Leandro Trossard,11.0,be BEL,"RW,FW",90,1,1,0,1,0,0,1,0.0,1,18,6,33.3,4,6,8,2,1,0,1,0,,0,0,09/26/20,Brighton,Manchester Utd
4,Steven Alzate,17.0,co COL,DM,90,5,5,2,1,2,0,0,,0,25,12,48.0,5,13,7,0,0,0,0,0,,0,0,09/26/20,Brighton,Manchester Utd
5,Adam Lallana,14.0,eng ENG,DM,74,0,0,0,0,0,0,6,0.0,6,24,6,25.0,9,10,5,4,0,0,4,0,,0,0,09/26/20,Brighton,Manchester Utd
6,Pascal Gross,13.0,de GER,DM,16,1,1,0,1,0,0,0,,0,4,4,100.0,0,3,1,0,0,0,0,0,,0,0,09/26/20,Brighton,Manchester Utd
7,Solly March,20.0,eng ENG,WB,90,5,2,1,3,1,2,2,100.0,0,22,6,27.3,3,9,10,2,0,0,2,0,,0,0,09/26/20,Brighton,Manchester Utd
8,Tariq Lamptey,2.0,eng ENG,WB,90,1,0,0,0,1,1,2,50.0,1,16,4,25.0,7,6,3,3,1,0,2,1,,1,0,09/26/20,Brighton,Manchester Utd
9,Adam Webster,4.0,eng ENG,CB,90,2,2,2,0,0,2,2,100.0,0,8,4,50.0,3,4,1,1,0,0,1,1,,2,0,09/26/20,Brighton,Manchester Utd
10,Lewis Dunk,5.0,eng ENG,CB,90,0,0,0,0,0,0,1,0.0,1,11,2,18.2,6,5,0,3,1,0,2,1,,1,0,09/26/20,Brighton,Manchester Utd
11,Ben White,3.0,eng ENG,CB,90,2,1,1,1,0,1,3,33.3,2,10,3,30.0,6,4,0,1,1,0,0,0,,2,0,09/26/20,Brighton,Manchester Utd
12,Mathew Ryan,1.0,au AUS,GK,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0,09/26/20,Brighton,Manchester Utd
13,Anthony Martial,9.0,fr FRA,FW,89,0,0,0,0,0,0,0,,0,10,2,20.0,1,0,9,0,0,0,0,0,,1,0,09/26/20,Manchester Utd,Brighton
14,Donny van de Beek,34.0,nl NED,FW,1,0,0,0,0,0,0,0,,0,1,0,0.0,0,0,1,0,0,0,0,0,,0,0,09/26/20,Manchester Utd,Brighton
15,Marcus Rashford,10.0,eng ENG,"LW,FW",90,0,0,0,0,0,0,2,0.0,2,8,2,25.0,1,2,5,0,0,0,0,0,,0,0,09/26/20,Manchester Utd,Brighton
16,Mason Greenwood,11.0,eng ENG,RW,82,1,1,1,0,0,0,1,0.0,1,9,2,22.2,2,2,5,0,0,0,0,1,,0,0,09/26/20,Manchester Utd,Brighton
17,Eric Bailly,3.0,ci CIV,CB,8,1,0,1,0,0,0,0,,0,1,0,0.0,1,0,0,1,1,0,0,0,,1,0,09/26/20,Manchester Utd,Brighton
18,Bruno Fernandes,18.0,pt POR,AM,90,3,2,1,2,0,1,5,20.0,4,23,4,17.4,6,8,9,4,0,0,4,0,,2,0,09/26/20,Manchester Utd,Brighton
19,Nemanja Matic,31.0,rs SRB,DM,90,4,1,3,1,0,0,1,0.0,1,20,9,45.0,14,6,0,5,1,0,4,1,,1,0,09/26/20,Manchester Utd,Brighton
20,Paul Pogba,6.0,fr FRA,DM,64,0,0,0,0,0,0,1,0.0,1,10,2,20.0,4,4,2,0,0,0,0,0,,0,0,09/26/20,Manchester Utd,Brighton
21,Fred,17.0,br BRA,DM,26,0,0,0,0,0,0,0,,0,9,2,22.2,7,1,1,0,0,0,0,0,,0,0,09/26/20,Manchester Utd,Brighton
22,Luke Shaw,23.0,eng ENG,"LB,WB",90,3,2,1,0,2,2,4,50.0,2,9,3,33.3,2,6,1,1,0,0,1,0,,3,0,09/26/20,Manchester Utd,Brighton
23,Harry Maguire,5.0,eng ENG,CB,90,0,0,0,0,0,0,0,,0,5,1,20.0,3,1,1,0,0,0,0,0,,7,0,09/26/20,Manchester Utd,Brighton
24,Victor Lindelof,2.0,se SWE,CB,90,2,2,1,1,0,0,0,,0,5,3,60.0,4,1,0,4,1,0,3,0,,11,0,09/26/20,Manchester Utd,Brighton
25,Aaron Wan-Bissaka,29.0,eng ENG,"RB,WB",90,4,2,2,2,0,0,1,0.0,1,20,7,35.0,10,6,4,3,1,0,2,2,,3,0,09/26/20,Manchester Utd,Brighton
26,David de Gea,1.0,es ESP,GK,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0,09/26/20,Manchester Utd,Brighton
27,Wilfried Zaha,11.0,ci CIV,"FW,LM",90,0,0,0,0,0,0,0,,0,19,2,10.5,0,10,9,2,0,0,2,1,,0,0,09/26/20,Crystal Palace,Everton
28,Jordan Ayew,9.0,gh GHA,FW,81,1,0,0,1,0,0,0,,0,26,5,19.2,1,16,9,0,0,0,0,2,,2,0,09/26/20,Crystal Palace,Everton
29,Christian Benteke,20.0,be BEL,FW,9,0,0,0,0,0,0,0,,0,2,0,0.0,0,0,2,0,0,0,0,0,,0,0,09/26/20,Crystal Palace,Everton
30,Eberechi Eze,25.0,eng ENG,LM,74,0,0,0,0,0,0,1,0.0,1,10,1,10.0,3,6,1,0,0,0,0,4,,0,0,09/26/20,Crystal Palace,Everton
31,Michy Batshuayi,23.0,be BEL,FW,16,0,0,0,0,0,0,0,,0,5,3,60.0,0,2,3,0,0,0,0,0,,0,0,09/26/20,Crystal Palace,Everton
32,James McArthur,18.0,sco SCO,CM,87,5,2,4,1,0,2,6,33.3,4,28,7,25.0,9,16,3,1,0,0,1,1,,1,0,09/26/20,Crystal Palace,Everton
33,Jairo Riedewald,44.0,nl NED,CM,3,0,0,0,0,0,0,0,,0,1,1,100.0,0,1,0,0,0,0,0,0,,0,0,09/26/20,Crystal Palace,Everton
34,James McCarthy,22.0,ie IRL,CM,90,4,1,2,2,0,3,4,75.0,1,25,4,16.0,7,17,1,1,0,0,1,1,,2,0,09/26/20,Crystal Palace,Everton
35,Andros Townsend,10.0,eng ENG,RM,90,4,2,1,1,2,0,5,0.0,5,20,7,35.0,7,8,5,4,1,0,3,1,,0,0,09/26/20,Crystal Palace,Everton
36,Tyrick Mitchell,27.0,eng ENG,LB,90,9,5,5,2,2,4,4,100.0,0,22,7,31.8,9,11,2,3,0,0,3,1,,1,0,09/26/20,Crystal Palace,Everton
37,Mamadou Sakho,12.0,fr FRA,CB,90,0,0,0,0,0,0,0,,0,6,2,33.3,4,2,0,2,1,0,1,0,,5,0,09/26/20,Crystal Palace,Everton
38,Cheikhou Kouyate,8.0,sn SEN,CB,90,2,0,1,1,0,0,0,,0,10,2,20.0,2,8,0,0,0,0,0,3,,5,0,09/26/20,Crystal Palace,Everton
39,Joel Ward,2.0,eng ENG,RB,90,3,2,2,1,0,2,2,100.0,0,21,8,38.1,5,9,7,2,0,0,2,1,,4,0,09/26/20,Crystal Palace,Everton
40,Vicente Guaita,31.0,es ESP,GK,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0,09/26/20,Crystal Palace,Everton
41,Dominic Calvert-Lewin,9.0,eng ENG,FW,90,0,0,0,0,0,0,0,,0,14,6,42.9,0,5,9,1,1,0,0,0,,0,0,09/26/20,Everton,Crystal Palace
42,Richarlison,7.0,br BRA,LW,89,3,1,1,1,1,1,4,25.0,3,17,4,23.5,4,8,5,1,0,0,1,0,,1,0,09/26/20,Everton,Crystal Palace
43,Tom Davies,26.0,eng ENG,LW,1,0,0,0,0,0,0,0,,0,1,1,100.0,1,0,0,0,0,0,0,0,,0,0,09/26/20,Everton,Crystal Palace
44,James Rodriguez,19.0,co COL,RW,85,0,0,0,0,0,0,2,0.0,2,15,3,20.0,5,9,1,2,0,0,2,0,,0,0,09/26/20,Everton,Crystal Palace
45,Alex Iwobi,17.0,ng NGA,RW,5,1,1,0,1,0,1,1,100.0,0,5,2,40.0,2,2,1,0,0,0,0,0,,0,0,09/26/20,Everton,Crystal Palace
46,Andre Gomes,21.0,pt POR,CM,75,2,1,0,2,0,1,2,50.0,1,16,4,25.0,4,8,4,1,0,0,1,0,,1,0,09/26/20,Everton,Crystal Palace
47,Gylfi Sigurdsson,10.0,is ISL,CM,15,0,0,0,0,0,0,0,,0,2,0,0.0,1,1,0,1,0,0,1,0,,0,0,09/26/20,Everton,Crystal Palace
