,Player,#,Nation,Pos,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Date,Team,Opponent
0,Aaron Connolly,7.0,ie IRL,FW,74,0,0,0,1,1,1,0,0,0,0,0,0,3,0,2,0.0,09/26/20,Brighton,Manchester Utd
1,Alireza Jahanbakhsh,16.0,ir IRN,"RW,FW",16,1,0,0,0,0,0,2,0,0,0,0,0,3,0,0,,09/26/20,Brighton,Manchester Utd
2,Neal Maupay,9.0,fr FRA,LW,90,0,0,0,1,2,0,1,0,2,0,1,0,11,3,1,75.0,09/26/20,Brighton,Manchester Utd
3,Leandro Trossard,11.0,be BEL,"RW,FW",90,1,0,0,1,0,0,2,0,1,0,0,0,3,0,1,0.0,09/26/20,Brighton,Manchester Utd
4,Steven Alzate,17.0,co COL,DM,90,0,0,0,6,2,0,0,0,5,0,0,0,9,0,0,,09/26/20,Brighton,Manchester Utd
5,Adam Lallana,14.0,eng ENG,DM,74,0,0,0,4,1,0,1,0,0,0,0,0,10,1,1,50.0,09/26/20,Brighton,Manchester Utd
6,Pascal Gross,13.0,de GER,DM,16,0,0,0,0,0,0,1,0,1,0,0,0,2,1,1,50.0,09/26/20,Brighton,Manchester Utd
7,Solly March,20.0,eng ENG,WB,90,0,0,0,1,3,0,7,0,2,0,0,0,15,0,0,,09/26/20,Brighton,Manchester Utd
8,Tariq Lamptey,2.0,eng ENG,WB,90,0,0,0,2,5,0,2,1,0,1,0,0,3,0,0,,09/26/20,Brighton,Manchester Utd
9,Adam Webster,4.0,eng ENG,CB,90,0,0,0,0,1,0,0,1,2,0,0,0,9,1,1,50.0,09/26/20,Brighton,Manchester Utd
10,Lewis Dunk,5.0,eng ENG,CB,90,1,0,0,1,1,0,0,1,0,0,0,1,12,0,1,0.0,09/26/20,Brighton,Manchester Utd
11,Ben White,3.0,eng ENG,CB,90,1,0,0,1,0,0,2,0,1,0,0,0,10,2,0,100.0,09/26/20,Brighton,Manchester Utd
12,Mathew Ryan,1.0,au AUS,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,09/26/20,Brighton,Manchester Utd
13,Anthony Martial,9.0,fr FRA,FW,89,0,0,0,1,0,1,1,0,0,0,0,0,4,1,1,50.0,09/26/20,Manchester Utd,Brighton
14,Donny van de Beek,34.0,nl NED,FW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,09/26/20,Manchester Utd,Brighton
15,Marcus Rashford,10.0,eng ENG,"LW,FW",90,0,0,0,1,2,3,0,0,0,0,0,0,4,0,0,,09/26/20,Manchester Utd,Brighton
16,Mason Greenwood,11.0,eng ENG,RW,82,0,0,0,0,1,0,0,1,1,0,0,0,7,0,0,,09/26/20,Manchester Utd,Brighton
17,Eric Bailly,3.0,ci CIV,CB,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,09/26/20,Manchester Utd,Brighton
18,Bruno Fernandes,18.0,pt POR,AM,90,1,0,0,2,2,0,3,0,2,0,1,0,9,0,0,,09/26/20,Manchester Utd,Brighton
19,Nemanja Matic,31.0,rs SRB,DM,90,1,0,0,3,1,0,1,1,1,0,0,0,7,2,1,66.7,09/26/20,Manchester Utd,Brighton
20,Paul Pogba,6.0,fr FRA,DM,64,0,0,0,4,4,0,0,0,0,0,0,0,8,0,2,0.0,09/26/20,Manchester Utd,Brighton
21,Fred,17.0,br BRA,DM,26,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,,09/26/20,Manchester Utd,Brighton
22,Luke Shaw,23.0,eng ENG,"LB,WB",90,0,0,0,1,3,0,2,0,2,0,0,0,8,1,0,100.0,09/26/20,Manchester Utd,Brighton
23,Harry Maguire,5.0,eng ENG,CB,90,0,0,0,1,2,0,0,0,0,0,0,0,8,2,0,100.0,09/26/20,Manchester Utd,Brighton
24,Victor Lindelof,2.0,se SWE,CB,90,0,0,0,0,0,0,0,0,2,0,0,0,8,1,1,50.0,09/26/20,Manchester Utd,Brighton
25,Aaron Wan-Bissaka,29.0,eng ENG,"RB,WB",90,0,0,0,2,1,0,0,2,2,0,0,0,5,1,2,33.3,09/26/20,Manchester Utd,Brighton
26,David de Gea,1.0,es ESP,GK,90,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,,09/26/20,Manchester Utd,Brighton
27,Wilfried Zaha,11.0,ci CIV,"FW,LM",90,1,0,0,1,4,1,1,1,0,0,0,0,6,0,3,0.0,09/26/20,Crystal Palace,Everton
28,Jordan Ayew,9.0,gh GHA,FW,81,0,0,0,1,3,0,1,2,0,0,0,0,2,2,5,28.6,09/26/20,Crystal Palace,Everton
29,Christian Benteke,20.0,be BEL,FW,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,09/26/20,Crystal Palace,Everton
30,Eberechi Eze,25.0,eng ENG,LM,74,0,0,0,0,1,0,2,4,0,0,0,0,9,0,0,,09/26/20,Crystal Palace,Everton
31,Michy Batshuayi,23.0,be BEL,FW,16,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,100.0,09/26/20,Crystal Palace,Everton
32,James McArthur,18.0,sco SCO,CM,87,1,0,0,2,1,0,1,1,2,0,0,0,12,0,1,0.0,09/26/20,Crystal Palace,Everton
33,Jairo Riedewald,44.0,nl NED,CM,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,09/26/20,Crystal Palace,Everton
34,James McCarthy,22.0,ie IRL,CM,90,0,0,0,0,1,0,0,1,1,0,0,0,15,1,1,50.0,09/26/20,Crystal Palace,Everton
35,Andros Townsend,10.0,eng ENG,RM,90,0,0,0,3,3,0,5,1,2,0,0,0,13,0,1,0.0,09/26/20,Crystal Palace,Everton
36,Tyrick Mitchell,27.0,eng ENG,LB,90,0,0,0,1,0,0,3,1,5,0,0,0,4,0,0,,09/26/20,Crystal Palace,Everton
37,Mamadou Sakho,12.0,fr FRA,CB,90,0,0,0,1,0,0,0,0,0,0,0,0,6,3,2,60.0,09/26/20,Crystal Palace,Everton
38,Cheikhou Kouyate,8.0,sn SEN,CB,90,0,0,0,2,0,0,0,3,0,0,0,0,10,5,1,83.3,09/26/20,Crystal Palace,Everton
39,Joel Ward,2.0,eng ENG,RB,90,1,0,0,4,1,0,0,1,2,0,1,0,11,3,4,42.9,09/26/20,Crystal Palace,Everton
40,Vicente Guaita,31.0,es ESP,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,09/26/20,Crystal Palace,Everton
41,Dominic Calvert-Lewin,9.0,eng ENG,FW,90,0,0,0,1,2,0,0,0,0,0,0,0,7,3,6,33.3,09/26/20,Everton,Crystal Palace
42,Richarlison,7.0,br BRA,LW,89,1,0,0,2,4,0,0,0,1,0,0,0,9,2,2,50.0,09/26/20,Everton,Crystal Palace
43,Tom Davies,26.0,eng ENG,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,09/26/20,Everton,Crystal Palace
44,James Rodriguez,19.0,co COL,RW,85,0,0,0,0,1,0,2,0,0,0,0,0,4,0,0,,09/26/20,Everton,Crystal Palace
45,Alex Iwobi,17.0,ng NGA,RW,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,09/26/20,Everton,Crystal Palace
46,Andre Gomes,21.0,pt POR,CM,75,0,0,0,2,2,0,1,0,1,0,0,0,7,0,0,,09/26/20,Everton,Crystal Palace
47,Gylfi Sigurdsson,10.0,is ISL,CM,15,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,,09/26/20,Everton,Crystal Palace
48,Abdoulaye Doucoure,16.0,fr FRA,CM,90,0,0,0,0,0,0,0,0,2,0,0,0,8,0,1,0.0,09/26/20,Everton,Crystal Palace
49,Allan,6.0,br BRA,DM,90,0,0,0,4,1,0,0,1,0,0,0,0,7,0,0,,09/26/20,Everton,Crystal Palace
50,Lucas Digne,12.0,fr FRA,LB,90,0,0,0,2,0,0,5,0,0,0,0,0,17,3,3,50.0,09/26/20,Everton,Crystal Palace
51,Michael Keane,5.0,eng ENG,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,50.0,09/26/20,Everton,Crystal Palace
52,Yerry Mina,13.0,co COL,CB,90,0,0,0,3,3,0,0,0,0,0,0,0,4,7,1,87.5,09/26/20,Everton,Crystal Palace
53,Seamus Coleman,23.0,ie IRL,RB,90,0,0,0,1,0,0,1,0,2,0,0,0,5,1,0,100.0,09/26/20,Everton,Crystal Palace
54,Jordan Pickford,1.0,eng ENG,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,09/26/20,Everton,Crystal Palace
55,Callum Robinson,7.0,ie IRL,FW,65,0,0,0,1,0,0,0,0,0,0,0,0,2,1,7,12.5,09/26/20,West Brom,Chelsea
56,Hal Robson-Kanu,4.0,wal WAL,FW,25,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,,09/26/20,West Brom,Chelsea
