,Player,#,Nation,Pos,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Date,Team,Opponent
0,Aaron Connolly,7.0,ie IRL,FW,74,16,0,1,8,9,3,15,0,0,,0,0,10,130,89,30,12,40.0,4,2,09/26/20,Brighton,Manchester Utd
1,Alireza Jahanbakhsh,16.0,ir IRN,"RW,FW",16,19,0,1,5,15,2,19,2,2,100.0,2,0,17,76,62,16,15,93.8,1,0,09/26/20,Brighton,Manchester Utd
2,Neal Maupay,9.0,fr FRA,LW,90,48,1,4,18,32,11,44,1,1,100.0,1,0,30,222,75,38,24,63.2,1,3,09/26/20,Brighton,Manchester Utd
3,Leandro Trossard,11.0,be BEL,"RW,FW",90,46,0,2,16,32,4,41,2,2,100.0,2,0,35,218,104,43,36,83.7,0,1,09/26/20,Brighton,Manchester Utd
4,Steven Alzate,17.0,co COL,DM,90,68,1,19,27,27,1,66,4,5,80.0,4,0,55,298,110,50,49,98.0,3,3,09/26/20,Brighton,Manchester Utd
5,Adam Lallana,14.0,eng ENG,DM,74,44,1,14,23,10,0,43,0,0,,0,0,22,84,27,28,27,96.4,0,1,09/26/20,Brighton,Manchester Utd
6,Pascal Gross,13.0,de GER,DM,16,22,0,1,10,13,1,18,0,0,,0,0,13,71,32,17,15,88.2,0,0,09/26/20,Brighton,Manchester Utd
7,Solly March,20.0,eng ENG,WB,90,82,1,17,25,44,9,71,1,1,100.0,1,0,56,396,206,53,49,92.5,0,3,09/26/20,Brighton,Manchester Utd
8,Tariq Lamptey,2.0,eng ENG,WB,90,55,3,18,24,17,0,48,1,3,33.3,1,0,40,251,153,46,39,84.8,0,1,09/26/20,Brighton,Manchester Utd
9,Adam Webster,4.0,eng ENG,CB,90,60,3,42,17,6,1,59,0,0,,0,0,39,301,152,44,44,100.0,0,1,09/26/20,Brighton,Manchester Utd
10,Lewis Dunk,5.0,eng ENG,CB,90,68,19,50,19,2,0,67,0,0,,0,0,47,327,143,51,50,98.0,0,0,09/26/20,Brighton,Manchester Utd
11,Ben White,3.0,eng ENG,CB,90,73,8,37,29,12,1,70,1,1,100.0,1,0,44,206,121,55,55,100.0,0,0,09/26/20,Brighton,Manchester Utd
12,Mathew Ryan,1.0,au AUS,GK,90,37,29,37,0,0,0,29,0,0,,0,0,21,63,10,27,27,100.0,0,0,09/26/20,Brighton,Manchester Utd
13,Anthony Martial,9.0,fr FRA,FW,89,29,1,2,13,19,7,28,2,2,100.0,2,0,26,175,109,38,22,57.9,2,3,09/26/20,Manchester Utd,Brighton
14,Donny van de Beek,34.0,nl NED,FW,1,4,0,0,1,3,1,4,0,0,,0,0,2,3,1,4,3,75.0,0,0,09/26/20,Manchester Utd,Brighton
15,Marcus Rashford,10.0,eng ENG,"LW,FW",90,34,0,3,15,18,3,34,0,0,,0,0,22,131,94,46,30,65.2,3,1,09/26/20,Manchester Utd,Brighton
16,Mason Greenwood,11.0,eng ENG,RW,82,38,0,8,19,15,2,38,3,6,50.0,3,0,28,198,125,30,27,90.0,3,2,09/26/20,Manchester Utd,Brighton
17,Eric Bailly,3.0,ci CIV,CB,8,6,1,5,1,0,0,6,0,0,,0,0,2,11,5,2,2,100.0,0,0,09/26/20,Manchester Utd,Brighton
18,Bruno Fernandes,18.0,pt POR,AM,90,68,2,21,23,26,2,62,1,4,25.0,2,0,35,169,119,44,42,95.5,0,0,09/26/20,Manchester Utd,Brighton
19,Nemanja Matic,31.0,rs SRB,DM,90,76,5,28,44,12,1,74,3,3,100.0,3,0,57,394,257,58,56,96.6,0,0,09/26/20,Manchester Utd,Brighton
