,Player,#,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,Date,Team,Opponent
0,Aaron Connolly,7.0,ie IRL,FW,74,0,0,0,0,1,0,0,0,16,14,0,0,0,0.1,0.1,0.0,1,0,8,9,88.9,12,10,89,0,0,09/26/20,Brighton,Manchester Utd
1,Alireza Jahanbakhsh,16.0,ir IRN,"RW,FW",16,0,1,0,0,1,0,1,0,19,7,0,0,1,0.0,0.0,0.4,4,1,15,16,93.8,110,17,62,2,2,09/26/20,Brighton,Manchester Utd
2,Neal Maupay,9.0,fr FRA,LW,90,1,0,1,1,3,1,0,0,48,20,2,0,3,0.8,0.1,0.3,4,0,24,33,72.7,69,30,75,1,1,09/26/20,Brighton,Manchester Utd
3,Leandro Trossard,11.0,be BEL,"RW,FW",90,0,0,0,0,4,1,1,0,46,18,1,0,2,0.7,0.7,0.1,5,1,28,39,71.8,136,35,104,2,2,09/26/20,Brighton,Manchester Utd
4,Steven Alzate,17.0,co COL,DM,90,0,0,0,0,1,0,0,0,68,25,5,0,0,0.1,0.1,0.1,4,1,46,50,92.0,89,55,110,4,5,09/26/20,Brighton,Manchester Utd
5,Adam Lallana,14.0,eng ENG,DM,74,0,0,0,0,0,0,0,0,44,24,0,0,4,0.0,0.0,0.0,1,0,31,37,83.8,139,22,27,0,0,09/26/20,Brighton,Manchester Utd
6,Pascal Gross,13.0,de GER,DM,16,0,0,0,0,1,0,0,0,22,4,1,0,0,0.0,0.0,0.1,1,0,15,20,75.0,122,13,32,0,0,09/26/20,Brighton,Manchester Utd
7,Solly March,20.0,eng ENG,WB,90,1,0,0,0,5,1,0,0,82,22,5,0,2,0.6,0.6,0.0,3,0,45,67,67.2,333,56,206,1,1,09/26/20,Brighton,Manchester Utd
8,Tariq Lamptey,2.0,eng ENG,WB,90,0,0,0,0,0,0,0,0,55,16,1,1,3,0.0,0.0,0.0,2,1,37,44,84.1,175,40,153,1,3,09/26/20,Brighton,Manchester Utd
9,Adam Webster,4.0,eng ENG,CB,90,0,0,0,0,1,0,0,0,60,8,2,1,1,0.1,0.1,0.0,1,0,44,52,84.6,230,39,152,0,0,09/26/20,Brighton,Manchester Utd
10,Lewis Dunk,5.0,eng ENG,CB,90,0,0,0,0,0,0,1,0,68,11,0,1,3,0.0,0.0,0.0,0,0,58,63,92.1,321,47,143,0,0,09/26/20,Brighton,Manchester Utd
11,Ben White,3.0,eng ENG,CB,90,0,0,0,0,0,0,1,0,73,10,2,0,1,0.0,0.0,0.1,2,0,63,68,92.6,429,44,121,1,1,09/26/20,Brighton,Manchester Utd
12,Mathew Ryan,1.0,au AUS,GK,90,0,0,0,0,0,0,0,0,37,0,0,0,0,0.0,0.0,0.0,0,0,28,37,75.7,285,21,10,0,0,09/26/20,Brighton,Manchester Utd
13,Anthony Martial,9.0,fr FRA,FW,89,0,0,0,0,1,0,0,0,29,10,0,0,0,0.1,0.1,0.0,0,0,17,22,77.3,9,26,109,2,2,09/26/20,Manchester Utd,Brighton
14,Donny van de Beek,34.0,nl NED,FW,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,2,1,0,0,09/26/20,Manchester Utd,Brighton
15,Marcus Rashford,10.0,eng ENG,"LW,FW",90,1,0,0,0,2,1,0,0,34,8,0,0,0,0.2,0.2,0.0,2,0,24,28,85.7,105,22,94,0,0,09/26/20,Manchester Utd,Brighton
16,Mason Greenwood,11.0,eng ENG,RW,82,0,0,0,0,1,0,0,0,38,9,1,1,0,0.0,0.0,0.1,1,0,22,24,91.7,82,28,125,3,6,09/26/20,Manchester Utd,Brighton
17,Eric Bailly,3.0,ci CIV,CB,8,0,0,0,0,0,0,0,0,6,1,1,0,1,0.0,0.0,0.0,0,0,2,3,66.7,3,2,5,0,0,09/26/20,Manchester Utd,Brighton
18,Bruno Fernandes,18.0,pt POR,AM,90,1,1,1,1,0,0,1,0,68,23,3,0,4,0.8,0.0,0.2,4,2,43,54,79.6,340,35,119,1,4,09/26/20,Manchester Utd,Brighton
19,Nemanja Matic,31.0,rs SRB,DM,90,0,0,0,0,1,1,1,0,76,20,4,1,5,0.0,0.0,0.0,1,1,57,64,89.1,323,57,257,3,3,09/26/20,Manchester Utd,Brighton
20,Paul Pogba,6.0,fr FRA,DM,64,0,0,0,0,0,0,0,0,41,10,0,0,0,0.0,0.0,0.0,0,0,25,35,71.4,98,29,69,1,1,09/26/20,Manchester Utd,Brighton
21,Fred,17.0,br BRA,DM,26,0,0,0,0,0,0,0,0,18,9,0,0,0,0.0,0.0,0.0,0,0,12,15,80.0,70,13,66,1,1,09/26/20,Manchester Utd,Brighton
22,Luke Shaw,23.0,eng ENG,"LB,WB",90,0,0,0,0,0,0,0,0,57,9,3,0,1,0.0,0.0,0.0,1,1,39,50,78.0,206,38,202,1,1,09/26/20,Manchester Utd,Brighton
23,Harry Maguire,5.0,eng ENG,CB,90,0,0,0,0,1,0,0,0,56,5,0,0,0,0.0,0.0,0.0,1,1,40,47,85.1,222,29,45,0,0,09/26/20,Manchester Utd,Brighton
24,Victor Lindelof,2.0,se SWE,CB,90,0,0,0,0,0,0,0,0,62,5,2,0,4,0.0,0.0,0.0,0,0,41,45,91.1,200,30,47,0,0,09/26/20,Manchester Utd,Brighton
25,Aaron Wan-Bissaka,29.0,eng ENG,"RB,WB",90,0,0,0,0,0,0,0,0,56,20,4,2,3,0.0,0.0,0.0,0,0,33,36,91.7,192,32,32,0,1,09/26/20,Manchester Utd,Brighton
26,David de Gea,1.0,es ESP,GK,90,0,0,0,0,0,0,0,0,24,0,0,0,0,0.0,0.0,0.0,0,0,16,22,72.7,91,6,7,0,0,09/26/20,Manchester Utd,Brighton
27,Wilfried Zaha,11.0,ci CIV,"FW,LM",90,0,0,0,0,2,0,1,0,39,19,0,1,2,0.1,0.1,0.0,1,1,16,23,69.6,27,30,158,1,2,09/26/20,Crystal Palace,Everton
28,Jordan Ayew,9.0,gh GHA,FW,81,0,0,0,0,0,0,0,0,36,26,1,2,0,0.0,0.0,0.0,2,0,19,21,90.5,59,22,40,1,2,09/26/20,Crystal Palace,Everton
29,Christian Benteke,20.0,be BEL,FW,9,0,0,0,0,0,0,0,0,2,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0,09/26/20,Crystal Palace,Everton
30,Eberechi Eze,25.0,eng ENG,LM,74,0,0,0,0,3,0,0,0,50,10,0,4,0,0.1,0.1,0.0,1,0,33,43,76.7,208,41,176,3,4,09/26/20,Crystal Palace,Everton
31,Michy Batshuayi,23.0,be BEL,FW,16,0,0,0,0,0,0,0,0,8,5,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,4,7,0,0,09/26/20,Crystal Palace,Everton
32,James McArthur,18.0,sco SCO,CM,87,0,0,0,0,0,0,1,0,63,28,5,1,1,0.0,0.0,0.0,1,0,41,49,83.7,278,36,78,0,0,09/26/20,Crystal Palace,Everton
33,Jairo Riedewald,44.0,nl NED,CM,3,0,0,0,0,0,0,0,0,3,1,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,8,2,0,0,0,09/26/20,Crystal Palace,Everton
34,James McCarthy,22.0,ie IRL,CM,90,0,0,0,0,1,0,0,0,56,25,4,1,1,0.0,0.0,0.0,1,0,36,46,78.3,200,20,37,0,0,09/26/20,Crystal Palace,Everton
35,Andros Townsend,10.0,eng ENG,RM,90,0,1,0,0,0,0,0,0,57,20,4,1,4,0.0,0.0,0.3,3,1,23,38,60.5,186,36,125,3,4,09/26/20,Crystal Palace,Everton
36,Tyrick Mitchell,27.0,eng ENG,LB,90,0,0,0,0,0,0,0,0,55,22,9,1,3,0.0,0.0,0.0,0,0,30,40,75.0,319,32,76,0,1,09/26/20,Crystal Palace,Everton
37,Mamadou Sakho,12.0,fr FRA,CB,90,0,0,0,0,0,0,0,0,40,6,0,0,2,0.0,0.0,0.0,0,0,29,33,87.9,261,19,87,0,0,09/26/20,Crystal Palace,Everton
38,Cheikhou Kouyate,8.0,sn SEN,CB,90,1,0,0,0,2,1,0,0,48,10,2,3,0,0.3,0.3,0.0,0,0,24,36,66.7,204,19,38,1,1,09/26/20,Crystal Palace,Everton
39,Joel Ward,2.0,eng ENG,RB,90,0,0,0,0,0,0,1,0,54,21,3,1,2,0.0,0.0,0.0,2,0,32,39,82.1,277,24,60,2,2,09/26/20,Crystal Palace,Everton
40,Vicente Guaita,31.0,es ESP,GK,90,0,0,0,0,0,0,0,0,18,0,0,0,0,0.0,0.0,0.0,0,0,11,17,64.7,246,3,2,0,0,09/26/20,Crystal Palace,Everton
41,Dominic Calvert-Lewin,9.0,eng ENG,FW,90,1,0,0,0,4,2,0,0,33,14,0,0,1,1.0,1.0,0.0,0,0,12,15,80.0,8,16,8,0,0,09/26/20,Everton,Crystal Palace
