Rank,Player,Team,Position,Valid_starts,total_min,mean_min,mean_xFpts,sd_xFpts,mean_fpts,sd_fpts,mean_xFpts - mean_fpts,total_xFpts,total_fpts,total_xFpts - total_fpts,total_xCS,CS
1,Kevin De Bruyne,MCI,M,11,990,90.00,19.56,7.84,17.73,9.36,1.83,215.14,195.00,20.14,5.64,5
2,Jack Grealish,AVL,M,12,1080,90.00,18.60,9.20,21.04,14.75,-2.45,223.16,252.50,-29.34,5.56,7
3,Bruno Fernandes,MUN,M,11,946,86.00,18.00,10.13,20.41,11.53,-2.41,197.98,224.50,-26.52,4.68,3
4,Sadio Mane,LIV,F,11,979,89.00,16.94,6.07,14.73,6.54,2.21,186.30,162.00,24.30,3.44,3
5,Mohamed Salah,LIV,F,12,1047,87.25,16.58,7.75,18.75,10.61,-2.18,198.90,225.00,-26.10,3.28,3
6,Jamie Vardy,LEI,F,12,1068,89.00,15.49,9.06,16.67,11.43,-1.18,185.90,200.00,-14.10,4.00,4
7,Christian Benteke,CRY,F,3,250,83.33,15.40,6.21,19.50,11.34,-4.10,46.20,58.50,-12.30,1.76,0
8,Ross Barkley,AVL,M,5,450,90.00,15.39,5.32,15.40,4.68,-0.01,76.96,77.00,-0.04,1.36,2
9,Oliver McBurnie,SHU,F,7,630,90.00,15.17,6.35,13.29,4.37,1.89,106.20,93.00,13.20,0.40,0
10,Tammy Abraham,CHE,F,7,606,86.57,15.17,5.36,16.29,7.61,-1.11,106.20,114.00,-7.80,5.36,5
11,Harry Kane,TOT,F,14,1254,89.57,15.03,8.77,18.61,13.11,-3.58,210.40,260.50,-50.10,4.56,5
12,Joao Cancelo,MCI,D,9,810,90.00,14.58,4.33,13.36,5.03,1.22,131.19,120.25,10.94,5.64,5
13,Dominic Calvert-Lewin,EVE,F,14,1238,88.43,14.53,6.18,16.07,8.64,-1.54,203.40,225.00,-21.60,4.88,3
14,James Rodriguez,EVE,M,10,845,84.50,14.53,5.91,14.85,8.95,-0.32,145.26,148.50,-3.24,3.76,1
15,Olivier Giroud,CHE,F,3,240,80.00,14.07,8.78,12.67,7.98,1.40,42.20,38.00,4.20,1.12,0
16,Richarlison,EVE,F,10,882,88.20,13.97,9.38,12.65,8.49,1.32,139.70,126.50,13.20,4.00,3
17,Pascal Gross,BHA,M,6,539,89.83,13.95,3.52,14.33,2.21,-0.38,83.70,86.00,-2.30,2.00,1
18,Michail Antonio,WHU,M,5,433,86.60,13.90,3.90,12.30,7.28,1.60,69.52,61.50,8.02,1.92,2
19,Gylfi Sigurdsson,EVE,M,6,510,85.00,13.86,8.06,13.67,8.23,0.19,83.16,82.00,1.16,1.36,2
20,Riyad Mahrez,MCI,F,9,750,83.33,13.67,8.48,14.33,13.30,-0.67,123.00,129.00,-6.00,5.08,5
21,Lucas Digne,EVE,D,8,702,87.75,13.50,9.31,12.31,12.91,1.19,108.00,98.50,9.50,3.20,1
22,Ben Chilwell,CHE,D,10,892,89.20,13.49,6.82,14.93,9.69,-1.44,134.85,149.25,-14.40,6.00,5
23,Bertrand Traore,AVL,M,3,245,81.67,13.41,6.93,16.00,10.89,-2.59,40.22,48.00,-7.78,2.12,3
24,Raphinha,LEE,F,6,535,89.17,13.38,3.75,12.58,5.86,0.80,80.30,75.50,4.80,0.96,2
25,Jack Harrison,LEE,M,11,971,88.27,13.15,5.12,13.59,7.22,-0.44,144.68,149.50,-4.82,2.48,4
26,Patrick Bamford,LEE,F,14,1189,84.93,12.94,6.28,12.54,10.25,0.41,181.20,175.50,5.70,2.48,4
27,Ollie Watkins,AVL,F,12,1080,90.00,12.89,8.32,12.04,13.15,0.85,154.70,144.50,10.20,5.56,7
28,Sebastien Haller,WHU,F,7,614,87.71,12.84,8.79,11.86,7.89,0.99,89.90,83.00,6.90,1.12,2
29,Mason Mount,CHE,M,12,1062,88.50,12.81,8.46,12.96,10.14,-0.15,153.76,155.50,-1.74,5.56,4
30,Jorginho,CHE,M,6,500,83.33,12.36,9.05,12.25,11.59,0.11,74.14,73.50,0.64,2.44,3
31,Hakim Ziyech,CHE,M,4,333,83.25,12.29,6.77,15.75,9.04,-3.47,49.14,63.00,-13.86,3.24,3
32,Adama Traore,WOL,F,7,602,86.00,12.26,3.80,10.71,3.26,1.54,85.80,75.00,10.80,1.52,1
33,Trezeguet,AVL,M,8,659,82.38,12.20,5.10,9.31,4.72,2.89,97.60,74.50,23.10,2.80,4
34,Reece James,CHE,D,11,990,90.00,12.07,5.12,11.45,7.63,0.62,132.78,126.00,6.78,5.48,4
35,Alex Telles,MUN,D,4,354,88.50,11.93,4.62,10.88,3.00,1.05,47.70,43.50,4.20,1.60,1
36,Anthony Martial,MUN,F,7,592,84.57,11.90,13.02,11.00,13.79,0.90,83.30,77.00,6.30,1.44,1
37,Matt Doherty,TOT,D,6,526,87.67,11.87,4.38,11.17,7.45,0.71,71.24,67.00,4.24,2.64,2
38,Pedro Neto,WOL,F,13,1091,83.92,11.80,4.40,12.77,6.06,-0.97,153.40,166.00,-12.60,4.04,4
39,Danny Welbeck,BHA,F,6,499,83.17,11.70,5.67,10.00,6.11,1.70,70.20,60.00,10.20,2.56,2
40,Callum Wilson,NEW,F,12,1060,88.33,11.57,7.11,13.00,9.43,-1.43,138.90,156.00,-17.10,4.00,3
41,Son Heung-Min,TOT,F,13,1131,87.00,11.55,7.00,16.58,13.39,-5.03,150.10,215.50,-65.40,4.16,6
42,Christian Pulisic,CHE,M,4,342,85.50,11.47,5.00,8.88,3.07,2.59,45.86,35.50,10.36,2.16,2
43,Matheus Pereira,WBA,M,8,698,87.25,11.18,6.10,12.00,5.47,-0.82,89.42,96.00,-6.58,1.12,2
44,Aleksandar Mitrovic,FUL,F,8,706,88.25,11.13,4.65,9.44,7.76,1.69,89.00,75.50,13.50,1.44,1
45,Timo Werner,CHE,F,14,1207,86.21,11.12,6.62,10.61,8.20,0.51,155.70,148.50,7.20,7.20,6
46,James Maddison,LEI,M,8,680,85.00,11.10,5.31,11.88,7.69,-0.78,88.78,95.00,-6.22,2.88,4
47,Marcus Rashford,MUN,F,12,1050,87.50,10.90,7.07,12.75,10.78,-1.85,130.80,153.00,-22.20,4.68,3
48,Marc Albrighton,LEI,M,5,450,90.00,10.88,3.16,9.20,3.01,1.68,54.40,46.00,8.40,2.00,2
49,Phil Foden,MCI,M,5,409,81.80,10.83,6.18,9.70,6.26,1.13,54.14,48.50,5.64,1.84,1
50,Ademola Lookman,FUL,F,10,895,89.50,10.71,5.47,10.65,7.52,0.06,107.10,106.50,0.60,2.32,2
51,Diogo Jota,LIV,F,5,442,88.40,10.70,8.76,12.20,7.70,-1.50,53.50,61.00,-7.50,0.16,1
52,Roberto Firmino,LIV,F,13,1072,82.46,10.68,8.22,10.96,9.79,-0.28,138.90,142.50,-3.60,4.40,4
53,Andros Townsend,CRY,M,11,925,84.09,10.59,5.38,11.05,5.71,-0.46,116.46,121.50,-5.04,2.96,2
54,Wesley Fofana,LEI,D,10,900,90.00,10.55,5.85,9.85,6.23,0.70,105.52,98.50,7.02,3.92,4
55,Moussa Djenepo,SOU,M,5,392,78.40,10.44,4.61,9.50,4.09,0.94,52.20,47.50,4.70,1.60,2
56,Vladimir Coufal,WHU,D,11,985,89.55,10.42,7.82,11.14,8.12,-0.71,114.66,122.50,-7.84,2.56,3
57,Leandro Trossard,BHA,M,9,760,84.44,10.40,4.42,9.00,4.74,1.40,93.62,81.00,12.62,3.92,3
58,Danny Ings,SOU,F,9,805,89.44,10.19,4.51,13.06,6.75,-2.87,91.70,117.50,-25.80,4.84,4
59,Andre-Frank Zambo Anguissa,FUL,M,12,1055,87.92,10.17,4.78,10.13,5.67,0.05,122.06,121.50,0.56,2.56,2
60,Kurt Zouma,CHE,D,13,1170,90.00,10.17,3.83,11.96,6.49,-1.79,132.20,155.50,-23.30,6.80,6
61,Che Adams,SOU,F,14,1207,86.21,10.12,4.25,10.68,5.78,-0.56,141.70,149.50,-7.80,5.96,5
62,Conor Hourihane,AVL,M,3,212,70.67,10.04,5.78,11.67,10.65,-1.63,30.12,35.00,-4.88,1.92,2
63,Solly March,BHA,M,13,1114,85.69,9.97,4.73,10.42,5.26,-0.45,129.66,135.50,-5.84,4.96,3
64,Andrew Robertson,LIV,D,14,1260,90.00,9.96,6.37,10.57,9.38,-0.61,139.40,148.00,-8.60,4.40,4
65,Jannik Vestergaard,SOU,D,12,1080,90.00,9.95,5.47,11.42,7.13,-1.46,119.42,137.00,-17.58,5.32,5
66,Ilkay Gundogan,MCI,M,6,540,90.00,9.80,6.73,9.17,7.21,0.64,58.82,55.00,3.82,4.12,3
67,Neal Maupay,BHA,F,10,866,86.60,9.68,6.34,8.60,10.07,1.08,96.80,86.00,10.80,4.32,2
68,Seamus Coleman,EVE,D,4,360,90.00,9.67,2.25,7.00,5.99,2.67,38.66,28.00,10.66,2.16,1
69,Tom Cairney,FUL,M,8,694,86.75,9.61,6.74,9.06,8.16,0.54,76.84,72.50,4.34,1.44,1
70,Allan Saint-Maximin,NEW,M,7,555,79.29,9.60,5.39,9.86,8.18,-0.26,67.20,69.00,-1.80,2.40,3
71,Harry Maguire,MUN,D,13,1170,90.00,9.60,6.24,7.96,7.84,1.64,124.78,103.50,21.28,4.68,3
72,Antonee Robinson,FUL,D,11,990,90.00,9.57,3.79,9.64,4.43,-0.07,105.26,106.00,-0.74,2.56,2
