,Pos,avg_war_won,total_war_won,pos_war_lost,total_war_lost,total_player_war
Kevin De Bruyne,M,0.16500000000000004,5.115000000000001,-0.0050000000000000044,-0.03500000000000003,5.080000000000001
Adama Traore,F,0.123,3.3209999999999997,-0.04999999999999999,-0.5499999999999998,2.771
Sadio Mane,F,0.09299999999999997,2.882999999999999,-0.04999999999999999,-0.3499999999999999,2.532999999999999
Michail Antonio,M,0.124,2.356,-0.0050000000000000044,-0.09500000000000008,2.2609999999999997
Emiliano Buendia,M,0.08099999999999996,2.267999999999999,-0.0050000000000000044,-0.050000000000000044,2.217999999999999
Riyad Mahrez,M,0.11499999999999999,2.1849999999999996,-0.0050000000000000044,-0.09500000000000008,2.0899999999999994
Willian,F,0.08299999999999996,2.406999999999999,-0.04999999999999999,-0.4499999999999999,1.9569999999999992
Ricardo Pereira,D,0.07099999999999995,1.9879999999999987,-0.0040000000000000036,-0.040000000000000036,1.9479999999999986
Trent Alexander-Arnold,D,0.05400000000000005,1.8900000000000017,-0.0040000000000000036,-0.01200000000000001,1.8780000000000017
Mohamed Salah,F,0.05600000000000005,1.8480000000000016,-0.04999999999999999,-0.24999999999999994,1.5980000000000016
Jack Grealish,M,0.04700000000000004,1.5980000000000014,-0.0050000000000000044,-0.020000000000000018,1.5780000000000014
Lucas Digne,D,0.04500000000000004,1.5750000000000015,-0.0040000000000000036,-0.01200000000000001,1.5630000000000015
Cesar Azpilicueta,D,0.04300000000000004,1.5480000000000014,-0.0040000000000000036,-0.008000000000000007,1.5400000000000014
Matt Doherty,D,0.04600000000000004,1.4720000000000013,-0.0040000000000000036,-0.02400000000000002,1.4480000000000013
Harry Maguire,D,0.03700000000000003,1.4060000000000012,-0.0040000000000000036,-0.0,1.4060000000000012
Reece James,D,0.08799999999999997,1.4079999999999995,-0.0040000000000000036,-0.08800000000000008,1.3199999999999994
Gabriel Jesus,F,0.10999999999999999,2.1999999999999997,-0.04999999999999999,-0.8999999999999998,1.2999999999999998
Joao Cancelo,D,0.10399999999999998,1.3519999999999999,-0.0040000000000000036,-0.10000000000000009,1.2519999999999998
Marcos Alonso,D,0.07599999999999996,1.1399999999999992,-0.0040000000000000036,-0.09200000000000008,1.0479999999999992
Raheem Sterling,F,0.050000000000000044,1.4500000000000013,-0.04999999999999999,-0.4499999999999999,1.0000000000000013
Nathan Redmond,M,0.029000000000000026,0.9280000000000008,-0.0050000000000000044,-0.030000000000000027,0.8980000000000008
Mateo Kovacic,M,0.04200000000000004,0.9660000000000009,-0.0050000000000000044,-0.07500000000000007,0.8910000000000008
David Silva,M,0.04700000000000004,0.9400000000000008,-0.0050000000000000044,-0.09000000000000008,0.8500000000000008
Diogo Jota,M,0.03200000000000003,0.8640000000000008,-0.0050000000000000044,-0.05500000000000005,0.8090000000000007
James Maddison,M,0.028000000000000025,0.8120000000000007,-0.0050000000000000044,-0.04500000000000004,0.7670000000000007
Bruno Fernandes,M,0.06299999999999994,0.8819999999999992,-0.0050000000000000044,-0.1200000000000001,0.7619999999999991
John McGinn,M,0.030000000000000027,0.7500000000000007,-0.0050000000000000044,-0.06500000000000006,0.6850000000000006
Harvey Barnes,M,0.030000000000000027,0.7200000000000006,-0.0050000000000000044,-0.07000000000000006,0.6500000000000006
Felipe Anderson,M,0.03700000000000003,0.7400000000000007,-0.0050000000000000044,-0.09000000000000008,0.6500000000000006
Christian Pulisic,M,0.039000000000000035,0.7410000000000007,-0.0050000000000000044,-0.09500000000000008,0.6460000000000006
Bernardo Silva,M,0.03300000000000003,0.7260000000000006,-0.0050000000000000044,-0.08000000000000007,0.6460000000000006
Andrew Robertson,D,0.019000000000000017,0.6460000000000006,-0.0040000000000000036,-0.016000000000000014,0.6300000000000006
Raul Jimenez,F,0.018000000000000016,0.6660000000000006,-0.04999999999999999,-0.04999999999999999,0.6160000000000005
Diego Rico,D,0.02400000000000002,0.6480000000000006,-0.0040000000000000036,-0.04400000000000004,0.6040000000000005
Jamie Vardy,F,0.02200000000000002,0.7480000000000007,-0.04999999999999999,-0.19999999999999996,0.5480000000000007
Allan Saint-Maximin,F,0.05500000000000005,1.265000000000001,-0.04999999999999999,-0.7499999999999998,0.5150000000000012
James Ward-Prowse,M,0.013000000000000012,0.49400000000000044,-0.0050000000000000044,-0.0,0.49400000000000044
Mason Mount,M,0.015000000000000013,0.4800000000000004,-0.0050000000000000044,-0.030000000000000027,0.4500000000000004
Lucas Moura,M,0.020000000000000018,0.5000000000000004,-0.0050000000000000044,-0.06500000000000006,0.4350000000000004
Ben Chilwell,D,0.017000000000000015,0.4590000000000004,-0.0040000000000000036,-0.04400000000000004,0.41500000000000037
Roberto Firmino,F,0.018000000000000016,0.6120000000000005,-0.04999999999999999,-0.19999999999999996,0.4120000000000006
Serge Aurier,D,0.014000000000000012,0.4340000000000004,-0.0040000000000000036,-0.028000000000000025,0.40600000000000036
Phil Foden,M,0.06799999999999995,0.5439999999999996,-0.0050000000000000044,-0.15000000000000013,0.39399999999999946
Emerson,D,0.03700000000000003,0.4810000000000004,-0.0040000000000000036,-0.10000000000000009,0.38100000000000034
Pierre-Emile Hojbjerg,M,0.014000000000000012,0.4200000000000004,-0.0050000000000000044,-0.040000000000000036,0.38000000000000034
Ross Barkley,M,0.03700000000000003,0.4810000000000004,-0.0050000000000000044,-0.1250000000000001,0.3560000000000003
Son Heung-Min,F,0.030000000000000027,0.8400000000000007,-0.04999999999999999,-0.4999999999999999,0.34000000000000086
Pascal Gross,M,0.019000000000000017,0.41800000000000037,-0.0050000000000000044,-0.08000000000000007,0.3380000000000003
Willy Boly,D,0.018000000000000016,0.39600000000000035,-0.0040000000000000036,-0.06400000000000006,0.3320000000000003
Aaron Wan-Bissaka,D,0.010000000000000009,0.3400000000000003,-0.0040000000000000036,-0.016000000000000014,0.3240000000000003
Dwight McNeil,F,0.008000000000000007,0.30400000000000027,-0.04999999999999999,-0.0,0.30400000000000027
Benjamin Mendy,D,0.02100000000000002,0.3570000000000003,-0.0040000000000000036,-0.08400000000000007,0.27300000000000024
John Fleck,M,0.010000000000000009,0.28000000000000025,-0.0050000000000000044,-0.050000000000000044,0.2300000000000002
Nicolas Otamendi,D,0.015000000000000013,0.27000000000000024,-0.0040000000000000036,-0.08000000000000007,0.19000000000000017
Marcus Rashford,F,0.017000000000000015,0.5270000000000005,-0.04999999999999999,-0.3499999999999999,0.17700000000000055
