,Pos,avg_war_won,total_war_won,pos_war_lost,total_war_lost,total_player_war
Kevin De Bruyne,M,0.126,3.906,-0.031000000000000028,-0.2170000000000002,3.689
Adama Traore,F,0.11499999999999999,3.1049999999999995,-0.029000000000000026,-0.3190000000000003,2.785999999999999
Cesar Azpilicueta,D,0.07799999999999996,2.8079999999999985,-0.027000000000000024,-0.05400000000000005,2.7539999999999987
Sadio Mane,F,0.08599999999999997,2.665999999999999,-0.029000000000000026,-0.20300000000000018,2.4629999999999987
Jack Grealish,M,0.06499999999999995,2.209999999999998,-0.031000000000000028,-0.12400000000000011,2.085999999999998
Marcus Rashford,F,0.06000000000000005,1.8600000000000017,-0.029000000000000026,-0.20300000000000018,1.6570000000000014
Riyad Mahrez,M,0.118,2.242,-0.031000000000000028,-0.5890000000000005,1.6529999999999996
Harry Maguire,D,0.040000000000000036,1.5200000000000014,-0.027000000000000024,-0.0,1.5200000000000014
Trent Alexander-Arnold,D,0.04400000000000004,1.5400000000000014,-0.027000000000000024,-0.08100000000000007,1.4590000000000014
Willian,F,0.05900000000000005,1.7110000000000016,-0.029000000000000026,-0.26100000000000023,1.4500000000000015
Matt Doherty,D,0.049000000000000044,1.5680000000000014,-0.027000000000000024,-0.16200000000000014,1.4060000000000012
Michail Antonio,M,0.09899999999999998,1.8809999999999996,-0.031000000000000028,-0.5890000000000005,1.291999999999999
James Tarkowski,D,0.03300000000000003,1.2540000000000011,-0.027000000000000024,-0.0,1.2540000000000011
Emiliano Buendia,M,0.05500000000000005,1.5400000000000014,-0.031000000000000028,-0.3100000000000003,1.230000000000001
Allan Saint-Maximin,F,0.07099999999999995,1.632999999999999,-0.029000000000000026,-0.4350000000000004,1.1979999999999986
Mohamed Salah,F,0.040000000000000036,1.3200000000000012,-0.029000000000000026,-0.14500000000000013,1.1750000000000012
Raheem Sterling,F,0.049000000000000044,1.4210000000000012,-0.029000000000000026,-0.26100000000000023,1.160000000000001
Chris Basham,D,0.03300000000000003,1.188000000000001,-0.027000000000000024,-0.05400000000000005,1.134000000000001
Gabriel Jesus,F,0.08199999999999996,1.6399999999999992,-0.029000000000000026,-0.5220000000000005,1.1179999999999988
Son Heung-Min,F,0.049000000000000044,1.3720000000000012,-0.029000000000000026,-0.29000000000000026,1.082000000000001
Wilfried Zaha,F,0.027000000000000024,0.9990000000000009,-0.029000000000000026,-0.029000000000000026,0.9700000000000009
Raul Jimenez,F,0.025000000000000022,0.9250000000000008,-0.029000000000000026,-0.029000000000000026,0.8960000000000008
James Maddison,M,0.040000000000000036,1.160000000000001,-0.031000000000000028,-0.27900000000000025,0.8810000000000008
Bernardo Silva,M,0.061000000000000054,1.3420000000000012,-0.031000000000000028,-0.49600000000000044,0.8460000000000008
Richarlison,F,0.025000000000000022,0.9000000000000008,-0.029000000000000026,-0.05800000000000005,0.8420000000000007
Andrew Robertson,D,0.027000000000000024,0.9180000000000008,-0.027000000000000024,-0.1080000000000001,0.8100000000000007
James Ward-Prowse,M,0.02100000000000002,0.7980000000000007,-0.031000000000000028,-0.0,0.7980000000000007
Harvey Barnes,M,0.050000000000000044,1.200000000000001,-0.031000000000000028,-0.4340000000000004,0.7660000000000007
Ricardo Pereira,D,0.03700000000000003,1.036000000000001,-0.027000000000000024,-0.27000000000000024,0.7660000000000007
Danny Ings,F,0.028000000000000025,0.8960000000000008,-0.029000000000000026,-0.17400000000000015,0.7220000000000006
Sebastien Haller,F,0.04500000000000004,1.080000000000001,-0.029000000000000026,-0.40600000000000036,0.6740000000000006
Jamie Vardy,F,0.02300000000000002,0.7820000000000007,-0.029000000000000026,-0.1160000000000001,0.6660000000000006
Anthony Martial,F,0.027000000000000024,0.8370000000000007,-0.029000000000000026,-0.20300000000000018,0.6340000000000006
Reece James,D,0.07399999999999995,1.1839999999999993,-0.027000000000000024,-0.5940000000000005,0.5899999999999987
Joao Cancelo,D,0.09099999999999997,1.1829999999999996,-0.027000000000000024,-0.6750000000000006,0.507999999999999
David Silva,M,0.052000000000000046,1.040000000000001,-0.031000000000000028,-0.5580000000000005,0.48200000000000043
Declan Rice,M,0.01200000000000001,0.4560000000000004,-0.031000000000000028,-0.0,0.4560000000000004
Virgil van Dijk,D,0.01200000000000001,0.4560000000000004,-0.027000000000000024,-0.0,0.4560000000000004
Lucas Digne,D,0.015000000000000013,0.5250000000000005,-0.027000000000000024,-0.08100000000000007,0.4440000000000004
Marcos Alonso,D,0.07099999999999995,1.0649999999999993,-0.027000000000000024,-0.6210000000000006,0.44399999999999873
John McGinn,M,0.03300000000000003,0.8250000000000007,-0.031000000000000028,-0.40300000000000036,0.4220000000000004
Fred,M,0.038000000000000034,0.8740000000000008,-0.031000000000000028,-0.4650000000000004,0.40900000000000036
Diego Rico,D,0.026000000000000023,0.7020000000000006,-0.027000000000000024,-0.29700000000000026,0.40500000000000036
Roberto Firmino,F,0.015000000000000013,0.5100000000000005,-0.029000000000000026,-0.1160000000000001,0.39400000000000035
Christian Pulisic,M,0.051000000000000045,0.9690000000000009,-0.031000000000000028,-0.5890000000000005,0.38000000000000034
Aaron Wan-Bissaka,D,0.014000000000000012,0.4760000000000004,-0.027000000000000024,-0.1080000000000001,0.3680000000000003
Sergio Aguero,F,0.05700000000000005,0.9690000000000009,-0.029000000000000026,-0.6090000000000005,0.3600000000000003
Nathan Redmond,M,0.017000000000000015,0.5440000000000005,-0.031000000000000028,-0.18600000000000017,0.3580000000000003
Serge Aurier,D,0.015000000000000013,0.4650000000000004,-0.027000000000000024,-0.18900000000000017,0.27600000000000025
Dan Burn,D,0.01100000000000001,0.3630000000000003,-0.027000000000000024,-0.13500000000000012,0.2280000000000002
John Fleck,M,0.019000000000000017,0.5320000000000005,-0.031000000000000028,-0.3100000000000003,0.2220000000000002
Joshua King,F,0.026000000000000023,0.6240000000000006,-0.029000000000000026,-0.40600000000000036,0.2180000000000002
Felipe Anderson,M,0.038000000000000034,0.7600000000000007,-0.031000000000000028,-0.5580000000000005,0.20200000000000018
Nicolas Pepe,F,0.030000000000000027,0.6600000000000006,-0.029000000000000026,-0.4640000000000004,0.19600000000000017
Jordan Ayew,F,0.006000000000000005,0.2220000000000002,-0.029000000000000026,-0.029000000000000026,0.19300000000000017
Diogo Jota,M,0.019000000000000017,0.5130000000000005,-0.031000000000000028,-0.3410000000000003,0.17200000000000015
Djibril Sidibe,D,0.03700000000000003,0.6660000000000006,-0.027000000000000024,-0.5400000000000005,0.1260000000000001
Bruno Fernandes,M,0.06000000000000005,0.8400000000000007,-0.031000000000000028,-0.7440000000000007,0.09600000000000009
Mason Mount,M,0.008000000000000007,0.2560000000000002,-0.031000000000000028,-0.18600000000000017,0.07000000000000006
Jack O'Connell,D,0.007000000000000006,0.2240000000000002,-0.027000000000000024,-0.16200000000000014,0.062000000000000055
Jonny,D,0.0050000000000000044,0.16500000000000015,-0.027000000000000024,-0.13500000000000012,0.030000000000000027
Dele Alli,M,0.026000000000000023,0.5460000000000005,-0.031000000000000028,-0.5270000000000005,0.019000000000000017
George Baldock,D,0.0020000000000000018,0.07200000000000006,-0.027000000000000024,-0.05400000000000005,0.018000000000000016
Youri Tielemans,M,0.006000000000000005,0.19200000000000017,-0.031000000000000028,-0.18600000000000017,0.006000000000000005
Ben Chilwell,D,0.010000000000000009,0.27000000000000024,-0.027000000000000024,-0.29700000000000026,-0.027000000000000024
Lucas Moura,M,0.015000000000000013,0.37500000000000033,-0.031000000000000028,-0.40300000000000036,-0.028000000000000025
Christian Benteke,F,0.052000000000000046,0.6760000000000006,-0.029000000000000026,-0.7250000000000006,-0.049000000000000044
Emerson,D,0.04800000000000004,0.6240000000000006,-0.027000000000000024,-0.6750000000000006,-0.051000000000000045
Enda Stevens,D,-0.0010000000000000009,-0.03600000000000003,-0.027000000000000024,-0.05400000000000005,-0.09000000000000008
