,Pos,avg_war_won,total_war_won,pos_war_lost,total_war_lost,total_player_war
Kevin De Bruyne,M,0.3052,9.461200000000002,-0.10659999999999997,-0.7461999999999998,8.715000000000002
Adama Traore,F,0.27680000000000005,7.473600000000001,-0.15460000000000002,-1.7006000000000001,5.7730000000000015
Lucas Digne,D,0.1602,5.607,-0.09039999999999998,-0.27119999999999994,5.3358
Matt Doherty,D,0.18220000000000003,5.830400000000001,-0.09039999999999998,-0.5423999999999999,5.288000000000001
Mohamed Salah,F,0.17779999999999996,5.867399999999998,-0.15460000000000002,-0.7730000000000001,5.0943999999999985
Sadio Mane,F,0.1946,6.0325999999999995,-0.15460000000000002,-1.0822,4.950399999999999
Cesar Azpilicueta,D,0.12280000000000002,4.420800000000001,-0.09039999999999998,-0.18079999999999996,4.240000000000001
Ricardo Pereira,D,0.18020000000000003,5.0456,-0.09039999999999998,-0.9039999999999998,4.1416
Jack Grealish,M,0.11860000000000004,4.032400000000001,-0.10659999999999997,-0.4263999999999999,3.6060000000000008
James Maddison,M,0.1502,4.3558,-0.10659999999999997,-0.9593999999999998,3.3964000000000008
Willian,F,0.16379999999999995,4.750199999999999,-0.15460000000000002,-1.3914000000000002,3.3587999999999987
Emiliano Buendia,M,0.15439999999999998,4.3232,-0.10659999999999997,-1.0659999999999998,3.2572
Raul Jimenez,F,0.09040000000000004,3.344800000000001,-0.15460000000000002,-0.15460000000000002,3.1902000000000013
Trent Alexander-Arnold,D,0.08740000000000003,3.059000000000001,-0.09039999999999998,-0.27119999999999994,2.787800000000001
Riyad Mahrez,M,0.249,4.731,-0.10659999999999997,-2.0253999999999994,2.7056000000000004
Raheem Sterling,F,0.13039999999999996,3.7815999999999987,-0.15460000000000002,-1.3914000000000002,2.3901999999999983
Reece James,D,0.25960000000000005,4.153600000000001,-0.09039999999999998,-1.9887999999999995,2.1648000000000014
Marcus Rashford,F,0.10440000000000005,3.2364000000000015,-0.15460000000000002,-1.0822,2.1542000000000012
Harry Maguire,D,0.05559999999999998,2.112799999999999,-0.09039999999999998,-0.0,2.112799999999999
Michail Antonio,M,0.21599999999999997,4.103999999999999,-0.10659999999999997,-2.0253999999999994,2.0786
Wilfried Zaha,F,0.056599999999999984,2.0941999999999994,-0.15460000000000002,-0.15460000000000002,1.9395999999999993
Allan Saint-Maximin,F,0.16779999999999995,3.859399999999999,-0.15460000000000002,-2.3190000000000004,1.5403999999999987
James Tarkowski,D,0.03959999999999997,1.5047999999999988,-0.09039999999999998,-0.0,1.5047999999999988
Roberto Firmino,F,0.05800000000000005,1.9720000000000018,-0.15460000000000002,-0.6184000000000001,1.3536000000000017
Aaron Wan-Bissaka,D,0.04820000000000002,1.6388000000000007,-0.09039999999999998,-0.3615999999999999,1.2772000000000008
Gabriel Jesus,F,0.20140000000000002,4.0280000000000005,-0.15460000000000002,-2.7828000000000004,1.2452
Serge Aurier,D,0.056400000000000006,1.7484000000000002,-0.09039999999999998,-0.6327999999999998,1.1156000000000004
Andrew Robertson,D,0.040200000000000014,1.3668000000000005,-0.09039999999999998,-0.3615999999999999,1.0052000000000005
David Silva,M,0.14480000000000004,2.896000000000001,-0.10659999999999997,-1.9187999999999996,0.9772000000000012
Son Heung-Min,F,0.08560000000000001,2.3968000000000003,-0.15460000000000002,-1.5460000000000003,0.8508
Willy Boly,D,0.09440000000000004,2.076800000000001,-0.09039999999999998,-1.4463999999999997,0.6304000000000012
Virgil van Dijk,D,0.015000000000000013,0.5700000000000005,-0.09039999999999998,-0.0,0.5700000000000005
John McGinn,M,0.0776,1.94,-0.10659999999999997,-1.3857999999999997,0.5542000000000002
Diogo Jota,M,0.06299999999999994,1.7009999999999985,-0.10659999999999997,-1.1725999999999996,0.5283999999999989
Nathan Redmond,M,0.035599999999999965,1.1391999999999989,-0.10659999999999997,-0.6395999999999998,0.49959999999999904
Bernardo Silva,M,0.09099999999999997,2.0019999999999993,-0.10659999999999997,-1.7055999999999996,0.2963999999999998
Joao Cancelo,D,0.19399999999999995,2.5219999999999994,-0.09039999999999998,-2.2599999999999993,0.262
Marcos Alonso,D,0.15200000000000002,2.2800000000000002,-0.09039999999999998,-2.0791999999999997,0.20080000000000053
James Ward-Prowse,M,0.0038000000000000256,0.14440000000000097,-0.10659999999999997,-0.0,0.14440000000000097
Christian Pulisic,M,0.11060000000000003,2.101400000000001,-0.10659999999999997,-2.0253999999999994,0.0760000000000014
Danny Ings,F,0.02839999999999998,0.9087999999999994,-0.15460000000000002,-0.9276000000000001,-0.018800000000000705
Jamie Vardy,F,0.013599999999999945,0.46239999999999815,-0.15460000000000002,-0.6184000000000001,-0.15600000000000191
Dwight McNeil,F,-0.006599999999999995,-0.2507999999999998,-0.15460000000000002,-0.0,-0.2507999999999998
Enda Stevens,D,-0.004599999999999993,-0.16559999999999975,-0.09039999999999998,-0.18079999999999996,-0.3463999999999997
Lucas Moura,M,0.03539999999999999,0.8849999999999997,-0.10659999999999997,-1.3857999999999997,-0.5008
Felipe Anderson,M,0.0686,1.3719999999999999,-0.10659999999999997,-1.9187999999999996,-0.5467999999999997
Bruno Fernandes,M,0.13,1.82,-0.10659999999999997,-2.5583999999999993,-0.7383999999999993
Jonny,D,-0.014600000000000002,-0.48180000000000006,-0.09039999999999998,-0.4519999999999999,-0.9338
Dan Burn,D,-0.016400000000000026,-0.5412000000000008,-0.09039999999999998,-0.4519999999999999,-0.9932000000000007
Harvey Barnes,M,0.02059999999999995,0.49439999999999884,-0.10659999999999997,-1.4923999999999995,-0.9980000000000007
Dele Alli,M,0.03180000000000005,0.6678000000000011,-0.10659999999999997,-1.8121999999999996,-1.1443999999999985
Troy Deeney,F,0.024800000000000044,0.6448000000000012,-0.15460000000000002,-1.8552000000000002,-1.210399999999999
Richarlison,F,-0.026000000000000023,-0.9360000000000008,-0.15460000000000002,-0.30920000000000003,-1.245200000000001
Emerson,D,0.07579999999999998,0.9853999999999997,-0.09039999999999998,-2.2599999999999993,-1.2745999999999995
Sebastien Haller,F,0.03620000000000001,0.8688000000000002,-0.15460000000000002,-2.1644,-1.2955999999999999
Jack O'Connell,D,-0.0242,-0.7744,-0.09039999999999998,-0.5423999999999999,-1.3167999999999997
Diego Rico,D,-0.015199999999999991,-0.41039999999999976,-0.09039999999999998,-0.9943999999999997,-1.4047999999999994
Chris Basham,D,-0.03539999999999999,-1.2743999999999995,-0.09039999999999998,-0.18079999999999996,-1.4551999999999996
Joao Moutinho,M,-0.030600000000000016,-1.0404000000000004,-0.10659999999999997,-0.4263999999999999,-1.4668000000000003
Mateo Kovacic,M,0.005600000000000049,0.12880000000000114,-0.10659999999999997,-1.5989999999999995,-1.4701999999999984
Djibril Sidibe,D,0.01759999999999995,0.3167999999999991,-0.09039999999999998,-1.8079999999999996,-1.4912000000000005
John Fleck,M,-0.015199999999999991,-0.42559999999999976,-0.10659999999999997,-1.0659999999999998,-1.4915999999999996
Gerard Deulofeu,F,0.019199999999999995,0.47999999999999987,-0.15460000000000002,-2.0098000000000003,-1.5298000000000003
Anthony Martial,F,-0.015400000000000025,-0.47740000000000077,-0.15460000000000002,-1.0822,-1.5596000000000008
Phil Foden,M,0.20079999999999998,1.6063999999999998,-0.10659999999999997,-3.197999999999999,-1.5915999999999992
Ben Chilwell,D,-0.02360000000000001,-0.6372000000000002,-0.09039999999999998,-0.9943999999999997,-1.6316
Harry Kane,F,-0.009199999999999986,-0.2667999999999996,-0.15460000000000002,-1.3914000000000002,-1.6582
Pierre-Emile Hojbjerg,M,-0.028799999999999992,-0.8639999999999998,-0.10659999999999997,-0.8527999999999998,-1.7167999999999997
Mason Mount,M,-0.03639999999999999,-1.1647999999999996,-0.10659999999999997,-0.6395999999999998,-1.8043999999999993
Luke Shaw,D,-0.013600000000000001,-0.272,-0.09039999999999998,-1.6271999999999998,-1.8991999999999998
Youri Tielemans,M,-0.04139999999999999,-1.3247999999999998,-0.10659999999999997,-0.6395999999999998,-1.9643999999999995
Joshua King,F,0.005600000000000049,0.13440000000000119,-0.15460000000000002,-2.1644,-2.029999999999999
Fred,M,-0.019399999999999973,-0.4461999999999994,-0.10659999999999997,-1.5989999999999995,-2.045199999999999
Nicolas Pepe,F,0.019199999999999995,0.4223999999999999,-0.15460000000000002,-2.4736000000000002,-2.0512000000000006
Ben Mee,D,-0.0474,-1.5168,-0.09039999999999998,-0.5423999999999999,-2.0591999999999997
Pierre-Emerick Aubameyang,F,-0.0398,-1.3134000000000001,-0.15460000000000002,-0.7730000000000001,-2.0864000000000003
Matt Ritchie,M,0.032200000000000006,0.4508000000000001,-0.10659999999999997,-2.5583999999999993,-2.1075999999999993
Onel Hernandez,M,0.029200000000000004,0.40880000000000005,-0.10659999999999997,-2.5583999999999993,-2.1495999999999995
Leandro Trossard,M,-0.02100000000000002,-0.4620000000000004,-0.10659999999999997,-1.7055999999999996,-2.1676
Yerry Mina,D,-0.040200000000000014,-1.0050000000000003,-0.09039999999999998,-1.1751999999999998,-2.1802
Tammy Abraham,F,-0.007000000000000006,-0.17500000000000016,-0.15460000000000002,-2.0098000000000003,-2.1848000000000005
Christian Benteke,F,0.12680000000000002,1.6484000000000003,-0.15460000000000002,-3.865,-2.2165999999999997
Joel Matip,D,0.06140000000000001,0.4912000000000001,-0.09039999999999998,-2.7119999999999993,-2.220799999999999
Benjamin Mendy,D,-0.022199999999999998,-0.37739999999999996,-0.09039999999999998,-1.8983999999999996,-2.2757999999999994
Jannik Vestergaard,D,-0.02400000000000002,-0.40800000000000036,-0.09039999999999998,-1.8983999999999996,-2.3064
Kurt Zouma,D,-0.045999999999999985,-1.1499999999999997,-0.09039999999999998,-1.1751999999999998,-2.3251999999999997
Sergio Aguero,F,0.05120000000000002,0.8704000000000004,-0.15460000000000002,-3.2466000000000004,-2.3762
John Lundstram,D,-0.04980000000000001,-1.2450000000000003,-0.09039999999999998,-1.1751999999999998,-2.4202000000000004
Gylfi Sigurdsson,M,-0.04920000000000002,-1.3776000000000006,-0.10659999999999997,-1.0659999999999998,-2.4436000000000004
Ryan Bertrand,D,-0.05880000000000002,-1.8228000000000006,-0.09039999999999998,-0.6327999999999998,-2.4556000000000004
Jonjo Shelvey,M,-0.043800000000000006,-1.0950000000000002,-0.10659999999999997,-1.3857999999999997,-2.4808
Paul Pogba,M,0.011800000000000033,0.15340000000000042,-0.10659999999999997,-2.664999999999999,-2.5115999999999987
Naby Keita,M,0.05940000000000001,0.5346000000000001,-0.10659999999999997,-3.0913999999999993,-2.556799999999999
Nicolas Otamendi,D,-0.041600000000000026,-0.7488000000000005,-0.09039999999999998,-1.8079999999999996,-2.5568
Caglar Soyuncu,D,-0.06559999999999999,-2.2303999999999995,-0.09039999999999998,-0.3615999999999999,-2.5919999999999996
Aaron Mooy,M,-0.04959999999999998,-1.2399999999999993,-0.10659999999999997,-1.3857999999999997,-2.625799999999999
Todd Cantwell,M,-0.06059999999999999,-1.8179999999999996,-0.10659999999999997,-0.8527999999999998,-2.6707999999999994
Sofiane Boufal,M,0.061799999999999966,0.49439999999999973,-0.10659999999999997,-3.197999999999999,-2.7035999999999993
N'Golo Kante,M,-0.041200000000000014,-0.8240000000000003,-0.10659999999999997,-1.9187999999999996,-2.7428
James Justin,D,-0.029600000000000015,-0.32560000000000017,-0.09039999999999998,-2.4407999999999994,-2.7663999999999995
Anwar El Ghazi,M,-0.053200000000000025,-1.2768000000000006,-0.10659999999999997,-1.4923999999999995,-2.7692
Stuart Armstrong,M,-0.03939999999999999,-0.7485999999999998,-0.10659999999999997,-2.0253999999999994,-2.773999999999999
Tariq Lamptey,D,0.00019999999999997797,0.0013999999999998458,-0.09039999999999998,-2.8023999999999996,-2.8009999999999997
Shane Duffy,D,-0.039600000000000024,-0.4752000000000003,-0.09039999999999998,-2.3503999999999996,-2.8255999999999997
Dejan Lovren,D,-0.0338,-0.30419999999999997,-0.09039999999999998,-2.6215999999999995,-2.9257999999999993
Scott McTominay,M,-0.052200000000000024,-1.0440000000000005,-0.10659999999999997,-1.9187999999999996,-2.9628
Jeffrey Schlupp,D,-0.04799999999999999,-0.5279999999999998,-0.09039999999999998,-2.4407999999999994,-2.968799999999999
Ahmed El Mohamady,D,-0.05059999999999998,-0.5565999999999998,-0.09039999999999998,-2.4407999999999994,-2.997399999999999
Erik Pieters,D,-0.07119999999999999,-1.4951999999999996,-0.09039999999999998,-1.5367999999999997,-3.031999999999999
David McGoldrick,F,-0.02679999999999999,-0.5895999999999998,-0.15460000000000002,-2.4736000000000002,-3.0632
Shkodran Mustafi,D,-0.056599999999999984,-0.6225999999999998,-0.09039999999999998,-2.4407999999999994,-3.0633999999999992
John Stones,D,-0.06,-0.72,-0.09039999999999998,-2.3503999999999996,-3.0703999999999994
Ryan Fraser,M,-0.060199999999999976,-1.2641999999999995,-0.10659999999999997,-1.8121999999999996,-3.076399999999999
Jonny Evans,D,-0.0822,-3.1235999999999997,-0.09039999999999998,-0.0,-3.1235999999999997
Andreas Pereira,M,-0.059199999999999975,-1.0655999999999994,-0.10659999999999997,-2.1319999999999997,-3.197599999999999
Fikayo Tomori,D,-0.07500000000000001,-1.1250000000000002,-0.09039999999999998,-2.0791999999999997,-3.2042
Ross Barkley,M,-0.04199999999999998,-0.5459999999999998,-0.10659999999999997,-2.664999999999999,-3.210999999999999
Pascal Gross,M,-0.0686,-1.5091999999999999,-0.10659999999999997,-1.7055999999999996,-3.2147999999999994
Alex Iwobi,M,-0.06259999999999999,-1.1893999999999998,-0.10659999999999997,-2.0253999999999994,-3.2147999999999994
Ondrej Duda,M,-0.016199999999999992,-0.14579999999999993,-0.10659999999999997,-3.0913999999999993,-3.237199999999999
Ruben Vinagre,D,-0.05840000000000001,-0.35040000000000004,-0.09039999999999998,-2.8927999999999994,-3.2431999999999994
Robert Snodgrass,M,-0.06159999999999999,-1.0471999999999997,-0.10659999999999997,-2.2385999999999995,-3.285799999999999
Giovani Lo Celso,M,-0.056400000000000006,-0.8460000000000001,-0.10659999999999997,-2.4517999999999995,-3.2977999999999996
Chris Mepham,D,-0.07700000000000001,-0.7700000000000001,-0.09039999999999998,-2.5311999999999992,-3.3011999999999992
Ilkay Gundogan,M,-0.0706,-1.412,-0.10659999999999997,-1.9187999999999996,-3.3307999999999995
Bernardo,D,-0.0786,-0.5502,-0.09039999999999998,-2.8023999999999996,-3.3526
Moussa Djenepo,M,-0.0398,-0.398,-0.10659999999999997,-2.984799999999999,-3.382799999999999
Eric Garcia,D,-0.08339999999999997,-0.5837999999999999,-0.09039999999999998,-2.8023999999999996,-3.3861999999999997
Ismaila Sarr,F,-0.042200000000000015,-0.9284000000000003,-0.15460000000000002,-2.4736000000000002,-3.4020000000000006
Adam Masina,D,-0.08979999999999999,-1.7959999999999998,-0.09039999999999998,-1.6271999999999998,-3.4231999999999996
Kyle Walker-Peters,D,-0.08000000000000002,-0.08000000000000002,-0.09039999999999998,-3.3447999999999993,-3.4247999999999994
Gabriel Martinelli,M,-0.0028000000000000247,-0.016800000000000148,-0.10659999999999997,-3.411199999999999,-3.427999999999999
Erik Lamela,M,-0.054800000000000015,-0.6576000000000002,-0.10659999999999997,-2.7715999999999994,-3.4292
Matthew Lowton,D,-0.09160000000000001,-1.5572000000000004,-0.09039999999999998,-1.8983999999999996,-3.4556
Manuel Lanzini,M,-0.06419999999999998,-0.8987999999999997,-0.10659999999999997,-2.5583999999999993,-3.457199999999999
Wilfred Ndidi,M,-0.08760000000000001,-2.5404000000000004,-0.10659999999999997,-0.9593999999999998,-3.4998000000000005
Cedric Soares,D,-0.0942,-1.7898,-0.09039999999999998,-1.7175999999999996,-3.5073999999999996
John Egan,D,-0.09360000000000002,-3.1824000000000003,-0.09039999999999998,-0.3615999999999999,-3.5440000000000005
Danny Rose,D,-0.20340000000000003,-0.20340000000000003,-0.09039999999999998,-3.3447999999999993,-3.5481999999999996
Jose Holebas,D,-0.1008,-1.1088,-0.09039999999999998,-2.4407999999999994,-3.5495999999999994
Kyle Walker,D,-0.09539999999999998,-2.5757999999999996,-0.09039999999999998,-0.9943999999999997,-3.5701999999999994
Tomas Soucek,M,-0.06819999999999998,-0.8183999999999998,-0.10659999999999997,-2.7715999999999994,-3.589999999999999
Seamus Coleman,D,-0.0988,-2.0747999999999998,-0.09039999999999998,-1.5367999999999997,-3.6115999999999993
Brandon Williams,D,-0.1078,-1.1858,-0.09039999999999998,-2.4407999999999994,-3.6265999999999994
Pedro,F,0.12439999999999996,0.9951999999999996,-0.15460000000000002,-4.638000000000001,-3.642800000000001
Dani Ceballos,M,-0.08279999999999998,-1.4075999999999997,-0.10659999999999997,-2.2385999999999995,-3.6461999999999994
Fabian Balbuena,D,-0.11180000000000001,-1.4534000000000002,-0.09039999999999998,-2.2599999999999993,-3.7133999999999996
Michael Keane,D,-0.10120000000000001,-2.8336000000000006,-0.09039999999999998,-0.9039999999999998,-3.7376000000000005
Miguel Almiron,M,-0.09839999999999999,-3.4439999999999995,-0.10659999999999997,-0.3197999999999999,-3.7637999999999994
George Baldock,D,-0.09999999999999998,-3.599999999999999,-0.09039999999999998,-0.18079999999999996,-3.7807999999999993
Dominic Calvert-Lewin,F,-0.08479999999999999,-2.5439999999999996,-0.15460000000000002,-1.2368000000000001,-3.7807999999999997
Andreas Christensen,D,-0.10720000000000002,-2.2512000000000003,-0.09039999999999998,-1.5367999999999997,-3.7880000000000003
Oliver McBurnie,F,-0.06140000000000001,-1.3508000000000002,-0.15460000000000002,-2.4736000000000002,-3.8244000000000007
Lewis Dunk,D,-0.10139999999999999,-3.6503999999999994,-0.09039999999999998,-0.18079999999999996,-3.8311999999999995
Jarrod Bowen,F,0.04800000000000004,0.4800000000000004,-0.15460000000000002,-4.3288,-3.8487999999999998
Christian Fuchs,D,-0.14300000000000002,-1.1440000000000001,-0.09039999999999998,-2.7119999999999993,-3.8559999999999994
Kortney Hause,D,-0.1194,-1.7910000000000001,-0.09039999999999998,-2.0791999999999997,-3.8701999999999996
Olivier Giroud,F,0.012199999999999989,0.14639999999999986,-0.15460000000000002,-4.0196000000000005,-3.8732000000000006
Johann Gudmundsson,M,-0.07819999999999999,-0.46919999999999995,-0.10659999999999997,-3.411199999999999,-3.880399999999999
Daryl Janmaat,D,-0.15460000000000002,-1.0822,-0.09039999999999998,-2.8023999999999996,-3.8846
Solly March,M,-0.09339999999999998,-1.0273999999999999,-0.10659999999999997,-2.878199999999999,-3.905599999999999
Trezeguet,M,-0.09939999999999999,-1.9879999999999998,-0.10659999999999997,-1.9187999999999996,-3.9067999999999996
Bernard,M,-0.09799999999999998,-1.4699999999999998,-0.10659999999999997,-2.4517999999999995,-3.9217999999999993
Calum Chambers,D,-0.12819999999999998,-1.6665999999999999,-0.09039999999999998,-2.2599999999999993,-3.926599999999999
Tanguy Ndombele,M,-0.09799999999999998,-1.1759999999999997,-0.10659999999999997,-2.7715999999999994,-3.947599999999999
Fabian Schar,D,-0.12219999999999998,-2.1995999999999993,-0.09039999999999998,-1.8079999999999996,-4.007599999999999
Aymeric Laporte,D,-0.13540000000000002,-1.7602000000000002,-0.09039999999999998,-2.2599999999999993,-4.020199999999999
Joseph Gomez,D,-0.1174,-2.5828,-0.09039999999999998,-1.4463999999999997,-4.0291999999999994
Tom Cleverley,M,-0.1048,-1.1528,-0.10659999999999997,-2.878199999999999,-4.030999999999999
Jordan Henderson,M,-0.10599999999999998,-2.7559999999999993,-0.10659999999999997,-1.2791999999999997,-4.035199999999999
Kevin Long,D,-0.19440000000000002,-1.1664,-0.09039999999999998,-2.8927999999999994,-4.0592
Sam Byram,D,-0.13240000000000002,-1.9860000000000002,-0.09039999999999998,-2.0791999999999997,-4.0652
Callum Hudson-Odoi,F,0.10299999999999998,0.7209999999999999,-0.15460000000000002,-4.7926,-4.0716
Marc Albrighton,M,-0.10959999999999998,-0.9863999999999997,-0.10659999999999997,-3.0913999999999993,-4.077799999999999
Mario Vrancic,M,-0.11120000000000002,-0.6672000000000001,-0.10659999999999997,-3.411199999999999,-4.078399999999999
Patrick van Aanholt,D,-0.11280000000000001,-3.2712000000000003,-0.09039999999999998,-0.8135999999999999,-4.0848
