,Player,Pos,gameweek,pWAS,ww_pWAS,WAR
16,Erik Pieters,D,1,0.24405000000000002,-0.07758333333333335,0.3216333333333334
174,Raheem Sterling,F,1,0.26393333333333335,-0.03939999999999999,0.30333333333333334
172,Riyad Mahrez,F,1,0.24919999999999998,-0.03939999999999999,0.28859999999999997
161,Ashley Barnes,F,1,0.21689999999999998,-0.03939999999999999,0.2563
182,Harry Kane,F,1,0.16583333333333336,-0.03939999999999999,0.20523333333333335
170,Divock Origi,F,1,0.1626,-0.03939999999999999,0.20199999999999999
36,Virgil van Dijk,D,1,0.12153333333333334,-0.07758333333333335,0.1991166666666667
121,Paul Pogba,M,1,0.18275,-0.0045666666666666815,0.1873166666666667
169,Mohamed Salah,F,1,0.14675000000000002,-0.03939999999999999,0.18615
11,Lewis Dunk,D,1,0.10806666666666669,-0.07758333333333335,0.18565000000000004
14,Shane Duffy,D,1,0.10400000000000002,-0.07758333333333335,0.18158333333333337
45,Aaron Wan-Bissaka,D,1,0.10336666666666668,-0.07758333333333335,0.18095000000000003
17,Ben Mee,D,1,0.10060000000000002,-0.07758333333333335,0.17818333333333336
118,Kevin De Bruyne,M,1,0.17163333333333333,-0.0045666666666666815,0.17620000000000002
98,Johann Gudmundsson,M,1,0.16763333333333333,-0.0045666666666666815,0.17220000000000002
37,Trent Alexander-Arnold,D,1,0.08628333333333331,-0.07758333333333335,0.16386666666666666
41,Kyle Walker,D,1,0.08549999999999998,-0.07758333333333335,0.16308333333333333
44,Harry Maguire,D,1,0.07325,-0.07758333333333335,0.15083333333333335
78,Willy Boly,D,1,0.06903333333333335,-0.07758333333333335,0.1466166666666667
86,John McGinn,M,1,0.13724999999999998,-0.0045666666666666815,0.14181666666666667
31,Jonny Evans,D,1,0.05883333333333333,-0.07758333333333335,0.13641666666666669
176,Marcus Rashford,F,1,0.09606666666666668,-0.03939999999999999,0.13546666666666668
39,Aymeric Laporte,D,1,0.05508333333333334,-0.07758333333333335,0.13266666666666668
30,Michael Keane,D,1,0.051516666666666655,-0.07758333333333335,0.1291
34,Ricardo Pereira,D,1,0.05008333333333337,-0.07758333333333335,0.1276666666666667
28,Yerry Mina,D,1,0.042666666666666665,-0.07758333333333335,0.12025000000000002
15,Matthew Lowton,D,1,0.04076666666666665,-0.07758333333333335,0.11835000000000001
32,Caglar Soyuncu,D,1,0.03626666666666667,-0.07758333333333335,0.11385000000000002
83,Ainsley Maitland-Niles,M,1,0.10825,-0.0045666666666666815,0.11281666666666668
163,Pedro,F,1,0.07076666666666669,-0.03939999999999999,0.11016666666666668
8,Chris Mepham,D,1,0.030099999999999977,-0.07758333333333335,0.10768333333333333
26,Joel Ward,D,1,0.029483333333333344,-0.07758333333333335,0.1070666666666667
77,Ryan Bennett,D,1,0.02538333333333335,-0.07758333333333335,0.1029666666666667
12,Dan Burn,D,1,0.019949999999999985,-0.07758333333333335,0.09753333333333333
29,Seamus Coleman,D,1,0.019183333333333368,-0.07758333333333335,0.09676666666666672
33,Ben Chilwell,D,1,0.01836666666666668,-0.07758333333333335,0.09595000000000004
140,Tanguy Ndombele,M,1,0.0907,-0.0045666666666666815,0.09526666666666668
91,Philip Billing,M,1,0.08866666666666667,-0.0045666666666666815,0.09323333333333335
18,James Tarkowski,D,1,0.015250000000000022,-0.07758333333333335,0.09283333333333338
178,Teemu Pukki,F,1,0.050983333333333304,-0.03939999999999999,0.09038333333333329
23,Scott Dann,D,1,0.01118333333333336,-0.07758333333333335,0.08876666666666672
102,Mason Mount,M,1,0.08416666666666668,-0.0045666666666666815,0.08873333333333336
143,Lucas Moura,M,1,0.07988333333333335,-0.0045666666666666815,0.08445000000000003
46,Luke Shaw,D,1,0.0024500000000000077,-0.07758333333333335,0.08003333333333336
175,Anthony Martial,F,1,0.0406333333333333,-0.03939999999999999,0.08003333333333329
132,Emiliano Buendia,M,1,0.07233333333333332,-0.0045666666666666815,0.0769
171,Roberto Firmino,F,1,0.03446666666666668,-0.03939999999999999,0.07386666666666666
113,Wilfred Ndidi,M,1,0.06701666666666665,-0.0045666666666666815,0.07158333333333333
123,Andreas Pereira,M,1,0.06668333333333332,-0.0045666666666666815,0.07125
24,Martin Kelly,D,1,-0.00683333333333334,-0.07758333333333335,0.07075000000000001
1,Sokratis,D,1,-0.008850000000000005,-0.07758333333333335,0.06873333333333334
117,Fabinho,M,1,0.060950000000000025,-0.0045666666666666815,0.06551666666666671
13,Martin Montoya,D,1,-0.012383333333333338,-0.07758333333333335,0.06520000000000001
95,Davy Propper,M,1,0.059616666666666686,-0.0045666666666666815,0.06418333333333337
4,Tyrone Mings,D,1,-0.01473333333333334,-0.07758333333333335,0.06285000000000002
7,Diego Rico,D,1,-0.01715,-0.07758333333333335,0.06043333333333335
173,Gabriel Jesus,F,1,0.020733333333333343,-0.03939999999999999,0.06013333333333333
103,James McArthur,M,1,0.05345000000000003,-0.0045666666666666815,0.058016666666666716
125,Isaac Hayden,M,1,0.05245,-0.0045666666666666815,0.05701666666666668
42,John Stones,D,1,-0.024183333333333334,-0.07758333333333335,0.05340000000000002
111,Youri Tielemans,M,1,0.046599999999999975,-0.0045666666666666815,0.05116666666666666
27,Lucas Digne,D,1,-0.028566666666666667,-0.07758333333333335,0.04901666666666668
56,John Egan,D,1,-0.029266666666666663,-0.07758333333333335,0.04831666666666669
25,Patrick van Aanholt,D,1,-0.030083333333333333,-0.07758333333333335,0.047500000000000014
9,Nathan Ake,D,1,-0.030700000000000005,-0.07758333333333335,0.046883333333333346
80,Conor Coady,D,1,-0.03281666666666668,-0.07758333333333335,0.04476666666666667
76,Matt Doherty,D,1,-0.03295,-0.07758333333333335,0.04463333333333335
65,Danny Rose,D,1,-0.03466666666666668,-0.07758333333333335,0.04291666666666667
50,Fabian Schar,D,1,-0.03471666666666665,-0.07758333333333335,0.0428666666666667
101,Mateo Kovacic,M,1,0.035266666666666634,-0.0045666666666666815,0.03983333333333332
153,Leander Dendoncker,M,1,0.03463333333333333,-0.0045666666666666815,0.03920000000000001
144,Moussa Sissoko,M,1,0.032416666666666684,-0.0045666666666666815,0.03698333333333337
