Arsenal,18bb7c10,Arsenal
Bournemouth,4ba7cbea,Bournemouth
Brighton-and-Hove-Albion,d07537b9,Brighton
Burnley,943e8050,Burnley
Cardiff-City,75fae011,Cardiff City
Chelsea,cff3d9bb,Chelsea
Crystal-Palace,47c64c55,Crystal Palace
Everton,d3fd31cc,Everton
Fulham,fd962109,Fulham
Huddersfield-Town,f5922ca5,Huddersfield
Leicester-City,a2d435b3,Leicester City
Liverpool,822bd0ba,Liverpool
Manchester-City,b8fd03ef,Manchester City 
Manchester-United,19538871,Manchester Utd
Newcastle-United,b2b47a98,Newcastle Utd
Southampton,33c895d4,Southampton
Tottenham-Hotspur,361ca564,Tottenham
Watford,2abfe087,Watford
West-Ham-United,7c21e445,West Ham
Wolverhampton-Wanderers,8cec06e1,Wolves
